Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2014-11-13,410.0,450.0,305.0,2125.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-13,357.0,357.0,357.0,100.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-01-12,367.0,367.0,367.0,996.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-11,367.0,367.0,367.0,50.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-03-13,375.0,375.0,375.0,5.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-04-12,310.0,310.0,310.0,100.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-06-11,250.0,250.0,250.0,576.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-08-10,265.0,265.0,265.0,1.467,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-09-09,300.0,300.0,300.0,100.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-10-09,290.0,300.0,270.0,927.167,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-11-08,345.0,345.0,290.0,314.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-12-08,345.0,345.0,345.0,60.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-02-06,311.0,311.0,311.0,50.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-03-07,300.0,340.0,300.0,943.265,37.57836247121855,HOLD,25.0,,HOLD,-75.0,HOLD,,HOLD,62.401492982922115,HOLD
2016-04-06,300.0,300.0,299.0,570.0,37.57836247121855,HOLD,40.0,,HOLD,-60.0,HOLD,,HOLD,55.19703798377701,HOLD
2016-05-06,300.0,301.0,299.0,761.1569999999999,37.57836247121855,HOLD,40.0,35.0,HOLD,-60.0,HOLD,,HOLD,62.49385733786916,HOLD
2016-06-05,300.0,300.0,280.0,180.0,37.57836247121855,HOLD,40.0,40.0,HOLD,-60.0,HOLD,,HOLD,49.98134019965304,HOLD
2016-08-04,385.0,385.0,306.0,981.0,58.31800084110546,HOLD,100.0,60.0,SELL,-0.0,SELL,,HOLD,60.26578953633241,HOLD
2016-09-03,385.0,385.0,385.0,25.0,58.31800084110546,HOLD,100.0,80.0,SELL,-0.0,SELL,,HOLD,60.44492964439688,HOLD
2016-10-03,495.0,495.0,385.0,918.758,72.187252770127,SELL,100.0,100.0,SELL,-0.0,SELL,206.20900264300286,SELL,69.23087509741286,HOLD
2016-11-02,600.0,600.0,500.0,690.0,79.27587700147357,SELL,100.0,100.0,SELL,-0.0,SELL,297.6245616356779,SELL,78.56837662462738,HOLD
2016-12-02,665.0,665.0,550.0,772.027,82.28575832730702,SELL,100.0,100.0,SELL,-0.0,SELL,273.1924173796343,SELL,82.21703126104819,SELL
