Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2014-11-10,5001.0,5210.0,4800.0,2098.285,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-10,5050.0,5100.0,5000.0,4625.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-01-09,5148.0,5150.0,5005.0,2950.043,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-08,5375.0,5700.0,5120.0,4734.518,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-03-10,5150.0,5360.0,5000.0,4889.115,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-04-09,4902.0,5200.0,4850.0,2229.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-05-09,4939.0,5000.0,4849.0,4313.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-06-08,4700.0,4940.0,4700.0,4557.324,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-07-08,4900.0,4900.0,4702.0,2415.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-08-07,4900.0,4981.0,4850.0,4302.534,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-09-06,5000.0,5000.0,4900.0,4263.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-10-06,5208.0,5208.0,5005.0,3186.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-11-05,5407.0,5500.0,5200.0,4159.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-12-05,5442.0,5485.0,5400.0,1880.0,66.65134758652691,HOLD,74.2,,HOLD,-25.8,HOLD,,HOLD,67.75130952444825,HOLD,5080.142857142857,5111.569376113461,5109.0952380952385,BUY,BUY,BUY
2016-01-04,5250.0,5430.0,5201.0,2509.0,56.97019530845205,HOLD,55.0,,HOLD,-45.0,HOLD,,HOLD,64.28480666061716,HOLD,5097.928571428572,5130.0267926316665,5131.742857142857,BUY,BUY,BUY
2016-02-03,5330.0,5399.0,5215.0,2662.0,59.60312538028291,HOLD,63.0,64.06666666666666,HOLD,-37.0,HOLD,,HOLD,62.971247452845446,HOLD,5117.928571428572,5156.689886947444,5162.685714285714,BUY,BUY,BUY
2016-03-04,5200.0,5350.0,5200.0,3675.0,53.83814196867626,HOLD,50.0,56.0,HOLD,-50.0,HOLD,,HOLD,56.011319145826576,HOLD,5121.642857142857,5162.464568687786,5173.628571428572,BUY,BUY,BUY
2016-04-03,5001.0,5350.0,4950.0,3172.057,46.43422355953627,HOLD,37.625,50.208333333333336,HOLD,-62.375,HOLD,,HOLD,47.731954604715,HOLD,5094.928571428572,5140.9359595294145,5157.542857142857,SELL,SELL,SELL
2016-05-03,4951.0,5050.0,4900.0,2994.0,44.76834177111433,HOLD,31.375,39.666666666666664,HOLD,-68.625,HOLD,,HOLD,49.8469212079686,HOLD,5080.714285714285,5115.611164925493,5138.352380952381,SELL,SELL,SELL
2016-06-02,5049.0,5049.0,4915.0,3240.0,48.65640252253594,HOLD,43.625,37.541666666666664,HOLD,-56.375,HOLD,-40.67698579796937,HOLD,55.54388930136731,HOLD,5091.214285714285,5106.72967626876,5134.123809523809,SELL,SELL,SELL
2016-07-02,5120.0,5150.0,5000.0,3533.0,51.329575430914616,HOLD,52.5,42.5,HOLD,-47.5,HOLD,-6.391666305963054,HOLD,63.91148808445375,HOLD,5104.142857142857,5108.4990527662585,5137.961904761905,BUY,BUY,SELL
2016-08-01,5398.0,5430.0,5121.0,3385.0,60.09113244113215,HOLD,87.21804511278195,61.114348370927324,SELL,-12.781954887218046,SELL,80.9886125721289,HOLD,72.67869538251958,HOLD,5154.0,5147.099179064091,5177.142857142858,BUY,BUY,BUY
2016-08-31,5400.0,5420.0,5305.0,2394.0,60.14671648612396,HOLD,84.61538461538461,74.77780990938885,SELL,-15.384615384615385,SELL,92.55700377382443,HOLD,72.81801940779675,HOLD,5189.714285714285,5180.819288522212,5209.942857142857,BUY,BUY,BUY
2016-09-30,5450.0,5490.0,5400.0,2627.454,61.587114032171684,HOLD,91.66666666666667,87.83336546494441,SELL,-8.333333333333334,SELL,117.29229229229244,SELL,72.0027583839368,HOLD,5229.0,5216.710050052584,5244.64761904762,BUY,BUY,BUY
2016-10-30,5400.0,5499.0,5201.0,4216.0,59.27978481274201,HOLD,83.33333333333333,86.53846153846153,SELL,-16.666666666666668,SELL,79.03066446578266,HOLD,62.28774236341606,HOLD,5257.571428571428,5241.148710045573,5267.447619047619,BUY,BUY,BUY
2016-11-29,5350.0,5440.0,5300.0,2818.0,56.98081610048237,HOLD,75.0,83.33333333333333,HOLD,-25.0,HOLD,70.0099015667772,HOLD,55.433232186560886,HOLD,5267.714285714285,5255.66221537283,5279.771428571428,BUY,BUY,BUY
2016-12-29,5450.0,5451.0,5351.0,3498.0,60.297182094474174,HOLD,91.81969949916528,83.38434427749954,SELL,-8.180300500834724,SELL,80.95103975965826,HOLD,54.760980164261255,HOLD,5270.785714285715,5281.573919989786,5304.07619047619,BUY,BUY,BUY
2017-01-28,5502.0,5600.0,5431.0,2696.0,61.94024540005122,HOLD,86.0,84.27323316638842,SELL,-14.0,SELL,107.59398778065136,SELL,55.67609401503465,HOLD,5275.071428571428,5310.964063991149,5334.904761904762,BUY,BUY,BUY
2017-02-27,5702.0,5702.0,5501.0,4224.11,67.50953965936145,HOLD,100.0,92.60656649972175,SELL,-0.0,SELL,146.95979401861752,SELL,63.177850603593434,HOLD,5307.357142857143,5363.102188792329,5391.828571428571,BUY,BUY,BUY
2017-03-29,5500.0,5901.0,5499.0,4820.642,58.23993670045174,HOLD,59.94005994005994,81.98001998001997,HOLD,-40.05994005994006,HOLD,139.79915803018224,SELL,54.310152348065806,HOLD,5319.5,5381.355230286686,5417.5142857142855,BUY,BUY,BUY
2017-04-28,5699.0,5860.0,5500.0,3717.24,63.54978881022904,HOLD,79.82017982017982,79.92007992007991,HOLD,-20.17982017982018,HOLD,150.76631651455133,SELL,62.23573875872388,HOLD,5355.142857142857,5423.707866248461,5468.114285714286,BUY,BUY,BUY
2017-05-28,5800.0,5850.0,5651.0,4428.952,65.91840232589954,HOLD,89.91008991008991,76.55677655677655,SELL,-10.08991008991009,SELL,165.60967184801402,SELL,69.71956055537278,HOLD,5412.214285714285,5473.880150748666,5527.428571428572,BUY,BUY,BUY
2017-06-27,6800.0,6950.0,5800.0,6432.0,79.86767182562757,SELL,92.62899262899263,87.45308745308745,SELL,-7.371007371007371,SELL,325.0131475803492,SELL,77.65844051076056,HOLD,5544.285714285715,5650.696130648844,5712.466666666666,BUY,BUY,BUY
2017-07-27,6797.0,6899.0,6400.0,3983.0,79.76220045634486,SELL,92.15384615384616,91.56430956430957,SELL,-7.846153846153846,SELL,266.06613204438133,SELL,78.43548678486216,HOLD,5669.142857142857,5803.536646562331,5879.495238095238,BUY,BUY,BUY
2017-08-26,7300.0,7300.0,6750.0,5166.005,83.6587503249724,SELL,100.0,94.92761292761293,SELL,-0.0,SELL,256.1834439044298,SELL,79.70227867882829,HOLD,5824.857142857143,6003.0650936873535,6096.942857142857,BUY,BUY,BUY
2017-09-25,7550.0,7615.0,7149.0,5729.01,85.1854771108328,SELL,97.30737365368682,96.48707326917766,SELL,-2.692626346313173,SELL,228.55050640035276,SELL,81.15335764817941,SELL,5978.571428571428,6209.323081195706,6326.961904761905,BUY,BUY,BUY
2017-10-25,7350.0,7500.0,7200.0,1815.0,78.83955287695417,SELL,89.02236951118475,95.44324772162388,SELL,-10.977630488815244,SELL,168.55706072761478,SELL,77.31031176332591,HOLD,6117.857142857143,6361.413337036279,6509.8190476190475,BUY,BUY,BUY
2017-11-24,7320.0,7400.0,7202.0,2095.078,77.90208937017354,SELL,87.77961888980944,91.36978735156033,SELL,-12.220381110190555,SELL,133.51679635604478,SELL,72.9486877935206,HOLD,6251.428571428572,6489.224892098108,6670.104761904762,BUY,BUY,BUY
2017-12-24,7700.0,7750.0,7320.0,2877.04,80.98617688203011,SELL,97.95918367346938,91.58705735815452,SELL,-2.0408163265306123,SELL,133.258660259603,SELL,79.44467186429958,HOLD,6415.714285714285,6650.661573151694,6863.24761904762,BUY,BUY,BUY
2018-01-23,7750.0,8400.0,7700.0,5294.0,81.35490909193554,SELL,78.68153492948508,88.14011249758796,HOLD,-21.31846507051492,HOLD,138.3149302139135,SELL,84.99810093344396,SELL,6587.142857142857,6797.240030064801,7041.152380952381,BUY,BUY,BUY
2018-02-22,7950.0,8302.0,7800.0,1839.0,82.79240457320024,SELL,84.84338160996968,87.16136673764139,SELL,-15.156618390030314,SELL,124.53910522016234,SELL,84.82654137714901,SELL,6765.714285714285,6950.941359389495,7222.866666666667,BUY,BUY,BUY
2018-03-24,7711.0,8050.0,7670.0,3729.0,75.31930333030147,SELL,76.24956911409859,79.92482855118446,HOLD,-23.750430885901412,HOLD,97.56185012549294,HOLD,77.7699635292463,HOLD,6923.5,7052.282511470896,7348.904761904762,BUY,BUY,BUY
2018-04-23,7900.0,8101.0,7760.0,4810.162,77.0810884778696,SELL,82.76456394346776,81.28583822251201,SELL,-17.23543605653223,SELL,94.98520901837377,HOLD,78.5717402085886,HOLD,7080.5,7165.311509941444,7479.104761904761,BUY,BUY,BUY
2018-05-23,8300.0,8301.0,7850.0,5627.486,80.2881404407812,SELL,96.55172413793103,85.18861906516581,SELL,-3.4482758620689653,SELL,100.62450800314882,SELL,86.08042049614232,SELL,7280.5,7316.603308615918,7641.704761904762,BUY,BUY,BUY
2018-06-22,8000.0,8400.0,8000.0,5208.0,72.13535304561037,SELL,85.44925427428156,88.25518078522678,SELL,-14.550745725718443,SELL,90.71337940723903,HOLD,77.0484744222616,HOLD,7444.857142857143,7407.722867467129,7737.638095238096,BUY,BUY,BUY
2018-07-22,7999.0,8190.0,7950.0,2051.0,72.10906804271876,SELL,84.57692307692308,88.85930049637857,SELL,-15.423076923076923,SELL,78.52289090084221,HOLD,72.70021080024911,HOLD,7601.928571428572,7486.559818471512,7811.523809523809,BUY,BUY,BUY
2018-08-21,8005.0,8099.0,7900.0,4452.0,72.17458255159875,SELL,80.25,83.42539245040155,SELL,-19.75,SELL,70.84961788686043,HOLD,63.82975119445684,HOLD,7688.0,7555.685176008644,7865.2666666666655,BUY,BUY,BUY
2018-09-20,8200.0,8450.0,7720.0,5835.113,74.2884185861981,SELL,85.29411764705883,83.3736802413273,SELL,-14.705882352941176,SELL,76.49535913646207,HOLD,65.52659284778207,HOLD,7788.214285714285,7641.593819207492,7933.533333333334,BUY,BUY,BUY
2018-10-20,8250.0,8629.0,8200.0,4005.0,74.81669641687262,SELL,74.39189189189189,79.9786698463169,HOLD,-25.60810810810811,HOLD,93.61789628722804,HOLD,65.26832558401046,HOLD,7856.071428571428,7722.71464331316,7995.104761904762,BUY,BUY,BUY
2018-11-19,8200.0,8300.0,8050.0,3878.0,73.19708048829027,SELL,69.97900629811056,76.55500527902042,HOLD,-30.020993701889434,HOLD,72.74827204667277,HOLD,56.96133081032929,HOLD,7902.5,7786.352690871406,8040.961904761904,BUY,BUY,BUY
2018-12-19,8400.0,8428.0,8050.0,3242.0,75.48331094113831,SELL,83.95234758234058,76.10774859078101,SELL,-16.047652417659425,SELL,81.88620817735251,HOLD,61.307696200683424,HOLD,7977.5,7868.172332088552,8107.295238095238,BUY,BUY,BUY
2019-01-18,8290.0,8450.0,8250.0,4494.3060000000005,71.8531085576244,SELL,74.10236822001528,76.01124070015547,HOLD,-25.89763177998472,HOLD,86.31375418727559,HOLD,66.46150303983298,HOLD,8046.785714285715,7924.416021143412,8148.961904761904,BUY,BUY,BUY
2019-02-17,8300.0,8501.0,8220.0,4046.202,71.98501387586096,SELL,65.69343065693431,74.58271548643006,HOLD,-34.306569343065696,HOLD,87.0360179112202,HOLD,67.30227614981504,HOLD,8089.642857142857,7974.493884990958,8182.72380952381,BUY,BUY,BUY
2019-03-19,8568.0,8600.0,8300.0,3905.15,75.32272364586532,SELL,93.63920750782064,77.81166879492342,SELL,-6.360792492179353,SELL,116.52956252128268,SELL,66.67552922066704,HOLD,8148.071428571428,8053.628033658831,8246.504761904762,BUY,BUY,BUY
2019-04-18,9007.0,9007.0,8258.0,2878.14,79.60843669835121,SELL,100.0,86.44421272158498,SELL,-0.0,SELL,168.40595136173255,SELL,67.40695073779845,HOLD,8223.57142857143,8180.744295837653,8361.028571428571,BUY,BUY,BUY
2019-05-18,8705.0,9185.0,8705.0,5952.0,70.53341110202925,SELL,67.23549488054607,86.95823412945556,HOLD,-32.76450511945392,HOLD,174.75809571728868,SELL,74.76914261289427,HOLD,8294.57142857143,8250.645056392634,8425.219047619046,BUY,BUY,BUY
2019-06-17,9050.0,9150.0,8695.0,3541.0,74.15765574844279,SELL,90.78498293515358,86.00682593856656,SELL,-9.215017064846416,SELL,177.15412129641115,SELL,74.44459935973892,HOLD,8376.714285714286,8357.225715540282,8525.942857142858,BUY,BUY,BUY
2019-07-17,9550.0,9730.0,9002.0,4667.0,78.31955390440723,SELL,91.04477611940298,83.02175131170088,SELL,-8.955223880597014,SELL,234.65343476873338,SELL,74.34755119750837,HOLD,8466.0,8516.262286801579,8682.380952380954,BUY,BUY,BUY
2019-08-16,10000.0,10000.0,9400.0,5799.0,81.24681681306495,SELL,100.0,93.94325301818553,SELL,-0.0,SELL,238.70499023747846,SELL,83.44338509565492,SELL,8608.857142857143,8714.0939818947,8886.914285714285,BUY,BUY,BUY
2019-09-15,10800.0,11500.0,10050.0,5893.0,85.09874737753019,SELL,81.48148148148148,90.84208586696148,SELL,-18.51851851851852,SELL,279.0880894329169,SELL,87.83176992757899,SELL,8808.92857142857,8992.21478430874,9179.066666666668,BUY,BUY,BUY
2019-10-15,11130.0,11200.0,9860.0,6166.0,86.3447310424574,SELL,90.21164021164022,90.56437389770724,SELL,-9.788359788359788,SELL,207.53303467862628,SELL,83.23944346459241,SELL,9032.142857142857,9277.252813067575,9488.542857142857,BUY,BUY,BUY
2019-11-14,11280.0,11351.0,11021.0,4660.0,86.88167618834017,SELL,93.6231884057971,88.43877003297293,SELL,-6.3768115942028984,SELL,200.957099974367,SELL,83.37809643702928,SELL,9252.142857142857,9544.285771325232,9788.257142857143,BUY,BUY,BUY
2019-12-14,12965.0,12965.0,11201.0,4797.0,91.1103728817721,SELL,100.0,94.61160953914577,SELL,-0.0,SELL,222.2636510927702,SELL,84.07806212419901,SELL,9588.92857142857,10000.381001815202,10283.304761904761,BUY,BUY,BUY
2020-01-13,13200.0,13353.0,12611.0,6371.0,91.52088984462982,SELL,97.11484065623232,96.9126763540098,SELL,-2.8851593437676786,SELL,204.53727371725654,SELL,90.0701681964327,SELL,9946.07142857143,10426.996868239841,10764.780952380952,BUY,BUY,BUY
2020-02-12,10981.0,13400.0,10981.0,6167.208,62.27634796187263,HOLD,53.3011583011583,83.47199965246354,HOLD,-46.6988416988417,HOLD,115.0525591510177,SELL,80.50039647923904,SELL,10130.42857142857,10500.863952474529,10902.771428571428,BUY,BUY,BUY
2020-03-13,11000.0,11690.0,8354.0,5427.267,62.38717393062729,HOLD,53.66795366795367,68.0279842084481,HOLD,-46.33204633204633,HOLD,37.17774602709804,HOLD,73.31528547552452,HOLD,10324.0,10567.415425477926,11018.714285714284,BUY,BUY,SELL
2020-04-12,12799.0,12950.0,10800.0,5548.901,71.05735656751503,SELL,88.31194087903539,65.09368428271578,SELL,-11.688059120964605,SELL,113.17708383239265,SELL,74.49673499248979,HOLD,10645.357142857143,10864.960035414202,11348.714285714284,BUY,BUY,BUY
2020-05-12,11600.0,12798.0,11512.0,4483.038,60.96992414991724,HOLD,64.99416569428239,68.99135341375715,HOLD,-35.00583430571762,HOLD,91.02149374846408,HOLD,68.32860880892196,HOLD,10861.92857142857,10962.965364025642,11475.999999999998,BUY,BUY,BUY
2020-06-11,11900.0,12000.0,11400.0,2870.0,62.407910654436385,HOLD,70.27348394768133,74.52653017366636,HOLD,-29.72651605231867,HOLD,73.38424042981345,HOLD,64.41585954689613,HOLD,11068.57142857143,11087.90331548889,11614.409523809523,BUY,BUY,BUY
2020-07-11,12400.0,12799.0,11901.0,4327.0,64.73962716574788,HOLD,80.18232263178756,71.81665742458375,SELL,-19.817677368212447,SELL,91.9658836363354,HOLD,64.44927543317493,HOLD,11332.5,11262.84954009037,11791.933333333336,BUY,BUY,BUY
2020-08-10,12250.0,12600.0,12198.0,3343.0,63.467769655550335,HOLD,77.20967102655568,75.88849253534151,HOLD,-22.79032897344431,HOLD,83.30651759092915,HOLD,59.736465107396356,HOLD,11561.07142857143,11394.469601411654,11914.266666666668,BUY,BUY,BUY
2020-09-09,12550.0,12999.0,12250.0,4898.0,64.95083609147534,HOLD,83.15497423701942,80.18232263178754,SELL,-16.84502576298058,SELL,87.89418145230565,HOLD,60.60448904603266,HOLD,11775.357142857143,11548.540321223434,12046.12380952381,BUY,BUY,BUY
2020-10-09,12100.0,12547.0,12080.0,4601.0,60.95360067337267,HOLD,74.23701942132382,78.20055489496632,HOLD,-25.762980578676178,HOLD,64.14562996996547,HOLD,53.721655129216494,HOLD,11925.357142857143,11622.068278393643,12089.409523809523,BUY,BUY,BUY
2020-11-08,12500.0,12650.0,12100.0,3616.0,63.12594205665494,HOLD,82.1640903686088,79.852028008984,SELL,-17.8359096313912,SELL,67.98956586547423,HOLD,52.646431706026966,HOLD,12046.785714285714,11739.12584127449,12166.028571428571,BUY,BUY,BUY
2020-12-08,13300.0,13499.0,12421.0,2935.0,67.07170513989647,HOLD,96.13216715257532,84.17775898083597,SELL,-3.867832847424684,SELL,98.70395959403449,HOLD,59.486962900066295,HOLD,12201.785714285714,11947.242395771225,12333.12380952381,BUY,BUY,BUY
