Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2014-12-29,750.0,750.0,750.0,"750,00","0,00",1.1,825.0,825.0,750.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-05-07,750.0,750.0,750.0,"750,00","0,00",110.0,82.5,82.5,750.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-10-22,750.0,750.0,750.0,"750,00","0,00",125.0,93.75,93.75,750.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-07-17,750.0,750.0,750.0,"750,00","0,00",11.0,8.25,8.25,750.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2019-03-04,750.0,750.0,750.0,"750,00","0,00",20.0,15.0,15.0,750.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2023-05-12,750.0,750.0,750.0,"750,00","0,00",566.0,424.5,424.5,750.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2023-11-10,750.0,750.0,750.0,"750,00","0,00",9.0,6.75,6.75,750.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2023-12-11,750.0,750.0,750.0,"750,00","0,00",409.0,306.75,306.75,750.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2023-12-20,750.0,750.0,750.0,"750,00","0,00",10.0,7.5,7.5,750.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2024-08-16,750.0,750.0,750.0,"750,00","0,00",94.0,70.5,70.5,750.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
