Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2014-12-29,750.0,750.0,750.0,1.1,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-05-04,750.0,750.0,750.0,110.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-10-19,750.0,750.0,750.0,125.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-07-16,750.0,750.0,750.0,11.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2019-03-04,750.0,750.0,750.0,20.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2023-05-08,750.0,750.0,750.0,566.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2023-11-06,750.0,750.0,750.0,9.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2023-12-11,750.0,750.0,750.0,409.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2023-12-18,750.0,750.0,750.0,10.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2024-08-12,750.0,750.0,750.0,94.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
