Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2014-11-24,307.0,307.0,307.0,"307,00","0,00",24.0,7.368,7.368,307.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-26,307.0,307.0,307.0,"307,00","0,00",23.0,7.061,7.061,307.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-24,307.0,307.0,307.0,"307,00","0,00",18.0,5.526,5.526,307.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-06,307.0,307.0,307.0,"307,00","0,00",22.0,6.754,6.754,307.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-07-07,307.0,307.0,307.0,"307,00","0,00",21.0,6.447,6.447,307.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-05-31,615.0,615.0,615.0,"615,00","100,33",17.0,10.455,10.455,615.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-09-07,615.0,615.0,615.0,"615,00","0,00",38.0,23.37,23.37,615.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-07-25,615.0,615.0,615.0,"615,00","0,00",24.0,14.76,14.76,615.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2021-05-26,615.0,615.0,615.0,"615,00","0,00",20.0,12.3,12.3,615.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2023-02-22,923.0,923.0,923.0,"923,00","50,08",20.0,18.46,18.46,923.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2023-03-30,923.0,923.0,923.0,"923,00","0,00",14.0,12.922,12.922,923.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2023-11-03,923.0,923.0,923.0,"923,00","0,00",46.0,42.458,42.458,923.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2024-03-13,923.0,923.0,923.0,"923,00","0,00",30.0,27.69,27.69,923.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2024-03-21,923.0,923.0,923.0,"923,00","0,00",18.0,16.614,16.614,923.0,100.0,SELL,100.0,,SELL,-0.0,SELL,,HOLD,100.0,SELL
