Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2014-11-24,1300.0,1300.0,1300.0,100.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-16,1300.0,1300.0,1300.0,30.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-04-27,1300.0,1300.0,1300.0,75.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-07-27,1147.0,1147.0,1147.0,50.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-09-21,1150.0,1150.0,1150.0,201.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-09-28,1499.0,1499.0,1499.0,5.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-02-15,1499.0,1499.0,1499.0,500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-05-30,1300.0,1300.0,1300.0,50.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-09-05,1200.0,1205.0,1200.0,187.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-10-17,1200.0,1200.0,1200.0,31.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-11-14,1650.0,1650.0,1201.0,545.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-11-28,1330.0,1650.0,1330.0,409.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-12-19,1463.0,1463.0,1463.0,22.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-01-30,1507.0,1507.0,1507.0,50.0,56.9732948211297,HOLD,71.57057654075547,,HOLD,-28.429423459244532,HOLD,,HOLD,54.49507059520726,HOLD,1346.0714285714287,1373.572434434871,1381.447619047619,BUY,BUY,BUY
2017-04-24,1650.0,1650.0,1650.0,55.0,61.63404049757191,HOLD,100.0,,SELL,-0.0,SELL,,HOLD,56.34983193882456,HOLD,1371.0714285714287,1410.4294431768883,1421.9714285714285,BUY,BUY,BUY
2017-07-03,1650.0,1650.0,1650.0,50.0,61.63404049757191,HOLD,100.0,90.52352551358517,SELL,-0.0,SELL,,HOLD,56.34983193882456,HOLD,1396.0714285714287,1442.3721840866365,1459.1619047619047,BUY,BUY,BUY
2017-07-10,1750.0,1750.0,1750.0,103.0,64.73236552331036,HOLD,100.0,100.0,SELL,-0.0,SELL,,HOLD,59.61898644116482,HOLD,1428.2142857142858,1483.3892262084182,1506.3523809523806,BUY,BUY,BUY
2017-07-17,1950.0,1950.0,1910.0,155.0,69.95785039152759,HOLD,100.0,100.0,SELL,-0.0,SELL,,HOLD,65.48444688119247,HOLD,1485.5714285714287,1545.6039960472958,1575.9238095238095,BUY,BUY,BUY
2017-07-24,2140.0,2140.0,1951.0,22.0,73.91236561200753,SELL,100.0,100.0,SELL,-0.0,SELL,,HOLD,62.886694862691485,HOLD,1556.2857142857142,1624.856796574323,1663.1809523809522,BUY,BUY,BUY
2017-08-07,2140.0,2140.0,2140.0,40.0,73.91236561200753,SELL,100.0,100.0,SELL,-0.0,SELL,193.1172601884979,SELL,64.02693988547992,HOLD,1602.0714285714287,1693.54255703108,1741.0095238095237,BUY,BUY,BUY
2018-01-15,1699.0,1699.0,1699.0,52.0,54.57457134931258,HOLD,53.08510638297872,84.36170212765957,HOLD,-46.91489361702128,HOLD,52.69845483077362,HOLD,61.87657238900742,HOLD,1616.357142857143,1694.2702160936026,1753.9333333333332,BUY,BUY,SELL
2018-01-22,1700.0,1700.0,1700.0,140.0,54.60357532797883,HOLD,53.191489361702125,68.75886524822694,HOLD,-46.808510638297875,HOLD,46.688302828294646,HOLD,66.54755979737129,HOLD,1644.9285714285713,1695.0341872811223,1765.0857142857144,BUY,BUY,SELL
2018-02-05,1650.0,1650.0,1650.0,50.0,52.78867010042021,HOLD,47.87234042553192,51.38297872340426,HOLD,-52.12765957446808,HOLD,27.529945223820803,HOLD,70.1036032103631,HOLD,1677.0714285714287,1689.0296289769726,1765.7619047619046,SELL,SELL,SELL
2018-02-12,1650.0,1650.0,1650.0,50.0,52.78867010042021,HOLD,47.81682641107561,49.62688539943655,HOLD,-52.18317358892439,HOLD,21.557592324596655,HOLD,71.09739712787137,HOLD,1709.2142857142858,1683.8256784467096,1762.1523809523808,SELL,SELL,SELL
2018-03-05,1650.0,1650.0,1650.0,157.0,52.78867010042021,HOLD,39.50617283950617,45.06511322537123,HOLD,-60.49382716049383,HOLD,15.025051682126612,HOLD,58.0148186857006,HOLD,1709.2142857142858,1679.3155879871483,1754.2571428571428,SELL,SELL,SELL
2018-03-12,1820.0,1820.0,1820.0,59.0,58.62811007924298,HOLD,52.732644017725256,46.685214422769015,HOLD,-47.267355982274744,HOLD,69.33290881003764,HOLD,87.1178800037399,SELL,1744.2142857142858,1698.073509588862,1769.0285714285717,BUY,BUY,BUY
2018-06-11,1700.0,1700.0,1700.0,71.0,53.58938412555645,HOLD,30.489731437598735,40.90951609827672,HOLD,-69.51026856240127,HOLD,24.022054626492288,HOLD,79.39233780352127,HOLD,1761.142857142857,1698.3303749770137,1763.1333333333332,SELL,BUY,SELL
2018-06-25,1700.0,1700.0,1700.0,118.0,53.58938412555645,HOLD,10.204081632653061,31.14215236265902,BUY,-89.79591836734694,BUY,18.716977031634066,HOLD,78.23302679597114,HOLD,1774.9285714285713,1698.552991646745,1754.9809523809524,SELL,BUY,SELL
2018-07-02,1751.0,1799.0,1751.0,261.0,55.47551592252295,HOLD,20.612244897959183,20.435352656070325,HOLD,-79.38775510204081,HOLD,38.49359702962798,HOLD,82.94883719298096,SELL,1782.142857142857,1705.5459260938458,1751.790476190476,SELL,BUY,SELL
2018-07-16,1803.0,1803.0,1803.0,793.0,57.37751927857819,HOLD,31.224489795918366,20.680272108843536,HOLD,-68.77551020408163,HOLD,46.19552504773943,HOLD,90.71391199618128,SELL,1793.0714285714287,1718.5398026146663,1754.5714285714287,BUY,BUY,BUY
