Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2016-02-03,550.0,550.0,550.0,"550,00","0,00",155.0,85.25,85.25,550.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-02-16,550.0,550.0,550.0,"550,00","0,00",417.0,229.35,229.35,550.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-07-04,550.0,550.0,550.0,"550,00","0,00",174.0,95.7,95.7,550.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-06-29,550.0,550.0,550.0,"550,00","0,00",70.0,38.5,38.5,550.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-08-07,550.0,550.0,550.0,"550,00","0,00",192.0,105.6,105.6,550.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-01-17,550.0,550.0,550.0,"550,00","0,00",197.0,108.35,108.35,550.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-03-23,621.0,621.0,621.0,"621,00","12,91",164.0,101.844,101.844,621.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-06-26,603.0,603.0,603.0,"603,00","-2,90",147.0,88.641,88.641,603.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2019-04-05,603.0,603.0,603.0,"603,00","0,00",280.0,168.84,168.84,603.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2019-11-12,603.0,603.0,603.0,"603,00","0,00",79.0,47.637,47.637,603.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2019-11-12,603.0,603.0,603.0,"603,00","0,00",79.0,47.637,47.637,603.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2021-04-09,603.0,603.0,603.0,"603,00","0,00",201.0,121.203,121.203,603.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2021-09-22,603.0,603.0,603.0,"603,00","0,00",67.0,40.401,40.401,603.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2023-09-05,603.0,603.0,603.0,"603,00","0,00",225.0,135.675,135.675,603.0,78.55319148936171,SELL,74.64788732394366,,HOLD,-25.35211267605634,HOLD,,HOLD,53.46562721474132,HOLD,581.5714285714286,587.01227847911,593.6,BUY,BUY,BUY
2023-09-06,603.0,603.0,603.0,"603,00","0,00",100.0,60.3,60.3,603.0,78.55319148936171,SELL,74.64788732394366,,HOLD,-25.35211267605634,HOLD,,HOLD,53.46562721474132,HOLD,585.3571428571429,589.1439746818954,596.4571428571429,BUY,BUY,BUY
2023-12-20,603.0,603.0,603.0,"603,00","0,00",180.0,108.54,108.54,603.0,78.55319148936171,SELL,74.64788732394366,74.64788732394366,HOLD,-25.35211267605634,HOLD,,HOLD,53.46562721474132,HOLD,589.1428571428571,590.9914447243094,598.8095238095239,BUY,BUY,BUY
