Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2015-01-26,400.0,400.0,400.0,"400,00","13,31",110.0,44.000,44.000,400.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-01-28,427.0,427.0,427.0,"427,00","6,75",13.0,5.551,5.551,427.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-01-30,485.0,485.0,485.0,"485,00","13,58",100.0,48.500,48.500,485.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-10,427.0,427.0,427.0,"427,00","-11,96",31.0,13.237,13.237,427.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-13,425.0,425.0,425.0,"425,00","-0,47",100.0,42.500,42.500,425.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-03-05,425.0,425.0,425.0,"425,00","0,00",331.0,140.675,140.675,425.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-03-10,500.0,500.0,500.0,"500,00","17,65",286.0,143.000,143.000,500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-03-11,501.0,501.0,501.0,"501,00","0,20",69.0,34.569,34.569,501.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-03-13,501.0,501.0,501.0,"501,00","0,00",147.0,73.647,73.647,501.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-03-17,599.0,599.0,599.0,"599,00","19,56",559.0,334.841,334.841,599.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-03-18,650.0,650.0,650.0,"650,00","8,51",100.0,65.000,65.000,650.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-03-19,750.0,750.0,750.0,"750,00","15,38",160.0,120.000,120.000,750.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-03-20,750.0,750.0,750.0,"750,00","0,00",2.0,1.500,1.500,750.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-04-02,500.0,500.0,500.0,"500,00","-33,33",521.0,260.500,260.500,500.0,50.29410835433557,HOLD,28.571428571428573,,HOLD,-71.42857142857143,HOLD,,HOLD,70.38141871577918,HOLD
2015-04-06,501.0,501.0,501.0,"501,00","0,20",352.0,176.352,176.352,501.0,50.38940506585268,HOLD,23.384615384615383,,HOLD,-76.61538461538461,HOLD,,HOLD,74.58004099513686,HOLD
2015-04-08,506.0,506.0,506.0,"506,00","1,00",195.0,98.670,98.670,506.0,50.89632426078664,HOLD,24.923076923076923,25.626373626373624,HOLD,-75.07692307692308,HOLD,,HOLD,76.35025939129608,HOLD
2015-04-21,511.0,511.0,511.0,"511,00","0,99",258.0,131.838,131.838,511.0,51.43077801416233,HOLD,26.46153846153846,24.923076923076923,HOLD,-73.53846153846153,HOLD,,HOLD,77.73773730083695,HOLD
2015-04-22,517.0,517.0,517.0,"517,00","1,17",1.48,765.160,765.160,517.0,52.10446336101535,HOLD,28.307692307692307,26.564102564102566,HOLD,-71.6923076923077,HOLD,,HOLD,78.48065100874328,HOLD
