Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2022-04-21,61.0,61.0,61.0,53.265,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2022-05-21,61.0,61.0,61.0,1280.614,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2022-06-20,61.0,61.0,61.0,281.216,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2022-07-20,61.0,61.0,61.0,1990.086,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2022-08-19,61.0,61.0,61.0,1363.491,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2022-09-18,61.0,61.0,61.0,1620.121,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2022-10-18,61.0,61.0,61.0,524.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2022-12-17,61.0,61.0,61.0,1728.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2023-02-15,61.0,61.0,61.0,852.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2023-07-15,61.0,61.0,61.0,285.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2023-09-13,61.0,61.0,61.0,159.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2023-11-12,61.0,61.0,61.0,306.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2023-12-12,61.0,61.0,61.0,490.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2024-03-11,61.0,61.0,61.0,2.589,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,61.0,61.0,61.0,HOLD,HOLD,HOLD
2024-09-07,61.0,61.0,61.0,242.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,61.0,61.0,61.0,HOLD,HOLD,HOLD
