Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2015-02-06,5500.0,5900.0,5500.0,83.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-02-01,8000.0,8001.0,5500.0,32.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-03-02,7201.0,7201.0,7201.0,11.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-05-31,5530.0,5530.0,5530.0,10.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-07-30,5055.0,5055.0,5055.0,10.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-08-29,5500.0,5500.0,5500.0,10.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-05-26,6000.0,6000.0,6000.0,7.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-09-23,6000.0,6000.0,6000.0,30.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-01-21,5000.0,5000.0,5000.0,3.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-04-21,6000.0,6000.0,6000.0,15.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-07-20,6000.0,6000.0,6000.0,24.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2019-04-16,7200.0,7200.0,6300.0,21.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2023-05-25,6984.0,6984.0,6984.0,104.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
