Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2015-02-06,5900.0,5900.0,5900.0,"5.900,00","0,34",50.0,295.0,295.0,5900.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-11,5900.0,5900.0,5900.0,"5.900,00","0,00",21.0,123.9,123.9,5900.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-12,5500.0,5500.0,5500.0,"5.500,00","-6,78",8.0,44.0,44.0,5500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-13,5500.0,5500.0,5500.0,"5.500,00","0,00",4.0,22.0,22.0,5500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-02-04,5500.0,5500.0,5500.0,"5.500,00","0,00",10.0,55.0,55.0,5500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-02-22,8001.0,8001.0,8001.0,"8.001,00","45,47",10.0,80.01,80.01,8001.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-02-26,8000.0,8000.0,8000.0,"8.000,00","-0,01",12.0,96.0,96.0,8000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-03-03,7201.0,7201.0,7201.0,"7.201,00","-9,99",11.0,79.211,79.211,7201.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-06-22,5530.0,5530.0,5530.0,"5.530,00","-23,21",10.0,55.3,55.3,5530.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-08-18,5055.0,5055.0,5055.0,"5.055,00","-8,59",10.0,50.55,50.55,5055.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-09-07,5500.0,5500.0,5500.0,"5.500,00","8,80",10.0,55.0,55.0,5500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-05-29,6000.0,6000.0,6000.0,"6.000,00","9,09",7.0,42.0,42.0,6000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-09-29,6000.0,6000.0,6000.0,"6.000,00","0,00",10.0,60.0,60.0,6000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-10-04,6000.0,6000.0,6000.0,"6.000,00","0,00",20.0,120.0,120.0,6000.0,49.69385408859931,HOLD,32.07739307535642,,HOLD,-67.92260692464359,HOLD,,HOLD,35.25596977319941,HOLD,6113.357142857143,6039.48908373143,6096.514285714286,SELL,SELL,SELL
2018-02-02,5000.0,5000.0,5000.0,"5.000,00","-16,67",3.0,15.0,15.0,5000.0,39.86223874923091,HOLD,0.0,,BUY,-100.0,BUY,,HOLD,34.233209752625854,HOLD,6049.071428571428,5900.890539233906,5948.0666666666675,SELL,SELL,SELL
2018-05-10,6000.0,6000.0,6000.0,"6.000,00","20,00",15.0,90.0,90.0,6000.0,50.424842423917674,HOLD,33.32222592469177,21.799873000016063,HOLD,-66.67777407530824,HOLD,,HOLD,43.98332320272258,HOLD,6056.214285714285,5914.105134002719,5941.52380952381,SELL,BUY,BUY
2018-08-01,6000.0,6000.0,6000.0,"6.000,00","0,00",24.0,144.0,144.0,6000.0,50.424842423917674,HOLD,33.32222592469177,22.214817283127847,HOLD,-66.67777407530824,HOLD,,HOLD,47.420307563344586,HOLD,6091.928571428572,5925.557782802356,5934.028571428572,SELL,BUY,BUY
2019-05-07,6300.0,6300.0,6300.0,"6.300,00","5,00",11.0,69.3,69.3,6300.0,53.279920088339765,HOLD,43.3188937020993,36.65444851716095,HOLD,-56.6811062979007,HOLD,,HOLD,53.18238818668155,HOLD,6149.071428571428,5975.483411762042,5961.771428571429,BUY,BUY,BUY
2019-05-08,7200.0,7200.0,7200.0,"7.200,00","14,29",10.0,72.0,72.0,7200.0,60.60910401769896,HOLD,73.30889703432189,49.983338887037654,HOLD,-26.69110296567811,HOLD,,HOLD,57.96803105181786,HOLD,6270.5,6138.75229019377,6101.895238095238,BUY,BUY,BUY
2023-06-16,6984.0,6984.0,6984.0,"6.984,00","-3,00",104.0,726.336,726.336,6984.0,58.247404991788976,HOLD,66.13333333333334,60.920374689918184,HOLD,-33.86666666666667,HOLD,81.84152044190179,HOLD,24.305969436520556,HOLD,6197.857142857143,6251.451984834601,6197.028571428571,BUY,BUY,BUY
