Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2014-12-02,57000.0,57000.0,57000.0,"57.000,00","3,64",2.0,114.000,114.000,57000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-04,57000.0,57000.0,57000.0,"57.000,00","0,00",4.0,228.000,228.000,57000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-10,56000.0,56000.0,56000.0,"56.000,00","-1,75",5.0,280.000,280.000,56000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-30,56000.0,56000.0,55000.0,"55.500,00","-0,89",4.0,222.000,222.000,56000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-01-23,55500.0,55500.0,55500.0,"55.500,00","0,00",1.0,55.500,55.500,55500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-01-26,55400.0,55400.0,55400.0,"55.400,00","-0,18",1.0,55.400,22.805.600,55400.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-04-06,46018.0,46018.0,46018.0,"46.018,00","-16,94",2.0,92.036,92.036,46018.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-04-07,49000.0,49000.0,49000.0,"49.000,00","6,48",12.0,588.000,588.000,49000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-04-08,49000.0,49000.0,49000.0,"49.000,00","0,00",28.0,1.372.000,1.372.000,49000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-04-09,49000.0,49000.0,49000.0,"49.000,00","0,00",2.0,98.000,98.000,49000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-05-04,47000.0,47000.0,47000.0,"47.000,00","-4,08",7.0,329.000,329.000,47000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-05-05,47000.0,47000.0,47000.0,"47.000,00","0,00",5.0,235.000,235.000,47000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-05-08,48000.0,48000.0,48000.0,"48.000,00","2,13",3.0,144.000,144.000,48000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-05-12,48000.0,48000.0,48000.0,"48.000,00","0,00",6.0,288.000,288.000,48000.0,26.34508744520535,BUY,18.047714441813877,,BUY,-81.95228555818612,BUY,,HOLD,41.43546332244489,HOLD
2015-06-01,48000.0,48000.0,48000.0,"48.000,00","0,00",6.0,288.000,288.000,48000.0,26.34508744520535,BUY,18.047714441813877,,BUY,-81.95228555818612,BUY,,HOLD,41.43546332244489,HOLD
2015-09-15,46560.0,46560.0,46560.0,"46.560,00","-3,00",2.0,93.120,93.120,46560.0,22.81133615967947,BUY,5.429773592466439,13.841734158698065,BUY,-94.57022640753355,BUY,,HOLD,39.360707546358164,HOLD
2015-11-04,40500.0,40500.0,40500.0,"40.500,00","-13,02",1.0,40.500,40.500,40500.0,14.187048869072356,BUY,0.0,7.8258293447601055,BUY,-100.0,BUY,,HOLD,45.178975400089044,HOLD
2015-11-16,38000.0,38000.0,38000.0,"38.000,00","-6,17",2.0,76.000,76.000,38000.0,12.146786752552345,BUY,0.0,1.8099245308221465,BUY,-100.0,BUY,,HOLD,49.67575036171004,HOLD
2015-11-18,39000.0,39000.0,39000.0,"39.000,00","2,63",17.0,663.000,663.000,39000.0,17.271768423130453,BUY,5.747126436781609,1.9157088122605364,BUY,-94.25287356321839,BUY,,HOLD,67.03327541402058,HOLD
2015-12-07,40000.0,40000.0,40000.0,"40.000,00","2,56",1.0,40.000,40.000,40000.0,22.161804980854484,BUY,18.181818181818183,7.976314872866598,BUY,-81.81818181818181,BUY,-123.50340853136579,BUY,69.46945667623264,HOLD
2015-12-16,40000.0,40000.0,40000.0,"40.000,00","0,00",12.0,480.000,480.000,40000.0,22.161804980854484,BUY,18.181818181818183,14.036920933472658,BUY,-81.81818181818181,BUY,-113.26267568893151,BUY,72.70903213384543,HOLD
2015-12-18,38800.0,38800.0,38800.0,"38.800,00","-3,00",2.0,77.600,77.600,38800.0,20.47726641386147,BUY,7.2727272727272725,14.545454545454547,BUY,-92.72727272727273,BUY,-117.02781530118727,BUY,57.8860321756127,HOLD
2015-12-21,40000.0,40000.0,40000.0,"40.000,00","3,09",1.0,40.000,57.640.000,40000.0,26.494288411204906,BUY,18.181818181818183,14.545454545454547,BUY,-81.81818181818181,BUY,-87.54544036082861,HOLD,59.006665690983354,HOLD
2015-12-24,40000.0,40000.0,40000.0,"40.000,00","0,00",48.0,1.920.000,1.920.000,40000.0,26.494288411204906,BUY,20.0,15.15151515151515,HOLD,-80.0,HOLD,-76.57329778650863,HOLD,59.006665690983354,HOLD
2015-12-25,40000.0,40000.0,40000.0,"40.000,00","0,00",150.0,6.000.000,6.000.000,40000.0,26.494288411204906,BUY,20.0,19.393939393939394,HOLD,-80.0,HOLD,-67.82738576854149,HOLD,75.53950707703838,HOLD
2015-12-29,37830.0,37830.0,37830.0,"37.830,00","-5,42",5.0,189.150,189.150,37830.0,22.62743154790826,BUY,0.0,13.333333333333334,BUY,-100.0,BUY,-91.95986322819806,HOLD,65.05937493123656,HOLD
2016-01-05,39500.0,39500.0,39500.0,"39.500,00","4,41",2.0,79.000,79.000,39500.0,30.976606555563905,HOLD,16.420845624385446,12.14028187479515,BUY,-83.57915437561455,BUY,-59.357324144355374,HOLD,63.310150419371986,HOLD
2016-01-25,40000.0,40000.0,40000.0,"40.000,00","1,27",8.0,320.000,320.000,40000.0,33.29740537412263,HOLD,21.337266470009833,12.586037364798427,HOLD,-78.66273352999016,HOLD,-46.72687356551243,HOLD,70.56482757342263,HOLD
2016-01-27,40002.0,40002.0,40002.0,"40.002,00","0,00",10.0,400.020,400.020,40002.0,33.307065119785136,HOLD,24.879725085910653,20.87927906010198,HOLD,-75.12027491408935,HOLD,-42.43019786121277,HOLD,76.39851564861102,HOLD
2016-02-18,40002.0,40002.0,40002.0,"40.002,00","0,00",1.0,40.002,40.002,40002.0,33.307065119785136,HOLD,81.34831460674157,42.52176872088735,SELL,-18.651685393258425,SELL,-38.42087137255371,HOLD,80.09370114321628,SELL
2016-02-25,40002.0,40002.0,40002.0,"40.002,00","0,00",5.0,200.010,200.010,40002.0,33.307065119785136,HOLD,100.0,68.74267989755074,SELL,-0.0,SELL,-34.89578083173734,HOLD,81.81475723828372,SELL
2016-02-26,40002.0,40002.0,40002.0,"40.002,00","0,00",1.0,40.002,40.002,40002.0,33.307065119785136,HOLD,100.0,93.78277153558054,SELL,-0.0,SELL,-31.308481464777664,HOLD,85.2524090956838,SELL
2016-03-03,40002.0,40002.0,40002.0,"40.002,00","0,00",3.0,120.006,120.006,40002.0,33.307065119785136,HOLD,100.0,100.0,SELL,-0.0,SELL,-26.75939725120053,HOLD,76.71871317978302,HOLD
2016-03-07,40002.0,40002.0,40002.0,"40.002,00","0,00",2.0,80.004,80.004,40002.0,33.307065119785136,HOLD,100.0,100.0,SELL,-0.0,SELL,-19.672636909453274,HOLD,75.87653852066886,HOLD
2016-03-11,40002.0,40002.0,40002.0,"40.002,00","0,00",6.0,240.012,240.012,40002.0,33.307065119785136,HOLD,100.0,100.0,SELL,-0.0,SELL,-0.7765592742009126,HOLD,75.87653852066886,HOLD
2016-03-25,40000.0,40000.0,40000.0,"40.000,00","0,00",3.0,120.000,1.320.000,40000.0,33.29896397359586,HOLD,99.90791896869244,99.96930632289748,SELL,-0.09208103130755065,SELL,40.11866439437001,HOLD,73.0745447102781,HOLD
2016-03-28,40000.0,40000.0,40000.0,"40.000,00","0,00",1.0,40.000,40.000,40000.0,33.29896397359586,HOLD,99.90791896869244,99.93861264579498,SELL,-0.09208103130755065,SELL,44.323765192656055,HOLD,72.10265572971656,HOLD
2016-04-04,40000.0,40000.0,40000.0,"40.000,00","0,00",4.0,160.000,160.000,40000.0,33.29896397359586,HOLD,99.90791896869244,99.90791896869244,SELL,-0.09208103130755065,SELL,41.51704798057553,HOLD,72.10265572971656,HOLD
2016-04-05,40000.0,40001.0,40000.0,"40.000,50","0,00",4.0,160.002,160.002,40000.0,33.29896397359586,HOLD,99.90791896869244,99.90791896869244,SELL,-0.09208103130755065,SELL,39.1124343245624,HOLD,75.62237910019519,HOLD
2016-04-11,40000.0,40000.0,40000.0,"40.000,00","0,00",5.0,200.000,200.000,40000.0,33.29896397359586,HOLD,99.60159362549801,99.80581052096096,SELL,-0.398406374501992,SELL,39.04492343421141,HOLD,74.98087079079212,HOLD
2016-04-12,40000.0,40000.0,40000.0,"40.000,00","0,00",4.0,160.000,160.000,40000.0,33.298963973595875,HOLD,0.0,66.50317086473014,BUY,-100.0,BUY,39.04492343421141,HOLD,73.33380739897957,HOLD
2016-04-20,40000.0,40000.0,40000.0,"40.000,00","0,00",4.0,160.000,160.000,40000.0,33.298963973595875,HOLD,0.0,33.200531208499335,BUY,-100.0,BUY,36.816251461420705,HOLD,63.63724515769315,HOLD
2016-05-05,40000.0,40000.0,40000.0,"40.000,00","0,00",3.0,120.000,120.000,40000.0,33.298963973595875,HOLD,0.0,0.0,BUY,-100.0,BUY,36.816251461420705,HOLD,33.33351851800413,HOLD
2016-06-09,40000.0,40000.0,40000.0,"40.000,00","0,00",1.0,40.000,40.000,40000.0,33.298963973595875,HOLD,0.0,0.0,BUY,-100.0,BUY,36.816251461420705,HOLD,33.33351851800413,HOLD
2016-06-28,40000.0,40000.0,40000.0,"40.000,00","0,00",1.0,40.000,40.000,40000.0,33.298963973595875,HOLD,0.0,0.0,BUY,-100.0,BUY,36.816251461420705,HOLD,33.33351851800413,HOLD
2016-07-11,38800.0,38800.0,38800.0,"38.800,00","-3,00",1.0,38.800,38.800,38800.0,25.492964351445977,BUY,0.0,0.0,BUY,-100.0,BUY,-485.6960436482899,BUY,30.84057866723549,HOLD
2016-07-13,40000.0,40000.0,40000.0,"40.000,00","3,09",3.0,120.000,120.000,40000.0,40.511166362988654,HOLD,99.83361064891847,33.277870216306155,SELL,-0.16638935108153077,SELL,34.64683507931156,HOLD,43.83230258338013,HOLD
2016-07-18,38801.0,38801.0,38801.0,"38.801,00","-3,00",1.0,38.801,38.801,38801.0,33.29068694742746,HOLD,0.08319467554076539,33.30560177481974,BUY,-99.91680532445923,BUY,-333.17905044022564,BUY,41.322368527853364,HOLD
2016-08-05,39970.0,39970.0,39970.0,"39.970,00","3,01",20.0,799.400,799.400,39970.0,43.8067962561688,HOLD,97.4188176519567,65.77854099213864,SELL,-2.5811823480432974,SELL,28.069633292129193,HOLD,73.08054354235956,HOLD
2016-08-15,40000.0,40000.0,40000.0,"40.000,00","0,08",1.0,40.000,40.000,40000.0,44.05055255777678,HOLD,99.91673605328893,65.80624946026212,SELL,-0.08326394671107411,SELL,37.374705112752665,HOLD,80.12880913823336,SELL
