Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2014-11-12,500.0,500.0,500.0,"500,00","0,00",120.0,60.000,60.000,500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-01-21,500.0,500.0,500.0,"500,00","0,00",60.0,30.000,30.000,500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-27,500.0,500.0,500.0,"500,00","0,00",43.0,21.500,21.500,500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-04-01,500.0,500.0,500.0,"500,00","0,00",130.0,65.000,65.000,500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-04-28,500.0,500.0,500.0,"500,00","0,00",14.0,7.000,7.000,500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-05-27,603.0,603.0,603.0,"603,00","20,60",121.0,72.963,72.963,603.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-05-28,608.0,608.0,608.0,"608,00","0,83",122.0,74.176,74.176,608.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-09-15,720.0,720.0,720.0,"720,00","18,42",98.0,70.560,70.560,720.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-11-03,800.0,800.0,800.0,"800,00","11,11",102.0,81.600,81.600,800.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-06-13,1000.0,1000.0,1000.0,"1.000,00","25,00",254.0,254.000,254.000,1000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-08-22,1200.0,1200.0,1200.0,"1.200,00","20,00",8.0,9.600,9.600,1200.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-10-27,1200.0,1200.0,1200.0,"1.200,00","0,00",225.0,270.000,270.000,1200.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
