Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2014-11-12,500.0,500.0,500.0,120.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-01-11,500.0,500.0,500.0,60.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-10,500.0,500.0,500.0,43.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-03-12,500.0,500.0,500.0,130.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-04-11,500.0,500.0,500.0,14.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-05-11,608.0,608.0,603.0,243.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-09-08,720.0,720.0,720.0,98.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-10-08,800.0,800.0,800.0,102.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-06-04,1000.0,1000.0,1000.0,254.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-08-03,1200.0,1200.0,1200.0,8.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-10-02,1200.0,1200.0,1200.0,225.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-11-01,1200.0,1200.0,1200.0,2543.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-12-01,1200.0,1440.0,1200.0,1037.621,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-12-31,1150.0,1150.0,1150.0,30.0,90.28021938876918,SELL,69.14893617021276,,HOLD,-30.851063829787233,HOLD,,HOLD,98.20849380814957,SELL,827.0,915.9739994220004,979.8857142857142,BUY,BUY,BUY
2017-01-30,1200.0,1200.0,1200.0,320.0,91.20122707681499,SELL,74.46808510638297,,HOLD,-25.53191489361702,HOLD,,HOLD,98.50633436320929,SELL,877.0,953.8441328324003,1029.6190476190477,BUY,BUY,BUY
2017-03-01,1000.0,1100.0,1000.0,105.0,64.76533008141368,HOLD,53.191489361702125,65.60283687943262,HOLD,-46.808510638297875,HOLD,,HOLD,94.0866423834705,SELL,912.7142857142857,959.998248454747,1046.0190476190476,BUY,BUY,SELL
2017-10-27,900.0,900.0,900.0,886.0,56.02148117806766,HOLD,42.5531914893617,56.737588652482266,HOLD,-57.4468085106383,HOLD,,HOLD,70.7555590528916,HOLD,941.2857142857143,951.9984819941141,1044.3238095238094,SELL,SELL,SELL
2018-10-22,900.0,900.0,900.0,176.0,56.02148117806766,HOLD,42.5531914893617,46.09929078014184,HOLD,-57.4468085106383,HOLD,,HOLD,70.7555590528916,HOLD,969.8571428571429,945.0653510615656,1038.8190476190475,SELL,SELL,SELL
2018-11-21,1200.0,1200.0,1200.0,400.0,70.07719673076389,SELL,71.32616487455198,52.14418261775845,HOLD,-28.67383512544803,HOLD,,HOLD,74.55389410006111,HOLD,1019.8571428571429,979.0566375866902,1069.5047619047618,BUY,BUY,BUY
2018-12-21,1400.0,1400.0,1399.0,8.106,75.66182002911165,SELL,94.44444444444444,69.44126693611938,SELL,-5.555555555555555,SELL,118.99448191293689,SELL,73.5817508609665,HOLD,1076.4285714285713,1035.1824192417982,1120.1904761904761,BUY,BUY,BUY
2019-02-19,1000.0,1000.0,1000.0,473.0,53.967765681964124,HOLD,31.25,65.67353643966548,HOLD,-68.75,HOLD,15.957960966265102,HOLD,64.32700351303399,HOLD,1096.4285714285713,1030.4914300095586,1110.0,SELL,SELL,SELL
2019-04-20,1200.0,1200.0,1200.0,1075.0,60.124185095276545,HOLD,55.55555555555556,60.416666666666664,HOLD,-44.44444444444444,HOLD,63.457227802631735,HOLD,72.66415545887597,HOLD,1125.0,1053.0925726749508,1123.8095238095239,BUY,BUY,BUY
2019-05-20,1200.0,1200.0,1200.0,116.0,60.124185095276545,HOLD,55.55555555555556,47.4537037037037,HOLD,-44.44444444444444,HOLD,58.83745586676138,HOLD,71.25191022402032,HOLD,1139.2857142857142,1072.6802296516241,1133.8095238095239,BUY,BUY,BUY
2019-07-19,1200.0,1200.0,1200.0,125.0,60.124185095276545,HOLD,55.55555555555556,55.55555555555556,HOLD,-44.44444444444444,HOLD,53.433191333424936,HOLD,71.1956666426674,HOLD,1139.2857142857142,1089.6561990314076,1141.904761904762,BUY,BUY,BUY
2019-08-18,1200.0,1200.0,1200.0,10.0,60.124185095276545,HOLD,55.55555555555556,55.55555555555556,HOLD,-44.44444444444444,HOLD,47.942935178924195,HOLD,71.1956666426674,HOLD,1139.2857142857142,1104.3687058272199,1150.0,BUY,BUY,BUY
2019-10-17,1100.0,1100.0,1100.0,100.0,55.16260875158706,HOLD,37.03703703703704,49.382716049382715,HOLD,-62.96296296296296,HOLD,-2.005024640061886,HOLD,69.63463843233451,HOLD,1132.142857142857,1103.7862117169238,1144.7619047619048,SELL,SELL,SELL
2020-02-14,1200.0,1200.0,1200.0,198.0,58.822089476921846,HOLD,60.0,50.8641975308642,HOLD,-40.0,HOLD,41.16122194692289,HOLD,61.20056364940079,HOLD,1132.142857142857,1116.614716821334,1153.8095238095239,BUY,BUY,BUY
2020-04-14,1200.0,1200.0,1080.0,441.0,58.82208947692185,HOLD,60.0,52.34567901234568,HOLD,-40.0,HOLD,9.785565407849587,HOLD,54.570163705138576,HOLD,1135.7142857142858,1127.7327545784894,1162.857142857143,BUY,BUY,BUY
2020-06-13,1200.0,1200.0,1200.0,164.0,58.82208947692185,HOLD,60.0,60.0,HOLD,-40.0,HOLD,34.24844769008468,HOLD,52.55307394160255,HOLD,1135.7142857142858,1137.3683873013576,1171.4285714285716,BUY,BUY,BUY
