Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2014-11-27,7060.0,7060.0,7060.0,"7.060,00","8,62",35.0,247.100,247.100,7060.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-28,7555.0,7555.0,7555.0,"7.555,00","7,01",24.0,181.320,181.320,7555.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-03-03,7329.0,7329.0,7329.0,"7.329,00","-2,99",13.0,95.277,95.277,7329.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-05-27,7329.0,7329.0,7329.0,"7.329,00","0,00",10.0,73.290,73.290,7329.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-09-06,7110.0,7110.0,7110.0,"7.110,00","-2,99",40.0,284.400,284.400,7110.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2021-03-01,9240.0,9240.0,9240.0,"9.240,00","29,96",103.0,951.720,951.720,9240.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2021-06-10,9240.0,9240.0,9240.0,"9.240,00","0,00",61.0,563.640,563.640,9240.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2022-03-02,9240.0,9240.0,9240.0,"9.240,00","0,00",130.0,1.201.200,1.201.200,9240.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2022-05-30,9240.0,9240.0,9240.0,"9.240,00","0,00",168.0,1.552.320,1.552.320,9240.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2022-06-01,9240.0,9240.0,9240.0,"9.240,00","0,00",10.0,92.400,92.400,9240.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2022-08-16,9240.0,9240.0,9240.0,"9.240,00","0,00",29.0,267.960,267.960,9240.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2022-09-26,9240.0,9240.0,9240.0,"9.240,00","0,00",18.0,166.320,166.320,9240.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2022-10-04,9240.0,9240.0,9240.0,"9.240,00","0,00",91.0,840.840,840.840,9240.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2022-10-10,9240.0,9240.0,9240.0,"9.240,00","0,00",84.0,776.160,776.160,9240.0,86.66680887796988,SELL,100.0,,SELL,-0.0,SELL,,HOLD,74.90098941176704,HOLD
2022-10-20,9240.0,9240.0,9240.0,"9.240,00","0,00",60.0,554.400,554.400,9240.0,86.66680887796988,SELL,100.0,,SELL,-0.0,SELL,,HOLD,74.90098941176704,HOLD
2022-12-22,9240.0,9240.0,9240.0,"9.240,00","0,00",25.0,231.000,231.000,9240.0,86.66680887796988,SELL,100.0,100.0,SELL,-0.0,SELL,,HOLD,71.48281091214716,HOLD
2023-03-09,9240.0,9240.0,9240.0,"9.240,00","0,00",10.0,92.400,92.400,9240.0,86.66680887796988,SELL,100.0,100.0,SELL,-0.0,SELL,,HOLD,76.99252499757306,HOLD
