Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2014-11-10,563.0,566.0,563.0,"564,20","-0,13",1.07,603.690,603.690,563.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-11,570.0,570.0,559.0,"560,46","-0,66",756.0,423.710,423.710,570.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-12,580.0,580.0,569.0,"572,25","2,10",1.399,800.573,800.573,580.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-13,575.0,576.0,575.0,"575,23","0,52",452.0,260.002,260.002,575.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-13,575.0,576.0,575.0,"575,23","0,52",452.0,260.002,260.002,575.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-14,576.0,576.0,575.0,"575,28","0,01",266.0,153.025,153.025,576.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-17,580.0,580.0,575.0,"575,51","0,04",390.0,224.450,224.450,580.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-18,575.0,575.0,574.0,"574,67","-0,15",1.194,686.156,686.156,575.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-19,570.0,570.0,560.0,"562,99","-2,03",428.0,240.960,240.960,570.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-20,570.0,579.0,569.0,"570,33","1,30",6.991,3.987.210,3.987.210,570.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-21,573.0,573.0,573.0,"573,00","0,47",329.0,188.517,188.517,573.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-25,570.0,570.0,570.0,"570,00","-0,52",310.0,176.700,176.700,570.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-26,570.0,570.0,570.0,"570,00","0,00",20.0,11.400,11.400,570.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-27,570.0,570.0,570.0,"570,00","0,00",100.0,57.000,57.000,570.0,52.08356736879028,HOLD,52.38095238095238,,HOLD,-47.61904761904762,HOLD,,HOLD,59.528532135924195,HOLD
2014-11-28,570.0,570.0,570.0,"570,00","0,00",778.0,443.460,443.460,570.0,52.08356736879027,HOLD,52.38095238095238,,HOLD,-47.61904761904762,HOLD,,HOLD,59.528532135924195,HOLD
2014-12-01,562.0,562.0,562.0,"562,00","-1,40",100.0,56.200,56.200,562.0,37.67700250221295,HOLD,10.0,38.25396825396825,BUY,-90.0,BUY,,HOLD,43.725376766278565,HOLD
2014-12-02,573.0,573.0,562.0,"570,13","1,45",5.522,3.148.265,3.148.265,573.0,55.78636965234889,HOLD,65.0,42.46031746031746,HOLD,-35.0,HOLD,,HOLD,43.82575416963606,HOLD
2014-12-04,570.0,570.0,570.0,"570,00","-0,02",622.0,354.540,354.540,570.0,51.39975725622516,HOLD,50.0,41.666666666666664,HOLD,-50.0,HOLD,,HOLD,66.11252084894437,HOLD
2014-12-05,575.0,575.0,571.0,"571,92","0,34",2.658,1.520.154,1.520.154,575.0,57.41060909684228,HOLD,75.0,63.333333333333336,HOLD,-25.0,HOLD,,HOLD,66.149258052296,HOLD
2014-12-09,560.0,573.0,560.0,"570,40","-0,27",500.0,285.200,285.200,560.0,41.01988981240448,HOLD,0.0,41.666666666666664,BUY,-100.0,BUY,-117.85874943769578,BUY,50.61843755425174,HOLD
2014-12-12,580.0,581.0,560.0,"579,23","1,55",17.741,10.276.138,10.276.138,580.0,58.16860606770239,HOLD,95.23809523809524,56.74603174603175,SELL,-4.761904761904762,SELL,43.809523809523014,HOLD,42.562466564715,HOLD
2014-12-16,570.0,570.0,570.0,"570,00","-1,59",350.0,199.500,199.500,570.0,50.294500673908416,HOLD,47.61904761904762,47.61904761904762,HOLD,-52.38095238095238,HOLD,-31.155778894471485,HOLD,36.99171540991374,HOLD
2014-12-17,555.0,570.0,555.0,"569,27","-0,13",409.0,232.830,232.830,555.0,41.27000347124412,HOLD,0.0,47.61904761904762,BUY,-100.0,BUY,-200.24875621890598,BUY,37.32325785355922,HOLD
2014-12-19,570.0,570.0,570.0,"570,00","0,13",200.0,114.000,114.000,570.0,50.78088914260776,HOLD,57.69230769230769,35.10378510378511,HOLD,-42.30769230769231,HOLD,-9.35203740815031,HOLD,41.590778657127906,HOLD
2014-12-22,560.0,560.0,560.0,"560,00","-1,75",500.0,280.000,280.000,560.0,45.49172750494205,HOLD,19.23076923076923,25.64102564102564,BUY,-80.76923076923077,BUY,-180.29739776951897,BUY,28.317992828501076,HOLD
2014-12-23,566.0,570.0,560.0,"562,25","0,40",1.53,860.240,860.240,566.0,48.92887298223647,HOLD,42.30769230769231,39.743589743589745,HOLD,-57.69230769230769,HOLD,-69.80961015412316,HOLD,31.626464165660124,HOLD
2014-12-24,570.0,570.0,570.0,"570,00","1,38",2.63,1.499.100,1.499.100,570.0,51.14082182125836,HOLD,57.69230769230769,39.743589743589745,HOLD,-42.30769230769231,HOLD,23.99481193255543,HOLD,31.693340694566686,HOLD
2014-12-25,570.0,570.0,560.0,"565,93","-0,71",123.0,69.610,69.610,570.0,51.14082182125836,HOLD,57.69230769230769,52.56410256410256,HOLD,-42.30769230769231,HOLD,-33.76365441906715,HOLD,30.314730243805954,HOLD
2014-12-26,581.0,585.0,580.0,"580,50","2,57",1.491,865.530,865.530,581.0,57.07081675577101,HOLD,86.66666666666667,67.35042735042735,SELL,-13.333333333333334,SELL,235.22242535039726,SELL,30.352448121916993,HOLD
2014-12-29,595.0,597.0,595.0,"596,00","2,67",1.0,596.000,596.000,595.0,63.19363209291637,HOLD,95.23809523809524,79.86568986568987,SELL,-4.761904761904762,SELL,363.26774001193235,SELL,31.481468190266654,HOLD
2014-12-30,595.0,596.0,594.0,"594,91","-0,18",3.013,1.792.458,1.792.458,595.0,63.193632092916374,HOLD,95.23809523809524,92.3809523809524,SELL,-4.761904761904762,SELL,249.58168207838017,SELL,31.305657584594456,HOLD
2015-01-05,578.0,578.0,578.0,"578,00","-2,84",20.0,11.560,11.560,578.0,52.623741119258604,HOLD,54.76190476190476,81.74603174603175,HOLD,-45.23809523809524,HOLD,61.58164107644099,HOLD,10.764637792023024,BUY
