Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2014-11-10,560.0,580.0,559.0,5521.834,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-10,580.0,597.0,555.0,2243.4049999999997,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-01-09,587.0,595.0,578.0,5589.307,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-08,580.0,589.0,560.0,3850.371,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-03-10,515.0,590.0,506.0,4149.559,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-04-09,485.0,540.0,485.0,3737.262,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-05-09,467.0,520.0,467.0,2494.733,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-06-08,460.0,480.0,455.0,4472.079,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-07-08,485.0,505.0,454.0,3103.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-08-07,470.0,490.0,460.0,2451.525,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-09-06,486.0,498.0,460.0,5837.986,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-10-06,484.0,489.0,475.0,4110.02,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-11-05,485.0,487.0,470.0,5619.998,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-12-05,490.0,490.0,475.0,8274.125,36.77119582360423,HOLD,25.174825174825173,,HOLD,-74.82517482517483,HOLD,,HOLD,52.461260706560296,HOLD,509.57142857142856,503.1267798606342,491.60952380952375,SELL,SELL,SELL
2016-01-04,530.0,539.0,485.0,4557.083,52.62965642176936,HOLD,53.14685314685315,,HOLD,-46.85314685314685,HOLD,,HOLD,56.114919404372266,HOLD,507.42857142857144,506.7098758792163,494.33333333333337,BUY,BUY,BUY
2016-02-03,485.0,509.0,481.0,6071.0,40.36428879287283,HOLD,21.98581560283688,33.435831308171736,HOLD,-78.01418439716312,HOLD,,HOLD,49.19171600177851,HOLD,500.64285714285717,503.8152257619875,491.3428571428572,SELL,SELL,SELL
2016-03-04,480.0,494.0,461.0,3132.233,39.26921244145678,HOLD,19.11764705882353,31.416771936171187,BUY,-80.88235294117646,BUY,,HOLD,41.34448667271741,HOLD,493.0,500.6398623270559,488.5904761904762,SELL,SELL,SELL
2016-04-03,469.0,480.0,459.0,3728.0,36.897554547705596,HOLD,11.029411764705882,17.377624808788763,BUY,-88.97058823529412,BUY,,HOLD,41.98812808890659,HOLD,485.07142857142856,496.4212140167818,485.3904761904762,SELL,SELL,SELL
2016-05-03,460.0,480.0,460.0,2876.421,35.03325844210259,HOLD,6.976744186046512,12.374601003191975,BUY,-93.02325581395348,BUY,,HOLD,43.25918922600351,HOLD,481.14285714285717,491.56505214787757,482.047619047619,SELL,SELL,SELL
2016-06-02,450.0,466.0,420.0,1589.0,33.03594503303766,HOLD,25.210084033613445,14.405413328121947,HOLD,-74.78991596638656,HOLD,-109.7410801388156,BUY,45.066072441320216,HOLD,478.64285714285717,486.02304519482726,477.89523809523814,SELL,SELL,SELL
2016-07-02,480.0,480.0,449.0,2732.308,43.45170854139125,HOLD,50.42016806722689,27.53566542896228,HOLD,-49.57983193277311,HOLD,-59.75614091216075,HOLD,49.503177476148565,HOLD,479.57142857142856,485.2199725021836,478.07619047619045,BUY,SELL,BUY
2016-08-01,515.0,540.0,460.0,5436.009,52.69609037872804,HOLD,79.16666666666667,51.598972922502334,HOLD,-20.833333333333332,HOLD,27.8272673284125,HOLD,57.88102396233438,HOLD,483.5,489.19064283522584,482.80000000000007,BUY,BUY,BUY
2016-08-31,530.0,550.0,506.0,3363.991,56.01482559829118,HOLD,84.61538461538461,71.40073978309272,SELL,-15.384615384615385,SELL,112.69722013523672,SELL,58.29305084595522,HOLD,486.7142857142857,494.63189045719577,489.0,BUY,BUY,BUY
2016-09-30,555.0,555.0,520.0,3860.76,60.93415821333921,HOLD,100.0,87.92735042735042,SELL,-0.0,SELL,179.04571792952413,SELL,63.45442638306016,HOLD,492.7857142857143,502.6809717295697,498.10476190476186,BUY,BUY,BUY
2016-10-30,622.0,640.0,597.0,6668.184,70.46707512304803,SELL,91.81818181818181,92.14452214452213,SELL,-8.181818181818182,SELL,328.0402620504144,SELL,64.9941807373039,HOLD,502.5,518.5901754989604,515.3333333333333,BUY,BUY,BUY
2016-11-29,589.0,620.0,578.0,5288.978,62.39142744781863,HOLD,76.81818181818181,89.54545454545455,HOLD,-23.181818181818183,HOLD,202.4527125337768,SELL,56.56868818282855,HOLD,510.0,527.978152099099,526.8666666666667,BUY,BUY,BUY
2016-12-29,611.0,619.0,577.0,3984.326,65.25054821132129,HOLD,86.81818181818181,85.15151515151514,SELL,-13.181818181818182,SELL,170.62750720481978,SELL,64.54064113909166,HOLD,519.0,539.0477318192192,540.3333333333334,BUY,BUY,BUY
2017-01-28,680.0,700.0,610.0,4727.731,72.35035203870363,SELL,92.85714285714286,85.49783549783551,SELL,-7.142857142857143,SELL,210.59066967644839,SELL,63.54932830529052,HOLD,532.5714285714286,557.8413675766566,561.8,BUY,BUY,BUY
2017-02-27,680.0,690.0,670.0,4763.46,72.35035203870363,SELL,92.85714285714286,90.84415584415585,SELL,-7.142857142857143,SELL,184.070796460177,SELL,64.54250482526507,HOLD,543.2857142857143,574.1291852331024,581.4571428571429,BUY,BUY,BUY
2017-03-29,680.0,684.0,670.0,6473.7970000000005,72.35035203870363,SELL,92.85714285714286,92.85714285714286,SELL,-7.142857142857143,SELL,149.12781148972215,SELL,61.848877657671544,HOLD,557.2142857142857,588.2452938686887,599.6857142857143,BUY,BUY,BUY
2017-04-28,720.0,750.0,669.0,2816.643,75.91352274696257,SELL,90.9090909090909,92.2077922077922,SELL,-9.090909090909092,SELL,152.41090624548917,SELL,66.8045594703413,HOLD,574.3571428571429,605.8125880195303,621.3904761904762,BUY,BUY,BUY
2017-05-28,760.0,780.0,721.0,5327.761,78.84890439670713,SELL,94.44444444444444,92.73689273689274,SELL,-5.555555555555555,SELL,155.9264906508307,SELL,73.6728545469429,HOLD,595.1428571428571,626.3709096169263,646.1428571428572,BUY,BUY,BUY
2017-06-27,805.0,844.0,706.0,4076.386,81.57005474883766,SELL,90.80188679245283,92.05180738199606,SELL,-9.19811320754717,SELL,152.57258527447965,SELL,78.4567231510062,HOLD,619.7857142857143,650.1881216680027,674.1238095238095,BUY,BUY,BUY
2017-07-27,873.0,880.0,778.0,5071.526,84.76062255249897,SELL,98.37587006960557,94.54073376883429,SELL,-1.6241299303944317,SELL,165.91246903385633,SELL,81.98557390656346,SELL,650.0,679.8963721122691,707.8857142857142,BUY,BUY,BUY
2017-08-26,870.0,890.0,869.0,3902.157,84.06914578467544,SELL,95.34883720930233,94.8421980237869,SELL,-4.651162790697675,SELL,158.44829127312823,SELL,82.8604205738201,SELL,677.8571428571429,705.2435224972999,737.2190476190476,BUY,BUY,BUY
2017-09-25,835.0,878.0,825.0,4600.847,76.25333933861683,SELL,85.67708333333333,93.13393020408041,SELL,-14.322916666666666,SELL,122.49258493934414,SELL,74.67269976359594,HOLD,700.7142857142857,722.5443861643265,758.1714285714287,BUY,BUY,BUY
2017-10-25,780.0,850.0,780.0,5721.568,65.88718970331382,HOLD,70.27027027027027,83.76539693763532,HOLD,-29.72972972972973,HOLD,88.41910060268894,HOLD,66.57630456940485,HOLD,718.5714285714286,730.2051346757497,768.7428571428571,BUY,BUY,BUY
2017-11-24,765.0,800.0,750.0,2985.0,63.35748522187305,HOLD,60.063897763578275,72.00375045572729,HOLD,-39.936102236421725,HOLD,64.49201397374888,HOLD,61.936310724919196,HOLD,733.5714285714286,734.8444500523165,774.9333333333333,BUY,BUY,SELL
2017-12-24,830.0,840.0,752.0,3754.663,68.92527556320204,HOLD,80.83067092651757,70.38827965345537,SELL,-19.169329073482427,SELL,78.12974496069623,HOLD,61.04595777141329,HOLD,748.4285714285714,747.5318567120077,787.7904761904762,BUY,BUY,BUY
2018-01-23,810.0,870.0,806.0,8024.999,65.6212498256007,HOLD,74.4408945686901,71.77848775292864,HOLD,-25.559105431309906,HOLD,82.7189298491212,HOLD,69.9734382679512,HOLD,764.2142857142857,755.86094248374,796.0,BUY,BUY,BUY
2018-02-22,780.0,818.0,780.0,5549.731,60.90503025294161,HOLD,60.714285714285715,71.9952837364978,HOLD,-39.285714285714285,HOLD,54.36684160947379,HOLD,62.745724572700304,HOLD,776.2857142857143,759.079483485908,798.104761904762,BUY,BUY,SELL
2018-03-24,750.0,780.0,689.0,2911.254,56.52969959601887,HOLD,36.65158371040724,57.26892133112768,HOLD,-63.34841628959276,HOLD,12.056631147130878,HOLD,57.86079054475247,HOLD,781.2857142857143,757.8688856877869,794.6,SELL,SELL,SELL
2018-04-23,716.0,820.0,707.0,3991.715,51.97273520129902,HOLD,21.266968325791854,39.5442792501616,HOLD,-78.73303167420815,HOLD,11.195516103334477,HOLD,57.65167621571452,HOLD,783.8571428571429,752.2863675960821,785.8952380952381,SELL,SELL,SELL
2018-05-23,835.0,845.0,740.0,5889.601,63.16488897795401,HOLD,75.1131221719457,44.34389140271494,HOLD,-24.8868778280543,HOLD,56.946893037409055,HOLD,66.44064789952907,HOLD,794.9285714285714,763.3148519166044,792.7142857142858,BUY,BUY,BUY
2018-06-22,833.0,900.0,800.0,2969.799,62.89958648998715,HOLD,68.24644549763033,54.875511998455956,HOLD,-31.753554502369667,HOLD,86.61104489471595,HOLD,66.76171374556131,HOLD,803.0,772.6062049943905,797.7904761904763,BUY,BUY,BUY
2018-07-22,810.0,846.0,782.0,3899.652,59.78949615941521,HOLD,57.345971563981045,66.9018464111857,HOLD,-42.654028436018955,HOLD,49.20981134963457,HOLD,60.040531145099266,HOLD,806.5714285714286,777.5920443284718,798.7238095238096,BUY,BUY,BUY
2018-08-21,820.0,830.0,795.0,2155.102,60.6993708054017,HOLD,62.08530805687204,62.55924170616114,HOLD,-37.91469194312796,HOLD,46.41690166062387,HOLD,58.8843725178134,HOLD,807.6428571428571,783.2464384180089,800.5142857142858,BUY,BUY,BUY
2018-09-20,830.0,875.0,765.0,2257.762,61.63428137403728,HOLD,66.82464454976304,62.08530805687204,HOLD,-33.175355450236964,HOLD,53.02339714372543,HOLD,56.78862179017379,HOLD,804.5714285714286,789.480246628941,803.495238095238,BUY,BUY,BUY
2018-10-20,825.0,899.0,825.0,2550.6279999999997,60.85477456787374,HOLD,64.45497630331754,64.45497630331754,HOLD,-35.54502369668246,HOLD,89.25549915397607,HOLD,55.6177473554806,HOLD,801.3571428571429,794.2162137450822,806.2190476190476,BUY,BUY,BUY
2018-11-19,800.0,825.0,790.0,5816.847,56.97474819948121,HOLD,52.60663507109005,61.29541864139021,HOLD,-47.39336492890995,HOLD,3.616385005911429,HOLD,54.68281623369586,HOLD,798.8571428571429,794.987385245738,806.0380952380953,BUY,BUY,SELL
2018-12-19,830.0,840.0,753.0,4031.609,60.24998876458791,HOLD,66.82464454976304,61.29541864139021,HOLD,-33.175355450236964,HOLD,-0.8302200083022947,HOLD,63.41716496639932,HOLD,802.4285714285714,799.6557338796396,810.1904761904761,BUY,BUY,BUY
2019-01-18,815.0,830.0,811.0,2992.641,57.87760458257906,HOLD,59.71563981042654,59.715639810426545,HOLD,-40.28436018957346,HOLD,20.11299435028238,HOLD,68.5616241506265,HOLD,806.0,801.701636029021,811.8666666666667,BUY,BUY,BUY
2019-02-17,829.0,830.0,801.0,3517.406,59.48124005743676,HOLD,66.35071090047393,64.29699842022117,HOLD,-33.649289099526065,HOLD,19.8019801980198,HOLD,68.46043786134817,HOLD,805.9285714285714,805.3414178918182,814.9333333333333,BUY,BUY,BUY
2019-03-19,825.0,835.0,805.0,3466.921,58.792537903739216,HOLD,64.45497630331754,63.507109004739334,HOLD,-35.54502369668246,HOLD,28.882645768643044,HOLD,65.59685281071397,HOLD,807.0,807.9625621729091,817.4761904761905,BUY,BUY,BUY
2019-04-18,900.0,904.0,829.0,3784.938,66.60107781502019,HOLD,98.13953488372093,76.31507402917082,SELL,-1.8604651162790697,SELL,193.77672909600318,SELL,75.47271057921446,HOLD,815.5714285714286,820.2342205498545,829.8761904761905,BUY,BUY,BUY
2019-05-18,850.0,929.0,850.0,5532.771,58.62530934525957,HOLD,64.41441441441441,75.66964186715097,HOLD,-35.585585585585584,HOLD,174.22037422037425,SELL,70.79509938431497,HOLD,822.7142857142857,824.2029911432072,834.4666666666667,BUY,BUY,BUY
2019-06-17,850.0,885.0,831.0,2577.067,58.62530934525957,HOLD,58.2010582010582,73.58500249973117,HOLD,-41.7989417989418,HOLD,102.68149117070007,SELL,65.10013835180686,HOLD,832.2857142857143,827.6425923241129,838.1047619047621,BUY,BUY,BUY
2019-07-17,890.0,890.0,850.0,3291.107,62.76271962611267,HOLD,77.8409090909091,66.81879390212724,HOLD,-22.15909090909091,HOLD,140.9766454352439,SELL,63.50579412840673,HOLD,836.2142857142857,835.9569133475645,845.8000000000001,BUY,BUY,BUY
2019-08-16,949.0,960.0,878.0,858.447,67.86687105061652,HOLD,94.68599033816425,76.90931921004385,SELL,-5.314009661835748,SELL,212.73996509598595,SELL,61.911004396984154,HOLD,844.5,851.0293249012226,860.8380952380952,BUY,BUY,BUY
2019-09-15,1030.0,1145.0,940.0,3903.257,73.28156902086627,SELL,70.66326530612245,81.06338824506527,HOLD,-29.336734693877553,HOLD,300.86060242169503,SELL,70.67217685251948,HOLD,860.2142857142857,874.8920815810596,885.5714285714286,BUY,BUY,BUY
2019-10-15,1015.0,1102.0,980.0,4490.817,70.89896410565915,SELL,66.83673469387755,77.39533011272142,HOLD,-33.16326530612245,HOLD,226.72341483115343,SELL,61.8329736785986,HOLD,874.1428571428571,893.5731373702517,906.209523809524,BUY,BUY,BUY
2019-11-14,1035.0,1060.0,984.0,3481.346,72.19695902840958,SELL,71.93877551020408,69.81292517006803,HOLD,-28.06122448979592,HOLD,178.00836330030097,SELL,55.28980512061863,HOLD,888.7857142857143,912.4300523875515,927.6571428571428,BUY,BUY,BUY
2019-12-14,1180.0,1200.0,1020.0,1787.347,79.3783754513407,SELL,95.52572706935123,78.10041242447762,SELL,-4.47427293064877,SELL,224.51883471878975,SELL,55.14750637033261,HOLD,914.1428571428571,948.1060454025447,966.4857142857143,BUY,BUY,BUY
2020-01-13,1190.0,1250.0,1165.0,3719.389,79.76653015950873,SELL,87.92756539235413,85.13068932396982,SELL,-12.072434607645874,SELL,211.3058358411519,SELL,65.51273443658853,HOLD,942.0,980.3585726822055,1003.2666666666665,BUY,BUY,BUY
2020-02-12,941.0,1200.0,941.0,4712.856,53.01024463752021,HOLD,31.180400890868597,71.54456445085799,HOLD,-68.8195991091314,HOLD,76.50491468636976,HOLD,56.143241022527455,HOLD,949.9285714285714,975.1107629912448,1003.1333333333334,SELL,SELL,SELL
2020-03-13,929.0,976.0,696.0,2714.038,52.10318472634921,HOLD,42.057761732851986,53.721909338691574,HOLD,-57.942238267148014,HOLD,-32.648583852125874,HOLD,50.90612225819749,HOLD,958.0714285714286,968.9626612590788,1000.3428571428572,SELL,SELL,SELL
2020-04-12,1020.0,1035.0,899.0,2266.181,57.975668292132646,HOLD,58.48375451263538,43.907305712118664,HOLD,-41.51624548736462,HOLD,41.36467294362028,HOLD,50.19530062830655,HOLD,971.7142857142857,975.7676397578683,1008.5999999999999,BUY,BUY,BUY
2020-05-12,963.0,1020.0,962.0,5853.8460000000005,53.547044165170995,HOLD,48.194945848375454,49.57882069795428,HOLD,-51.805054151624546,HOLD,34.34225844004655,HOLD,41.227801649725045,HOLD,981.5714285714286,974.0652877901526,1007.4380952380952,SELL,SELL,SELL
2020-06-11,957.0,974.0,915.0,5661.675,53.087343502235015,HOLD,47.111913357400724,51.263537906137195,HOLD,-52.888086642599276,HOLD,8.596392333709167,HOLD,32.900398108233816,HOLD,985.6428571428571,971.789916084799,1004.1619047619048,SELL,SELL,SELL
2020-07-11,963.0,980.0,940.0,5446.022,53.51709517053704,HOLD,48.194945848375454,47.833935018050546,HOLD,-51.805054151624546,HOLD,12.496888225043577,HOLD,43.02891173722958,HOLD,993.7142857142857,970.6179272734925,1001.1428571428571,SELL,SELL,SELL
2020-08-10,1029.0,1029.0,945.0,4424.279,58.06755324932807,HOLD,60.108303249097474,51.80505415162455,HOLD,-39.891696750902526,HOLD,36.98755730189928,HOLD,49.623063725984345,HOLD,1006.5,978.4022036370268,1005.847619047619,BUY,BUY,BUY
2020-09-09,1040.0,1050.0,980.0,2626.836,58.79162364896119,HOLD,62.09386281588448,56.799037304452476,HOLD,-37.90613718411552,HOLD,48.797250859106605,HOLD,49.4337735596472,HOLD,1017.2142857142857,986.6152431520899,1010.3142857142857,BUY,BUY,BUY
2020-10-09,1010.0,1060.0,1000.0,5003.848,55.95387447032333,HOLD,56.67870036101083,59.62695547533093,HOLD,-43.32129963898917,HOLD,43.22893692104113,HOLD,48.653029163568306,HOLD,1021.5714285714286,989.7332107318113,1009.3523809523809,SELL,BUY,BUY
2020-11-08,1030.0,1045.0,990.0,3227.651,57.42912097552056,HOLD,60.288808664259925,59.68712394705175,HOLD,-39.711191335740075,HOLD,36.29881704748007,HOLD,41.411969938183766,HOLD,1021.5714285714286,995.1021159675698,1010.4761904761905,BUY,BUY,BUY
2020-12-08,1089.0,1119.0,1030.0,3253.757,61.523253732599166,HOLD,70.93862815884476,62.63537906137185,HOLD,-29.061371841155236,HOLD,84.56782439105356,HOLD,49.40326531218619,HOLD,1026.857142857143,1007.6218338385605,1019.4666666666667,BUY,BUY,BUY
2021-01-07,1196.0,1239.0,1069.0,6123.48,67.60754052238553,HOLD,90.25270758122744,73.82671480144406,SELL,-9.747292418772563,SELL,156.80473372781069,SELL,59.49488242528321,HOLD,1038.357142857143,1032.7389226600858,1042.0190476190476,BUY,BUY,BUY
2021-02-06,1230.0,1392.0,1225.0,1961.923,69.27037282047944,HOLD,76.72413793103448,79.3051578903689,HOLD,-23.275862068965516,HOLD,232.3872762624983,SELL,59.86364777359781,HOLD,1041.9285714285713,1059.040399638741,1067.5714285714287,BUY,BUY,BUY
2021-03-08,1110.0,1250.0,1052.0,4050.947,57.96124211299183,HOLD,59.48275862068966,75.48653471098386,HOLD,-40.51724137931034,HOLD,84.44564289245416,HOLD,51.430806970687094,HOLD,1036.2142857142858,1065.8350130202423,1076.647619047619,BUY,BUY,BUY
2021-04-07,1246.0,1246.0,1067.0,1974.75,64.94613772678466,HOLD,79.02298850574712,71.74329501915709,HOLD,-20.977011494252874,HOLD,109.14175843384025,SELL,58.47809586895616,HOLD,1058.0,1089.85701128421,1104.6190476190477,BUY,BUY,BUY
2021-05-07,1255.0,1300.0,1169.0,4601.855,65.35636243570485,HOLD,72.21095334685599,70.23890015776426,HOLD,-27.789046653144016,HOLD,129.80139002250763,SELL,65.31249209271482,HOLD,1081.2857142857142,1111.8760764463154,1130.8857142857144,BUY,BUY,BUY
