Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2015-07-06,3000.0,3000.0,3000.0,"3.000,00","0,00",16.0,48.0,48.0,3000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-05-11,3000.0,3000.0,3000.0,"3.000,00","0,00",3.0,9.0,9.0,3000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-12-22,3000.0,3000.0,3000.0,"3.000,00","0,00",3.0,9.0,9.0,3000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-01-11,3000.0,3000.0,3000.0,"3.000,00","0,00",3.0,9.0,9.0,3000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-06-20,3000.0,3000.0,3000.0,"3.000,00","0,00",3.0,9.0,9.0,3000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-02-15,3000.0,3000.0,3000.0,"3.000,00","0,00",8.0,24.0,24.0,3000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-05-22,3000.0,3000.0,3000.0,"3.000,00","0,00",2.0,6.0,6.0,3000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-11-21,3000.0,3000.0,3000.0,"3.000,00","0,00",16.0,48.0,48.0,3000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-12-04,3000.0,3000.0,3000.0,"3.000,00","0,00",2.0,6.0,6.0,3000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2019-02-25,3000.0,3000.0,3000.0,"3.000,00","0,00",6.0,18.0,18.0,3000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2019-03-19,3000.0,3000.0,3000.0,"3.000,00","0,00",4.0,12.0,12.0,3000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2019-12-24,3000.0,3000.0,3000.0,"3.000,00","0,00",4.0,12.0,12.0,3000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2021-02-24,3000.0,3000.0,3000.0,"3.000,00","0,00",2.0,6.0,6.0,3000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2021-06-09,3000.0,3000.0,3000.0,"3.000,00","0,00",13.0,39.0,39.0,3000.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,3000.0,3000.0,3000.0,HOLD,HOLD,HOLD
2022-06-14,3000.0,3000.0,3000.0,"3.000,00","0,00",3.0,9.0,9.0,3000.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,3000.0,3000.0,3000.0,HOLD,HOLD,HOLD
2022-09-05,3000.0,3000.0,3000.0,"3.000,00","0,00",2.0,6.0,6.0,3000.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,3000.0,3000.0,3000.0,HOLD,HOLD,HOLD
2023-01-09,3000.0,3000.0,3000.0,"3.000,00","0,00",11.0,33.0,33.0,3000.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,3000.0,3000.0,3000.0,HOLD,HOLD,HOLD
2023-03-01,3000.0,3000.0,3000.0,"3.000,00","0,00",3.0,9.0,9.0,3000.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,3000.0,3000.0,3000.0,HOLD,HOLD,HOLD
2023-12-26,3000.0,3000.0,3000.0,"3.000,00","0,00",15.0,45.0,45.0,3000.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,3000.0,3000.0,3000.0,HOLD,HOLD,HOLD
2024-02-19,3000.0,3000.0,3000.0,"3.000,00","0,00",4.0,12.0,12.0,3000.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,3000.0,3000.0,3000.0,HOLD,HOLD,HOLD
2024-03-14,3000.0,3000.0,3000.0,"3.000,00","0,00",13.0,39.0,39.0,3000.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,3000.0,3000.0,3000.0,HOLD,HOLD,HOLD
2024-05-29,3000.0,3000.0,3000.0,"3.000,00","0,00",3.0,9.0,9.0,3000.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,3000.0,3000.0,3000.0,HOLD,HOLD,HOLD
2024-06-03,3000.0,3000.0,3000.0,"3.000,00","0,00",7.0,21.0,21.0,3000.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,3000.0,3000.0,3000.0,HOLD,HOLD,HOLD
2024-06-12,3000.0,3000.0,3000.0,"3.000,00","0,00",2.0,6.0,6.0,3000.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,3000.0,3000.0,3000.0,HOLD,HOLD,HOLD
2024-09-12,3000.0,3000.0,3000.0,"3.000,00","0,00",4.0,12.0,12.0,3000.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,3000.0,3000.0,3000.0,HOLD,HOLD,HOLD
2024-12-17,3000.0,3000.0,3000.0,"3.000,00","0,00",13.0,39.0,39.0,3000.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,3000.0,3000.0,3000.0,HOLD,HOLD,HOLD
