Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2015-07-06,3000.0,3000.0,3000.0,16.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-05-09,3000.0,3000.0,3000.0,3.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-12-19,3000.0,3000.0,3000.0,3.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-01-09,3000.0,3000.0,3000.0,3.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-06-19,3000.0,3000.0,3000.0,3.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-02-12,3000.0,3000.0,3000.0,8.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-05-21,3000.0,3000.0,3000.0,2.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-11-19,3000.0,3000.0,3000.0,16.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-12-03,3000.0,3000.0,3000.0,2.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2019-02-25,3000.0,3000.0,3000.0,6.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2019-03-18,3000.0,3000.0,3000.0,4.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2019-12-23,3000.0,3000.0,3000.0,4.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2021-02-22,3000.0,3000.0,3000.0,2.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2021-06-07,3000.0,3000.0,3000.0,13.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,3000.0,3000.0,3000.0,HOLD,HOLD,HOLD
2022-06-13,3000.0,3000.0,3000.0,3.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,3000.0,3000.0,3000.0,HOLD,HOLD,HOLD
2022-09-05,3000.0,3000.0,3000.0,2.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,3000.0,3000.0,3000.0,HOLD,HOLD,HOLD
2023-01-09,3000.0,3000.0,3000.0,11.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,3000.0,3000.0,3000.0,HOLD,HOLD,HOLD
2023-02-27,3000.0,3000.0,3000.0,3.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,3000.0,3000.0,3000.0,HOLD,HOLD,HOLD
2023-12-25,3000.0,3000.0,3000.0,15.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,3000.0,3000.0,3000.0,HOLD,HOLD,HOLD
2024-02-19,3000.0,3000.0,3000.0,4.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,3000.0,3000.0,3000.0,HOLD,HOLD,HOLD
2024-03-11,3000.0,3000.0,3000.0,13.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,3000.0,3000.0,3000.0,HOLD,HOLD,HOLD
2024-05-27,3000.0,3000.0,3000.0,3.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,3000.0,3000.0,3000.0,HOLD,HOLD,HOLD
2024-06-03,3000.0,3000.0,3000.0,7.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,3000.0,3000.0,3000.0,HOLD,HOLD,HOLD
2024-06-10,3000.0,3000.0,3000.0,2.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,3000.0,3000.0,3000.0,HOLD,HOLD,HOLD
2024-09-09,3000.0,3000.0,3000.0,4.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,3000.0,3000.0,3000.0,HOLD,HOLD,HOLD
2024-12-16,3000.0,3000.0,3000.0,13.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,3000.0,3000.0,3000.0,HOLD,HOLD,HOLD
