Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2016-04-06,620.0,620.0,620.0,129.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-11-02,620.0,620.0,620.0,50.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2019-09-18,1500.0,1500.0,620.0,385.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2019-10-18,1500.0,1500.0,1500.0,989.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2019-11-17,1500.0,1500.0,1500.0,1009.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2019-12-17,1500.0,1500.0,1500.0,75.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2020-01-16,1500.0,1500.0,1500.0,190.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2020-02-15,1500.0,1500.0,1500.0,119.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2020-07-14,1500.0,1500.0,1500.0,80.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2021-03-11,4500.0,4500.0,4500.0,16.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2022-08-03,4500.0,4500.0,4500.0,128.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
