Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2014-11-18,1500.0,1500.0,1500.0,119.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-18,1500.0,1500.0,1500.0,32.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-06-16,1060.0,1060.0,1060.0,10.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-07-16,980.0,1000.0,900.0,228.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-08-15,1009.0,1009.0,1009.0,31.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-09-14,1010.0,1010.0,1010.0,20.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-10-14,1000.0,1000.0,1000.0,315.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-11-13,1050.0,1051.0,1050.0,272.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-12-13,1233.0,1233.0,1050.0,43.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-01-12,1400.0,1400.0,1233.0,70.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-02-11,1236.0,1236.0,1236.0,20.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-03-12,1200.0,1200.0,1200.0,18.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-05-11,1500.0,1500.0,1500.0,10.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-07-10,1545.0,1545.0,1545.0,13.0,60.77541958425995,HOLD,100.0,,SELL,-0.0,SELL,,HOLD,46.657228451163554,HOLD
2016-09-08,1502.0,1850.0,1502.0,101.0,58.142750701790675,HOLD,63.36842105263158,,HOLD,-36.63157894736842,HOLD,,HOLD,53.515891774169695,HOLD
2016-10-08,1500.0,1500.0,1414.0,752.0,58.016867212617605,HOLD,63.1578947368421,75.50877192982456,HOLD,-36.8421052631579,HOLD,,HOLD,28.609733486403442,HOLD
2016-11-07,1673.0,1800.0,1550.0,35.0,65.06311847692626,HOLD,81.36842105263158,69.29824561403508,SELL,-18.63157894736842,SELL,,HOLD,30.459664038435193,HOLD
2017-01-06,1545.0,1545.0,1461.0,186.0,57.38850137736348,HOLD,64.11764705882354,69.54798761609906,HOLD,-35.88235294117647,HOLD,,HOLD,29.68514330449854,HOLD
2017-02-05,1650.0,1650.0,1600.0,171.0,61.4097711438877,HOLD,76.47058823529412,73.98555211558308,HOLD,-23.529411764705884,HOLD,,HOLD,36.05757648025775,HOLD
2017-03-07,1701.0,1701.0,1601.0,132.0,63.225092630885456,HOLD,82.47058823529412,74.3529411764706,SELL,-17.529411764705884,SELL,96.74034948084376,HOLD,40.4108806924531,HOLD
2017-07-05,1700.0,1700.0,1699.0,90.0,63.16235198361153,HOLD,81.25,80.06372549019608,SELL,-18.75,SELL,99.24139019657004,HOLD,48.283946013534106,HOLD
2017-08-04,1530.0,1530.0,1530.0,1.0,53.451581591829935,HOLD,60.0,74.57352941176471,HOLD,-40.0,HOLD,51.26003877042369,HOLD,42.321728429894236,HOLD
2017-09-03,1485.0,1485.0,1485.0,35.0,51.207308921531705,HOLD,43.84615384615385,61.69871794871795,HOLD,-56.15384615384615,HOLD,34.2455392195705,HOLD,40.27263343454003,HOLD
2017-10-03,1440.0,1441.0,1440.0,28.0,48.99204579315681,HOLD,36.92307692307692,46.92307692307693,HOLD,-63.07692307692308,HOLD,15.928454251997694,HOLD,37.3013769213281,HOLD
2017-11-02,1400.0,1400.0,1400.0,357.0,47.04386816833655,HOLD,30.76923076923077,37.179487179487175,HOLD,-69.23076923076923,HOLD,-3.4732151367839217,HOLD,31.218632140802143,HOLD
2017-12-02,1400.0,1400.0,1300.0,272.0,47.04386816833655,HOLD,18.181818181818183,28.62470862470862,BUY,-81.81818181818181,BUY,-24.583434278177023,HOLD,27.869236071893425,HOLD
2018-01-01,1400.0,1400.0,1400.0,119.0,47.04386816833655,HOLD,18.181818181818183,22.377622377622377,BUY,-81.81818181818181,BUY,-22.350964193802348,HOLD,31.071218752675023,HOLD
