Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2014-11-18,1500.0,1500.0,1500.0,"1.500,00","0,00",10.0,15.0,15.0,1500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-02,1500.0,1500.0,1500.0,"1.500,00","0,00",60.0,90.0,90.0,1500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-10,1500.0,1500.0,1500.0,"1.500,00","0,00",14.0,21.0,21.0,1500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-17,1500.0,1500.0,1500.0,"1.500,00","0,00",35.0,52.5,52.5,1500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-26,1500.0,1500.0,1500.0,"1.500,00","0,00",32.0,48.0,48.0,1500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-06-24,1060.0,1060.0,1060.0,"1.060,00","-29,33",10.0,10.6,10.6,1060.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-07-24,1000.0,1000.0,1000.0,"1.000,00","-5,66",50.0,50.0,50.0,1000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-08-10,900.0,900.0,900.0,"900,00","-10,00",100.0,90.0,90.0,900.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-08-12,900.0,900.0,900.0,"900,00","0,00",28.0,25.2,25.2,900.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-08-13,980.0,980.0,980.0,"980,00","8,89",50.0,49.0,49.0,980.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
