Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2014-11-18,1500.0,1500.0,1500.0,119.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-18,1500.0,1500.0,1500.0,32.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-06-16,1060.0,1060.0,1060.0,10.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-07-16,980.0,1000.0,900.0,228.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-08-15,1009.0,1009.0,1009.0,31.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-09-14,1010.0,1010.0,1010.0,20.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-10-14,1000.0,1000.0,1000.0,315.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-11-13,1050.0,1051.0,1050.0,272.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-12-13,1233.0,1233.0,1050.0,43.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-01-12,1400.0,1400.0,1233.0,70.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-02-11,1236.0,1236.0,1236.0,20.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-03-12,1200.0,1200.0,1200.0,18.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-05-11,1500.0,1500.0,1500.0,10.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-07-10,1545.0,1545.0,1545.0,13.0,60.77541958425995,HOLD,100.0,,SELL,-0.0,SELL,,HOLD,46.657228451163554,HOLD,1230.2142857142858,1310.6202177885768,1260.2666666666667,BUY,BUY,BUY
2016-09-08,1502.0,1850.0,1502.0,101.0,58.142750701790675,HOLD,63.36842105263158,,HOLD,-36.63157894736842,HOLD,,HOLD,53.515891774169695,HOLD,1230.357142857143,1336.1375220834334,1296.5047619047618,BUY,BUY,BUY
2016-10-08,1500.0,1500.0,1414.0,752.0,58.016867212617605,HOLD,63.1578947368421,75.50877192982456,HOLD,-36.8421052631579,HOLD,,HOLD,28.609733486403442,HOLD,1230.357142857143,1357.985852472309,1332.4571428571428,BUY,BUY,BUY
2016-11-07,1673.0,1800.0,1550.0,35.0,65.06311847692626,HOLD,81.36842105263158,69.29824561403508,SELL,-18.63157894736842,SELL,,HOLD,30.459664038435193,HOLD,1274.142857142857,1399.9877388093346,1391.4761904761906,BUY,BUY,BUY
2017-01-06,1545.0,1545.0,1461.0,186.0,57.38850137736348,HOLD,64.11764705882354,69.54798761609906,HOLD,-35.88235294117647,HOLD,,HOLD,29.68514330449854,HOLD,1314.5,1419.32270696809,1427.5904761904762,BUY,BUY,BUY
2017-02-05,1650.0,1650.0,1600.0,171.0,61.4097711438877,HOLD,76.47058823529412,73.98555211558308,HOLD,-23.529411764705884,HOLD,,HOLD,36.05757648025775,HOLD,1360.2857142857142,1450.0796793723446,1472.3238095238094,BUY,BUY,BUY
2017-03-07,1701.0,1701.0,1601.0,132.0,63.225092630885456,HOLD,82.47058823529412,74.3529411764706,SELL,-17.529411764705884,SELL,96.74034948084376,HOLD,40.4108806924531,HOLD,1409.642857142857,1483.5357221226986,1517.7523809523807,BUY,BUY,BUY
2017-07-05,1700.0,1700.0,1699.0,90.0,63.16235198361153,HOLD,81.25,80.06372549019608,SELL,-18.75,SELL,99.24139019657004,HOLD,48.283946013534106,HOLD,1459.642857142857,1512.3976258396722,1556.4666666666665,BUY,BUY,BUY
2017-08-04,1530.0,1530.0,1530.0,1.0,53.451581591829935,HOLD,60.0,74.57352941176471,HOLD,-40.0,HOLD,51.26003877042369,HOLD,42.321728429894236,HOLD,1493.9285714285713,1514.7446090610492,1565.847619047619,BUY,BUY,SELL
2017-09-03,1485.0,1485.0,1485.0,35.0,51.207308921531705,HOLD,43.84615384615385,61.69871794871795,HOLD,-56.15384615384615,HOLD,34.2455392195705,HOLD,40.27263343454003,HOLD,1511.9285714285713,1510.7786611862427,1564.6571428571428,SELL,SELL,SELL
2017-10-03,1440.0,1441.0,1440.0,28.0,48.99204579315681,HOLD,36.92307692307692,46.92307692307693,HOLD,-63.07692307692308,HOLD,15.928454251997694,HOLD,37.3013769213281,HOLD,1514.7857142857142,1501.3415063614104,1555.0666666666666,SELL,SELL,SELL
2017-11-02,1400.0,1400.0,1400.0,357.0,47.04386816833655,HOLD,30.76923076923077,37.179487179487175,HOLD,-69.23076923076923,HOLD,-3.4732151367839217,HOLD,31.218632140802143,HOLD,1526.5,1487.8293055132224,1539.7619047619048,SELL,SELL,SELL
2017-12-02,1400.0,1400.0,1300.0,272.0,47.04386816833655,HOLD,18.181818181818183,28.62470862470862,BUY,-81.81818181818181,BUY,-24.583434278177023,HOLD,27.869236071893425,HOLD,1540.7857142857142,1476.1187314447927,1522.8952380952383,SELL,SELL,SELL
2018-01-01,1400.0,1400.0,1400.0,119.0,47.04386816833655,HOLD,18.181818181818183,22.377622377622377,BUY,-81.81818181818181,BUY,-22.350964193802348,HOLD,31.071218752675023,HOLD,1533.642857142857,1465.9695672521536,1504.1238095238095,SELL,SELL,SELL
2018-01-31,1400.0,1400.0,1400.0,15.0,47.04386816833655,HOLD,18.181818181818183,18.181818181818183,BUY,-81.81818181818181,BUY,-35.364383660965935,HOLD,30.663431707586724,HOLD,1523.2857142857142,1457.1736249518665,1486.304761904762,SELL,SELL,SELL
2018-04-01,1500.0,1500.0,1500.0,13.0,53.289751859780026,HOLD,40.0,25.454545454545457,HOLD,-60.0,HOLD,11.522429432877157,HOLD,27.59405398909982,HOLD,1523.142857142857,1462.8838082916177,1483.2,SELL,BUY,BUY
2018-05-01,1501.0,1501.0,1500.0,161.0,53.349006616233346,HOLD,40.2,32.79393939393939,HOLD,-59.8,HOLD,7.581417226972189,HOLD,47.71987234592991,HOLD,1523.2142857142858,1467.9659671860686,1480.247619047619,SELL,BUY,BUY
2018-05-31,1545.0,1545.0,1500.0,239.0,55.99420514646449,HOLD,61.09725685785536,47.09908561928512,HOLD,-38.90274314214464,HOLD,19.747190478897757,HOLD,53.680410726483046,HOLD,1514.0714285714287,1478.2371715612594,1483.152380952381,BUY,BUY,BUY
2018-06-30,1550.0,1551.0,1550.0,473.0,56.29745882563613,HOLD,62.34413965087282,54.54713216957606,HOLD,-37.65586034912718,HOLD,25.484829757805738,HOLD,69.29936128829546,HOLD,1514.4285714285713,1487.8055486864248,1487.942857142857,BUY,BUY,BUY
2018-08-29,1505.0,1551.0,1505.0,127.0,52.77267482238417,HOLD,51.12219451371571,58.18786367414797,HOLD,-48.87780548628429,HOLD,-1.921401282423525,HOLD,62.120332727646684,HOLD,1504.0714285714287,1490.0981421949016,1486.6857142857145,BUY,BUY,BUY
2018-09-28,1551.0,1551.0,1460.0,100.0,55.8179043333316,HOLD,62.75,58.73877805486285,HOLD,-37.25,HOLD,-0.5455537370430161,HOLD,61.25807715610531,HOLD,1493.357142857143,1498.218389902248,1492.942857142857,BUY,BUY,BUY
2018-10-28,1550.0,1550.0,1550.0,398.0,55.733770252294036,HOLD,99.60159362549801,71.15792937973791,SELL,-0.398406374501992,SELL,30.70552635770037,HOLD,66.46161254662934,HOLD,1482.642857142857,1505.1226045819483,1500.4952380952382,BUY,BUY,BUY
2018-11-27,1550.0,1590.0,1550.0,184.0,55.733770252294036,HOLD,86.20689655172414,82.85283005907405,SELL,-13.793103448275861,SELL,39.11808812737299,HOLD,69.06817103249136,HOLD,1484.0714285714287,1511.1062573043553,1509.4761904761906,BUY,BUY,BUY
2018-12-27,1500.0,1590.0,1500.0,265.0,51.253906822531036,HOLD,68.96551724137932,84.92466913953383,HOLD,-31.03448275862069,HOLD,15.625000000000002,HOLD,63.10440432860249,HOLD,1485.142857142857,1509.625422997108,1511.6,BUY,SELL,SELL
2019-03-27,1500.0,1500.0,1500.0,11.0,51.253906822531036,HOLD,68.96551724137932,74.71264367816093,HOLD,-31.03448275862069,HOLD,-15.072221059242295,HOLD,63.47388434620199,HOLD,1489.4285714285713,1508.3420332641604,1513.5809523809526,BUY,SELL,SELL
2019-04-26,1598.0,1598.0,1582.0,60.0,58.784546563206234,HOLD,100.0,79.31034482758622,SELL,-0.0,SELL,86.53483485101589,HOLD,73.08060313768654,HOLD,1503.5714285714287,1520.296428828939,1528.057142857143,BUY,BUY,BUY
2019-08-24,1551.0,1551.0,1551.0,10.0,54.44072086466256,HOLD,76.26262626262626,81.74271450133519,HOLD,-23.737373737373737,HOLD,52.36300832155758,HOLD,80.9469711696616,SELL,1514.357142857143,1524.3902383184138,1534.3809523809523,BUY,BUY,BUY
2019-10-23,1600.0,1600.0,1600.0,25.0,57.93095659387513,HOLD,100.0,92.08754208754209,SELL,-0.0,SELL,125.90721616523335,SELL,80.18911397087393,SELL,1528.642857142857,1534.4715398759588,1545.8,BUY,BUY,BUY
2019-12-22,1651.0,1651.0,1600.0,416.0,61.257719686473386,HOLD,100.0,92.08754208754209,SELL,-0.0,SELL,149.33255097550244,SELL,83.67549635154795,SELL,1546.5714285714287,1550.0086678924977,1562.1142857142854,BUY,BUY,BUY
2020-04-20,1400.0,1400.0,1400.0,202.0,43.165723393768424,HOLD,0.0,66.66666666666667,BUY,-100.0,BUY,-111.14123068582273,BUY,77.86293640892215,HOLD,1539.4285714285713,1530.007512173498,1542.5714285714284,SELL,SELL,SELL
2020-06-19,1261.0,1261.0,1261.0,15.0,36.70126101391873,HOLD,0.0,33.333333333333336,BUY,-100.0,BUY,-211.33630222060646,BUY,76.11531240891459,HOLD,1522.2857142857142,1494.1398438836984,1505.447619047619,SELL,SELL,SELL
2021-10-12,1000.0,1000.0,1000.0,47.0,28.17034079614281,BUY,0.0,0.0,BUY,-100.0,BUY,-311.47361266416715,BUY,72.68069916427883,HOLD,1483.357142857143,1428.254531365872,1435.8095238095236,SELL,SELL,SELL
2021-11-11,1000.0,1000.0,1000.0,14.0,28.17034079614281,BUY,0.0,0.0,BUY,-100.0,BUY,-238.91250721671136,BUY,65.654329947914,HOLD,1444.0714285714287,1371.1539271837557,1371.3619047619047,SELL,SELL,SELL
2021-12-11,1131.0,1131.0,1000.0,737.0,36.73097935651526,HOLD,20.122887864823348,6.7076292882744495,HOLD,-79.87711213517665,HOLD,-157.69758834765994,BUY,77.27465654358176,HOLD,1417.357142857143,1339.133403559255,1329.6190476190477,SELL,SELL,SELL
2022-04-10,1200.0,1200.0,1200.0,76.0,40.737304862249424,HOLD,30.721966205837173,16.948284690220174,HOLD,-69.27803379416282,HOLD,-93.94609046761605,HOLD,76.86766039044934,HOLD,1392.2857142857142,1320.5822830846876,1300.6380952380953,SELL,SELL,SELL
2022-05-10,1200.0,1200.0,1200.0,80.0,40.737304862249424,HOLD,30.721966205837173,27.188940092165897,HOLD,-69.27803379416282,HOLD,-81.57032700361785,HOLD,71.73757601924294,HOLD,1367.2857142857142,1304.5046453400626,1275.0,SELL,SELL,SELL
