Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2014-11-10,2080.0,2170.0,2050.0,5936.654,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-10,1985.0,2100.0,1915.0,3781.015,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-01-09,2089.0,2135.0,1970.0,8160.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-08,2000.0,2099.0,1941.0,4059.828,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-03-10,1800.0,1980.0,1800.0,5566.427,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-04-09,1800.0,1849.0,1700.0,5647.0470000000005,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-05-09,1900.0,1915.0,1750.0,4011.581,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-06-08,1720.0,1901.0,1702.0,6957.671,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-07-08,1800.0,1850.0,1700.0,3614.108,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-08-07,1800.0,1849.0,1750.0,4307.3150000000005,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-09-06,1850.0,1870.0,1751.0,5164.144,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-10-06,1990.0,2030.0,1831.0,7641.193,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-11-05,2250.0,2300.0,1941.0,5555.735,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-12-05,2300.0,2349.0,2249.0,4771.149,67.17665002854042,HOLD,92.44992295839754,,SELL,-7.550077041602465,SELL,,HOLD,63.884673544089296,HOLD
2016-01-04,2350.0,2450.0,2100.0,7779.749,69.00569855666723,HOLD,86.66666666666667,,SELL,-13.333333333333334,SELL,,HOLD,68.13073152434268,HOLD
2016-02-03,2356.0,2430.0,2300.0,4830.926,69.22730064471835,HOLD,87.46666666666667,88.86108543057696,SELL,-12.533333333333333,SELL,,HOLD,73.7628635734628,HOLD
2016-03-04,2300.0,2389.0,2250.0,6658.233,64.5858789296502,HOLD,80.0,84.71111111111111,HOLD,-20.0,HOLD,,HOLD,63.555486048829486,HOLD
2016-04-03,2200.0,2300.0,2140.0,3341.038,57.20957188415455,HOLD,66.66666666666667,78.04444444444444,HOLD,-33.333333333333336,HOLD,,HOLD,63.87734216760338,HOLD
2016-05-03,2245.0,2280.0,2151.0,4546.089,59.453710731852006,HOLD,72.66666666666667,73.11111111111113,HOLD,-27.333333333333332,HOLD,,HOLD,70.56307332044034,HOLD
