Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2014-11-19,495.0,495.0,495.0,"495,00","0,00",1.269,628.155,628.155,495.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-25,495.0,495.0,495.0,"495,00","0,00",90.0,44.55,44.55,495.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-01,495.0,495.0,495.0,"495,00","0,00",126.0,62.37,62.37,495.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-16,495.0,495.0,495.0,"495,00","0,00",184.0,91.08,91.08,495.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-18,495.0,495.0,495.0,"495,00","0,00",342.0,169.29,169.29,495.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-03-03,495.0,495.0,495.0,"495,00","0,00",90.0,44.55,44.55,495.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-03-05,495.0,495.0,495.0,"495,00","0,00",120.0,59.4,59.4,495.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-03-09,495.0,495.0,495.0,"495,00","0,00",176.0,87.12,87.12,495.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-03-16,495.0,495.0,495.0,"495,00","0,00",118.0,58.41,58.41,495.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-03-26,495.0,495.0,495.0,"495,00","0,00",40.0,19.8,19.8,495.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-03-31,495.0,495.0,495.0,"495,00","0,00",160.0,79.2,79.2,495.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-04-21,495.0,495.0,495.0,"495,00","0,00",80.0,39.6,39.6,495.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-04-28,495.0,495.0,495.0,"495,00","0,00",26.0,12.87,12.87,495.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-05-05,495.0,495.0,495.0,"495,00","0,00",80.0,39.6,39.6,495.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD
2015-05-13,495.0,495.0,495.0,"495,00","0,00",172.0,85.14,85.14,495.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD
2015-05-22,495.0,495.0,495.0,"495,00","0,00",100.0,49.5,49.5,495.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD
2015-06-02,495.0,495.0,495.0,"495,00","0,00",98.0,48.51,48.51,495.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD
2015-07-07,495.0,495.0,495.0,"495,00","0,00",170.0,84.15,84.15,495.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD
2015-07-30,495.0,495.0,495.0,"495,00","0,00",12.0,5.94,5.94,495.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD
2015-08-14,495.0,495.0,495.0,"495,00","0,00",142.0,70.29,70.29,495.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD
2015-09-11,495.0,495.0,495.0,"495,00","0,00",140.0,69.3,69.3,495.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD
2015-09-24,495.0,495.0,495.0,"495,00","0,00",178.0,88.11,88.11,495.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD
2015-09-29,495.0,495.0,495.0,"495,00","0,00",224.0,110.88,110.88,495.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD
2015-10-05,495.0,495.0,495.0,"495,00","0,00",71.0,35.145,35.145,495.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD
2015-11-17,495.0,495.0,495.0,"495,00","0,00",148.0,73.26,73.26,495.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD
