Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2015-05-18,149.0,149.0,149.0,666.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-02-12,699.0,699.0,699.0,525.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-02-06,676.0,676.0,676.0,1.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-06-06,500.0,500.0,500.0,1.2,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-07-06,500.0,500.0,500.0,1.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-08-05,485.0,485.0,485.0,75.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-09-04,485.0,499.0,485.0,73.7,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-10-04,485.0,485.0,485.0,600.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-02-01,471.0,471.0,471.0,85.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-03-03,471.0,471.0,471.0,500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-05-02,300.0,300.0,300.0,7.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-06-01,300.0,364.0,300.0,165.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-08-30,290.0,290.0,290.0,252.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-11-28,298.0,298.0,298.0,120.0,47.542378435266635,HOLD,27.09090909090909,,HOLD,-72.9090909090909,HOLD,,HOLD,52.56369293843819,HOLD
2018-12-28,298.0,298.0,298.0,174.0,47.542378435266635,HOLD,1.9559902200488997,,BUY,-98.0440097799511,BUY,,HOLD,52.56369293843819,HOLD
2019-02-26,306.0,306.0,306.0,168.0,48.51285809260134,HOLD,4.1450777202072535,11.063992343721749,BUY,-95.85492227979275,BUY,,HOLD,28.425152651759092,HOLD
2019-04-27,850.0,850.0,850.0,5.0,78.13512919432962,SELL,100.0,35.367022646752055,SELL,-0.0,SELL,,HOLD,28.943671143719,HOLD
2020-06-20,321.0,321.0,321.0,47.0,48.7581032756044,HOLD,5.535714285714286,36.56026400197385,BUY,-94.46428571428571,BUY,,HOLD,28.28665969257557,HOLD
2020-07-20,441.0,540.0,441.0,750.0,53.06867217415871,HOLD,26.964285714285715,44.166666666666664,HOLD,-73.03571428571429,HOLD,,HOLD,53.9422945873556,HOLD
2020-10-18,445.0,445.0,445.0,76.0,53.20996697273713,HOLD,27.678571428571427,20.05952380952381,HOLD,-72.32142857142857,HOLD,1.8959624011963316,HOLD,54.0813479904944,HOLD
2021-01-16,350.0,350.0,350.0,474.0,49.40555603541863,HOLD,10.714285714285714,21.78571428571429,BUY,-89.28571428571429,BUY,-59.66201322556944,HOLD,44.59909363402797,HOLD
2021-02-15,342.0,342.0,342.0,282.0,49.08727233593352,HOLD,9.285714285714286,15.892857142857144,BUY,-90.71428571428571,BUY,-56.75713334675107,HOLD,53.96544056372814,HOLD
2021-10-13,333.0,333.0,332.0,301.915,48.7071107938924,HOLD,7.678571428571429,9.226190476190476,BUY,-92.32142857142857,BUY,-55.553714443523845,HOLD,50.66223465315375,HOLD
2022-03-12,333.0,333.0,333.0,558.0,48.7071107938924,HOLD,7.678571428571429,8.214285714285714,BUY,-92.32142857142857,BUY,-50.21610301653076,HOLD,58.48032328129745,HOLD
2022-12-07,333.0,333.0,333.0,480.0,48.7071107938924,HOLD,7.678571428571429,7.678571428571429,BUY,-92.32142857142857,BUY,-45.785913432972286,HOLD,58.5852413287852,HOLD
2024-03-31,333.0,333.0,333.0,720.0,48.70711079389239,HOLD,7.678571428571429,7.678571428571429,BUY,-92.32142857142857,BUY,-41.95688519457195,HOLD,56.6203103279783,HOLD
2024-06-29,350.0,350.0,350.0,27.0,49.696892093258484,HOLD,9.420289855072463,8.259144237405108,BUY,-90.57971014492753,BUY,-26.522001205545507,HOLD,60.9355959909504,HOLD
