Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2015-05-18,149.0,149.0,149.0,"149,00","-0,67",666.0,99.234,99.234,149.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-02-16,699.0,699.0,699.0,"699,00","369,13",525.0,366.975,366.975,699.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-03-07,676.0,676.0,676.0,"676,00","-3,29",1.0,676.0,676.0,676.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-06-08,500.0,500.0,500.0,"500,00","-26,04",1.2,600.0,600.0,500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-07-14,500.0,500.0,500.0,"500,00","0,00",1.0,500.0,500.0,500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-08-30,485.0,485.0,485.0,"485,00","-3,00",15.0,7.275,7.275,485.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-08-31,485.0,485.0,485.0,"485,00","0,00",60.0,29.1,29.1,485.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-09-15,499.0,499.0,499.0,"499,00","2,89",1.7,848.3,848.3,499.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-09-22,485.0,485.0,485.0,"485,00","-2,81",72.0,34.92,34.92,485.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-10-31,485.0,485.0,485.0,"485,00","0,00",600.0,291.0,291.0,485.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-02-07,471.0,471.0,471.0,"471,00","-2,89",85.0,40.035,40.035,471.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-03-05,471.0,471.0,471.0,"471,00","0,00",89.0,41.919,41.919,471.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-03-06,471.0,471.0,471.0,"471,00","0,00",111.0,52.281,52.281,471.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-03-07,471.0,471.0,471.0,"471,00","0,00",300.0,141.3,141.3,471.0,65.60059003543854,HOLD,58.54545454545455,,HOLD,-41.45454545454545,HOLD,,HOLD,81.49776670825493,SELL,489.07142857142856,438.8295636721262,487.0190476190476,SELL,BUY,SELL
