Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2015-01-21,10240.0,10240.0,10200.0,33.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-20,9000.0,9000.0,9000.0,5.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-03-22,8730.0,8730.0,8730.0,3.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-04-21,8469.0,8469.0,8469.0,10.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-05-21,8215.0,8215.0,8215.0,1.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-06-20,8500.0,8500.0,7969.0,45.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-07-20,8000.0,8000.0,8000.0,5.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-08-19,8701.0,8701.0,8701.0,7.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-10-18,8700.0,8700.0,8700.0,44.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-02-15,8700.0,8700.0,8700.0,61.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-03-16,8701.0,8701.0,8700.0,10.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-04-15,8701.0,8917.0,8701.0,15.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-05-15,8714.0,8714.0,8700.0,38.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-06-14,8714.0,8714.0,8714.0,5.0,34.39545622129491,HOLD,32.80493174812858,,HOLD,-67.19506825187142,HOLD,,HOLD,43.1835035975231,HOLD
