Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2015-01-21,10200.0,10200.0,10200.0,"10.200,00","1,88",1.0,10.200,10.200,10200.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-11,10240.0,10240.0,10240.0,"10.240,00","0,39",2.0,20.480,20.480,10240.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-12,10240.0,10240.0,10240.0,"10.240,00","0,00",30.0,307.200,307.200,10240.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-27,9000.0,9000.0,9000.0,"9.000,00","-12,11",5.0,45.000,45.000,9000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-04-20,8730.0,8730.0,8730.0,"8.730,00","-3,00",3.0,26.190,26.190,8730.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-04-22,8469.0,8469.0,8469.0,"8.469,00","-2,99",10.0,84.690,84.690,8469.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-06-10,8215.0,8215.0,8215.0,"8.215,00","-3,00",1.0,8.215,8.215,8215.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-06-23,7969.0,7969.0,7969.0,"7.969,00","-2,99",5.0,39.845,39.845,7969.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-06-30,8500.0,8500.0,8500.0,"8.500,00","6,66",40.0,340.000,340.000,8500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-08-17,8000.0,8000.0,8000.0,"8.000,00","-5,88",5.0,40.000,40.000,8000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-08-20,8701.0,8701.0,8701.0,"8.701,00","8,76",7.0,60.907,60.907,8701.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
