Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2015-02-04,200.0,200.0,200.0,70.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-04-05,200.0,200.0,200.0,5.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-05-05,100.0,100.0,100.0,15.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-06-04,150.0,150.0,150.0,166.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-09-02,103.0,103.0,100.0,391.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-10-02,103.0,103.0,103.0,8.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-02-29,100.0,100.0,100.0,100.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-03-30,100.0,100.0,100.0,192.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-05-29,94.0,94.0,94.0,50.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-08-27,127.0,127.0,127.0,70.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-02-23,131.0,131.0,131.0,46.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-04-24,134.0,134.0,134.0,116.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-08-22,335.0,335.0,250.0,37.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-09-21,600.0,600.0,600.0,1210.0,87.19076223004423,SELL,100.0,,SELL,-0.0,SELL,,HOLD,93.39910971195502,SELL
2017-11-20,600.0,600.0,582.0,273.0,87.19076223004423,SELL,100.0,,SELL,-0.0,SELL,,HOLD,78.42958445292825,HOLD
2019-11-10,200.0,250.0,200.0,200.0,48.44754208241928,HOLD,20.948616600790515,73.64953886693017,HOLD,-79.05138339920948,HOLD,,HOLD,75.20847786830038,HOLD
2019-12-10,100.0,100.0,100.0,80.0,43.27092425381241,HOLD,1.1857707509881423,40.71146245059288,BUY,-98.81422924901186,BUY,,HOLD,74.7479923537376,HOLD
2020-02-08,106.0,106.0,106.0,60.0,43.65990478537393,HOLD,2.3715415019762847,8.168642951251647,BUY,-97.62845849802372,BUY,,HOLD,74.29915083836016,HOLD
2020-04-08,106.0,106.0,106.0,33.0,43.65990478537393,HOLD,2.3715415019762847,1.976284584980237,BUY,-97.62845849802372,BUY,,HOLD,77.25293880363827,HOLD
2020-08-06,106.0,106.0,106.0,47.0,43.659904785373925,HOLD,2.3715415019762847,2.3715415019762847,BUY,-97.62845849802372,BUY,-51.139661989726065,HOLD,77.23423939321988,HOLD
2020-10-05,135.0,135.0,135.0,91.0,45.89927570719225,HOLD,8.102766798418973,4.281949934123848,BUY,-91.89723320158103,BUY,-29.94359564098352,HOLD,78.28139303324119,HOLD
2021-02-02,200.0,200.0,200.0,54.0,50.63541026011601,HOLD,20.948616600790515,10.474308300395258,HOLD,-79.05138339920948,HOLD,12.770384973440668,HOLD,78.5123858425567,HOLD
2021-03-04,250.0,250.0,250.0,30.0,53.973300970111445,HOLD,30.0,19.68379446640316,HOLD,-70.0,HOLD,39.74161533196442,HOLD,79.03305059250522,HOLD
2021-04-03,206.0,206.0,206.0,35.0,50.722962788140464,HOLD,21.2,24.049538866930174,HOLD,-78.8,HOLD,9.72641772179017,HOLD,78.28915031342417,HOLD
2021-06-02,206.0,206.0,206.0,30.0,50.722962788140464,HOLD,21.2,24.133333333333336,HOLD,-78.8,HOLD,6.551466385261401,HOLD,78.15968542262677,HOLD
2021-10-30,206.0,206.0,206.0,150.0,50.722962788140464,HOLD,21.2,21.2,HOLD,-78.8,HOLD,3.268643797549086,HOLD,77.81849258506978,HOLD
2022-05-28,200.0,200.0,200.0,71.0,50.2080008592121,HOLD,20.0,20.8,HOLD,-80.0,HOLD,-4.426642931315809,HOLD,76.45886106500274,HOLD
2023-01-23,180.0,180.0,180.0,135.0,48.44252920907941,HOLD,16.0,19.066666666666666,BUY,-84.0,BUY,-21.98575109898437,HOLD,12.475083037781488,BUY
2024-09-14,150.0,150.0,150.0,50.0,45.838793272290516,HOLD,33.333333333333336,23.111111111111114,HOLD,-66.66666666666667,HOLD,-46.56260583110126,HOLD,26.111693543637287,HOLD
2024-10-14,150.0,150.0,150.0,50.0,45.838793272290516,HOLD,33.333333333333336,27.555555555555557,HOLD,-66.66666666666667,HOLD,-47.71642808452623,HOLD,37.63944781213387,HOLD
