Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2014-11-12,2100.0,2100.0,2100.0,30.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-31,2040.0,2040.0,2040.0,208.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-04-22,2100.0,2100.0,2100.0,104.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-12-16,2100.0,2100.0,2100.0,50.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-01-27,2100.0,2100.0,2100.0,55.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-02-10,2100.0,2100.0,2100.0,49.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-02-17,2100.0,2100.0,2100.0,43.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-03-30,2100.0,2100.0,2100.0,42.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-04-20,2100.0,2100.0,2100.0,42.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-08-17,2100.0,2100.0,2100.0,2.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-08-31,2100.0,2100.0,2100.0,42.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-09-28,2100.0,2100.0,2100.0,13.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-04-26,2100.0,2100.0,2100.0,30.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-06-28,2100.0,2100.0,2100.0,109.0,51.85185185185185,HOLD,100.0,,SELL,-0.0,SELL,,HOLD,33.98058252427184,HOLD,2095.714285714286,2098.563468657305,2098.857142857143,BUY,BUY,BUY
2018-02-07,2100.0,2100.0,2100.0,48.0,51.85185185185185,HOLD,100.0,,SELL,-0.0,SELL,,HOLD,33.98058252427184,HOLD,2095.714285714286,2098.7550061696643,2099.4285714285716,BUY,BUY,BUY
2018-02-14,2400.0,2400.0,2400.0,30.0,93.82252774608806,SELL,100.0,100.0,SELL,-0.0,SELL,,HOLD,100.0,SELL,2121.4285714285716,2138.9210053470424,2140.0,BUY,BUY,BUY
2018-04-11,2400.0,2400.0,2400.0,35.0,93.82252774608806,SELL,100.0,100.0,SELL,-0.0,SELL,,HOLD,100.0,SELL,2142.8571428571427,2173.731537967437,2177.142857142857,BUY,BUY,BUY
2018-09-12,2400.0,2400.0,2400.0,48.0,93.82252774608806,SELL,100.0,100.0,SELL,-0.0,SELL,,HOLD,100.0,SELL,2164.285714285714,2203.9006662384454,2211.4285714285716,BUY,BUY,BUY
2019-06-26,2400.0,2400.0,2400.0,155.0,93.82252774608806,SELL,100.0,100.0,SELL,-0.0,SELL,,HOLD,100.0,SELL,2185.714285714286,2230.0472440733192,2242.857142857143,BUY,BUY,BUY
2019-11-27,2400.0,2400.0,2400.0,50.0,93.82252774608806,SELL,100.0,100.0,SELL,-0.0,SELL,133.33333333333334,SELL,100.0,SELL,2207.1428571428573,2252.70761153021,2271.4285714285716,BUY,BUY,BUY
2020-05-27,2400.0,2400.0,2400.0,1.0,93.82252774608806,SELL,100.0,100.0,SELL,-0.0,SELL,111.11111111111113,SELL,100.0,SELL,2228.5714285714284,2272.3465966595154,2297.142857142857,BUY,BUY,BUY
2020-10-14,2400.0,2400.0,2400.0,48.0,93.82252774608806,SELL,100.0,100.0,SELL,-0.0,SELL,95.23809523809524,HOLD,100.0,SELL,2250.0,2289.3670504382467,2320.0,BUY,BUY,BUY
2021-06-02,2400.0,2400.0,2400.0,49.0,93.82252774608806,SELL,100.0,100.0,SELL,-0.0,SELL,83.33333333333333,HOLD,100.0,SELL,2271.4285714285716,2304.118110379814,2340.0,BUY,BUY,BUY
2021-12-01,2400.0,2400.0,2400.0,2.0,93.82252774608806,SELL,100.0,100.0,SELL,-0.0,SELL,74.07407407407408,HOLD,100.0,SELL,2292.8571428571427,2316.9023623291723,2357.142857142857,BUY,BUY,BUY
2022-06-15,2472.0,2472.0,2472.0,50.0,95.61136031388294,SELL,100.0,100.0,SELL,-0.0,SELL,94.79166666666671,HOLD,100.0,SELL,2319.4285714285716,2337.5820473519493,2381.0285714285715,BUY,BUY,BUY
2022-09-28,2600.0,2600.0,2400.0,100.0,97.17662922900494,SELL,100.0,100.0,SELL,-0.0,SELL,109.06836848259442,SELL,100.0,SELL,2355.1428571428573,2372.5711077050228,2418.4380952380952,BUY,BUY,BUY
2022-10-19,2523.0,2523.0,2523.0,49.0,78.93737238021215,SELL,84.6,94.86666666666667,SELL,-15.4,SELL,96.13208881346335,HOLD,78.40803967675024,HOLD,2385.3571428571427,2392.628293344353,2440.819047619048,BUY,BUY,BUY
2022-11-09,2700.0,2700.0,2700.0,400.0,85.61920327965551,SELL,100.0,94.86666666666667,SELL,-0.0,SELL,157.14110450952552,SELL,92.51906284409989,SELL,2428.214285714286,2433.611187565106,2482.7714285714283,BUY,BUY,BUY
2022-11-23,2619.0,2619.0,2619.0,184.0,74.0430638732275,SELL,73.0,85.86666666666667,HOLD,-27.0,HOLD,117.3923890870133,SELL,71.6310429712859,HOLD,2465.285714285714,2458.3296958897586,2508.2095238095235,BUY,BUY,BUY
2022-11-30,2619.0,2619.0,2619.0,69.0,74.0430638732275,SELL,73.0,82.0,HOLD,-27.0,HOLD,115.30430963929977,SELL,70.64068750384857,HOLD,2480.9285714285716,2479.7524031044577,2528.7047619047617,BUY,BUY,BUY
2022-12-07,2619.0,2619.0,2619.0,161.0,74.0430638732275,SELL,73.0,73.0,HOLD,-27.0,HOLD,114.02577173605194,SELL,70.64068750384857,HOLD,2496.5714285714284,2498.318749357197,2547.1142857142854,BUY,BUY,BUY
2022-12-21,2619.0,2619.0,2619.0,21.0,74.0430638732275,SELL,73.0,73.0,HOLD,-27.0,HOLD,99.67967333720539,HOLD,70.64068750384857,HOLD,2512.214285714286,2514.409582776237,2563.4380952380952,BUY,BUY,BUY
2023-04-26,2619.0,2619.0,2619.0,2.0,74.04306387322748,SELL,73.0,73.0,HOLD,-27.0,HOLD,89.1382692395418,HOLD,70.64068750384857,HOLD,2527.8571428571427,2528.3549717394058,2577.67619047619,BUY,BUY,BUY
2023-10-11,2619.0,2619.0,2619.0,53.0,74.04306387322748,SELL,73.0,73.0,HOLD,-27.0,HOLD,80.66551752925626,HOLD,70.64068750384857,HOLD,2543.5,2540.440975507485,2589.828571428571,BUY,BUY,BUY
2024-01-31,2619.0,2619.0,2619.0,48.0,74.04306387322748,SELL,73.0,73.0,HOLD,-27.0,HOLD,73.32011456267904,HOLD,70.64068750384857,HOLD,2559.1428571428573,2550.915512106487,2599.895238095238,BUY,BUY,BUY
2024-04-17,2619.0,2619.0,2619.0,100.0,74.04306387322748,SELL,73.0,73.0,HOLD,-27.0,HOLD,66.7122609773862,HOLD,70.64068750384857,HOLD,2574.785714285714,2559.993443825622,2607.8761904761905,BUY,BUY,BUY
2024-09-25,2619.0,2619.0,2619.0,37.0,74.04306387322748,SELL,73.0,73.0,HOLD,-27.0,HOLD,60.89623017908643,HOLD,70.64068750384857,HOLD,2590.4285714285716,2567.8609846488725,2613.7714285714283,BUY,BUY,BUY
