Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2014-11-18,570.0,570.0,570.0,"570,00","0,00",20.0,11.4,11.4,570.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-12,570.0,570.0,570.0,"570,00","0,00",57.0,32.49,32.49,570.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-06,570.0,570.0,570.0,"570,00","0,00",35.0,19.95,19.95,570.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-06-02,570.0,570.0,570.0,"570,00","0,00",16.0,9.12,9.12,570.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-10-28,570.0,570.0,570.0,"570,00","0,00",20.0,11.4,11.4,570.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-11-16,570.0,570.0,570.0,"570,00","0,00",65.0,37.05,37.05,570.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-06-24,570.0,570.0,570.0,"570,00","0,00",173.0,98.61,98.61,570.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-07-15,570.0,570.0,570.0,"570,00","0,00",16.0,9.12,9.12,570.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-08-01,570.0,570.0,570.0,"570,00","0,00",103.0,58.71,58.71,570.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-08-12,570.0,570.0,570.0,"570,00","0,00",23.0,13.11,13.11,570.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-10-07,570.0,570.0,570.0,"570,00","0,00",18.0,10.26,10.26,570.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-02-27,570.0,570.0,570.0,"570,00","0,00",110.0,62.7,62.7,570.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-05-15,570.0,570.0,570.0,"570,00","0,00",168.0,95.76,95.76,570.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-07-04,570.0,570.0,570.0,"570,00","0,00",8.0,4.56,4.56,570.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD
2019-09-03,570.0,570.0,570.0,"570,00","0,00",112.0,63.84,63.84,570.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD
2021-09-17,553.0,553.0,553.0,"553,00","-2,98",96.0,53.088,53.088,553.0,0.0,BUY,0.0,,BUY,-100.0,BUY,,HOLD,0.0,BUY
2021-12-23,553.0,553.0,553.0,"553,00","0,00",94.0,51.982,51.982,553.0,0.0,BUY,0.0,,BUY,-100.0,BUY,,HOLD,0.0,BUY
2022-10-28,600.0,600.0,600.0,"600,00","8,50",82.0,49.2,49.2,600.0,76.22672734795201,SELL,100.0,33.333333333333336,SELL,-0.0,SELL,,HOLD,48.099483810417645,HOLD
2023-12-27,600.0,600.0,600.0,"600,00","0,00",10.0,6.0,6.0,600.0,76.22672734795201,SELL,100.0,66.66666666666667,SELL,-0.0,SELL,,HOLD,48.099483810417645,HOLD
