Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2014-11-18,570.0,570.0,570.0,77.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-01-17,570.0,570.0,570.0,35.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-05-17,570.0,570.0,570.0,16.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-10-14,570.0,570.0,570.0,20.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-11-13,570.0,570.0,570.0,65.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-06-10,570.0,570.0,570.0,173.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-07-10,570.0,570.0,570.0,119.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-08-09,570.0,570.0,570.0,23.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-09-08,570.0,570.0,570.0,18.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-02-05,570.0,570.0,570.0,110.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-05-01,570.0,570.0,570.0,168.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-06-30,570.0,570.0,570.0,8.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2019-08-24,570.0,570.0,570.0,112.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2021-09-12,553.0,553.0,553.0,96.0,0.0,BUY,0.0,,BUY,-100.0,BUY,,HOLD,0.0,BUY
2021-12-11,553.0,553.0,553.0,94.0,0.0,BUY,0.0,,BUY,-100.0,BUY,,HOLD,0.0,BUY
2022-10-07,600.0,600.0,600.0,82.0,76.22672734795201,SELL,100.0,33.333333333333336,SELL,-0.0,SELL,,HOLD,48.099483810417645,HOLD
2023-12-01,600.0,600.0,600.0,10.0,76.22672734795201,SELL,100.0,66.66666666666667,SELL,-0.0,SELL,,HOLD,48.099483810417645,HOLD
