Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2014-11-24,600.0,600.0,600.0,75.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-04-20,600.0,600.0,600.0,120.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-07-20,600.0,600.0,600.0,40.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-08-14,1000.0,1000.0,1000.0,99.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-02-19,800.0,800.0,800.0,210.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-04-23,800.0,800.0,800.0,200.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-05-14,886.0,886.0,886.0,153.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-05-28,886.0,886.0,886.0,10.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-08-13,2006.0,2006.0,2006.0,30.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-08-20,1999.0,2000.0,1999.0,61.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-09-03,2000.0,2000.0,2000.0,191.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-09-10,2000.0,2000.0,2000.0,17.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-09-17,2000.0,2000.0,2000.0,116.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-09-24,2200.0,2200.0,2200.0,3.0,91.85186549240449,SELL,100.0,,SELL,-0.0,SELL,,HOLD,70.20855565890793,HOLD,1312.642857142857,1492.4861935100046,1624.1333333333334,BUY,BUY,BUY
2018-11-12,2021.0,2021.0,2021.0,150.0,80.17587269781366,SELL,88.8125,,SELL,-11.1875,SELL,,HOLD,53.53436700091034,HOLD,1414.142857142857,1562.954701042004,1718.5809523809526,BUY,BUY,BUY
2018-11-19,2058.0,2058.0,1999.0,166.0,80.72139781997755,SELL,91.125,93.3125,SELL,-8.875,SELL,,HOLD,63.27065794297453,HOLD,1518.2857142857142,1628.9607409030702,1804.428571428571,BUY,BUY,BUY
2018-11-26,2058.0,2058.0,2058.0,15.0,80.72139781997755,SELL,89.85714285714286,89.93154761904763,SELL,-10.142857142857142,SELL,,HOLD,63.959634129099975,HOLD,1622.4285714285713,1686.1659754493276,1876.390476190476,BUY,BUY,BUY
2019-03-18,2106.0,2106.0,2037.0,542.0,81.48785229487333,SELL,93.28571428571429,91.42261904761905,SELL,-6.714285714285714,SELL,,HOLD,77.83321290644076,HOLD,1701.4285714285713,1742.1438453894173,1940.8666666666666,BUY,BUY,BUY
