Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2014-11-12,84.0,84.0,84.0,"84,00","0,00",100.0,8.400,8.400,84.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-11,86.0,86.0,86.0,"86,00","2,38",200.0,17.200,17.200,86.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-23,86.0,86.0,86.0,"86,00","0,00",62.0,5.332,5.332,86.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-30,99.0,99.0,99.0,"99,00","15,12",400.0,39.600,39.600,99.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-01-27,87.0,87.0,87.0,"87,00","-12,12",15.0,1.305,1.305,87.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-01-30,87.0,87.0,87.0,"87,00","0,00",2.48,215.760,215.760,87.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-06,80.0,80.0,80.0,"80,00","-8,05",20.0,1.600,1.600,80.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-03-18,82.0,82.0,82.0,"82,00","2,50",200.0,16.400,16.400,82.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-04-28,80.0,80.0,80.0,"80,00","-2,44",90.0,7.200,7.200,80.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-06-09,100.0,100.0,100.0,"100,00","25,00",300.0,30.000,30.000,100.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-07-31,100.0,100.0,100.0,"100,00","0,00",35.0,3.500,3.500,100.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-08-27,111.0,111.0,111.0,"111,00","11,00",1.3,144.300,144.300,111.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-09-04,91.0,91.0,91.0,"91,00","-18,02",253.0,23.023,23.023,91.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-09-14,93.0,93.0,93.0,"93,00","2,20",444.0,41.292,41.292,93.0,53.36944878947337,HOLD,41.935483870967744,,HOLD,-58.064516129032256,HOLD,,HOLD,81.36408716485818,SELL
2015-09-23,100.0,100.0,100.0,"100,00","7,53",697.0,69.700,69.700,100.0,58.220019579845456,HOLD,64.51612903225806,,HOLD,-35.483870967741936,HOLD,,HOLD,86.61301852428815,SELL
2015-09-28,103.0,103.0,103.0,"103,00","3,00",22.0,2.266,2.266,103.0,60.13398052071752,HOLD,74.19354838709677,60.21505376344086,HOLD,-25.806451612903224,HOLD,,HOLD,85.75325452209884,SELL
2015-10-02,120.0,120.0,120.0,"120,00","16,50",510.0,61.200,61.200,120.0,68.84399619880394,HOLD,100.0,79.56989247311827,SELL,-0.0,SELL,,HOLD,88.72162660780995,SELL
2015-11-30,100.0,100.0,100.0,"100,00","-16,67",50.0,5.000,5.000,100.0,53.918746463081696,HOLD,50.0,74.73118279569893,HOLD,-50.0,HOLD,,HOLD,85.28616684347604,SELL
2015-12-09,100.0,100.0,100.0,"100,00","0,00",50.0,5.000,5.000,100.0,53.918746463081696,HOLD,50.0,66.66666666666667,HOLD,-50.0,HOLD,,HOLD,85.71784848112269,SELL
2016-07-15,97.0,97.0,97.0,"97,00","-3,00",130.0,12.610,12.610,97.0,51.95909977202741,HOLD,42.5,47.5,HOLD,-57.5,HOLD,20.689655172413822,HOLD,81.72095136988403,SELL
2016-09-05,98.0,98.0,98.0,"98,00","1,03",32.0,3.136,3.136,98.0,52.57780399666287,HOLD,45.0,45.833333333333336,HOLD,-55.0,HOLD,24.096385542168676,HOLD,82.41248249355722,SELL
2016-10-18,107.0,107.0,107.0,"107,00","9,18",700.0,74.900,74.900,107.0,57.840352465086326,HOLD,67.5,51.666666666666664,HOLD,-32.5,HOLD,88.59223300970878,HOLD,85.52582327118876,SELL
2016-10-19,117.0,117.0,117.0,"117,00","9,35",66.0,7.722,7.722,117.0,62.78238058289856,HOLD,89.65517241379311,67.38505747126437,SELL,-10.344827586206897,SELL,154.33571996817824,SELL,87.72392069567572,SELL
2016-10-21,140.0,140.0,140.0,"140,00","19,66",450.0,63.000,63.000,140.0,71.15694187039145,SELL,100.0,85.71839080459772,SELL,-0.0,SELL,264.1138929798724,SELL,88.83688243712179,SELL
2016-10-26,150.0,150.0,150.0,"150,00","7,14",50.0,7.500,7.500,150.0,73.90615494851521,SELL,100.0,96.55172413793105,SELL,-0.0,SELL,245.06749740394605,SELL,89.06225226672998,SELL
2016-10-27,146.0,146.0,146.0,"146,00","-2,67",50.0,7.300,7.300,146.0,70.99130031036177,SELL,93.22033898305085,97.74011299435028,SELL,-6.779661016949152,SELL,177.99889441680486,SELL,87.34104672136992,SELL
2016-10-31,146.0,146.0,146.0,"146,00","0,00",683.0,99.718,99.718,146.0,70.99130031036177,SELL,92.98245614035088,95.40093170780058,SELL,-7.017543859649122,SELL,147.81478147814784,SELL,92.99545027641399,SELL
2017-01-09,142.0,142.0,142.0,"142,00","-2,74",610.0,86.620,86.620,142.0,67.88612120335007,HOLD,84.90566037735849,90.36948516692007,SELL,-15.09433962264151,SELL,113.0295310878385,SELL,72.18384153793204,HOLD
2017-01-11,142.0,142.0,142.0,"142,00","0,00",330.0,46.860,46.860,142.0,67.88612120335007,HOLD,84.90566037735849,87.59792563168928,SELL,-15.09433962264151,SELL,98.4598459845984,HOLD,66.33097260712324,HOLD
2017-01-12,141.0,141.0,141.0,"141,00","-0,70",183.0,25.803,25.803,141.0,67.03596492798508,HOLD,83.01886792452831,84.27672955974843,SELL,-16.9811320754717,SELL,83.77331925378385,HOLD,61.29185915088038,HOLD
2017-02-10,157.0,157.0,157.0,"157,00","11,35",58.0,9.106,9.106,157.0,72.88663774815137,SELL,100.0,89.30817610062893,SELL,-0.0,SELL,120.988867059594,SELL,54.6302077655213,HOLD
2017-03-01,153.0,153.0,153.0,"153,00","-2,55",108.0,16.524,16.524,153.0,69.5626000310006,HOLD,93.33333333333333,92.11740041928721,SELL,-6.666666666666667,SELL,94.49421854659617,HOLD,52.62665448840148,HOLD
2017-03-09,157.0,157.0,157.0,"157,00","2,61",290.0,45.530,45.530,157.0,70.98751090221057,SELL,100.0,97.77777777777777,SELL,-0.0,SELL,95.8238420652999,HOLD,58.62221369780765,HOLD
2017-03-15,161.0,161.0,161.0,"161,00","2,55",517.0,83.237,83.237,161.0,72.37998993490548,SELL,100.0,97.77777777777777,SELL,-0.0,SELL,98.47614671873806,HOLD,68.34248033124369,HOLD
2017-03-23,157.0,157.0,157.0,"157,00","-2,48",30.0,4.710,4.710,157.0,68.82269376482867,HOLD,92.5925925925926,97.53086419753087,SELL,-7.407407407407407,SELL,79.71014492753625,HOLD,67.36743897470089,HOLD
2017-04-20,161.0,161.0,161.0,"161,00","2,55",200.0,32.200,32.200,161.0,70.38989970193975,SELL,100.0,97.53086419753087,SELL,-0.0,SELL,86.61417322834647,HOLD,63.78772620307667,HOLD
2017-04-25,165.0,165.0,165.0,"165,00","2,48",100.0,16.500,16.500,165.0,71.91050365453701,SELL,100.0,97.53086419753087,SELL,-0.0,SELL,92.85832096321955,HOLD,64.5863377132377,HOLD
2017-05-05,169.0,169.0,169.0,"169,00","2,42",470.0,79.430,79.430,169.0,73.38256889708585,SELL,100.0,100.0,SELL,-0.0,SELL,104.66812545587163,SELL,65.99020412102495,HOLD
2017-05-16,170.0,170.0,170.0,"170,00","0,59",160.0,27.200,27.200,170.0,73.75289910506632,SELL,100.0,100.0,SELL,-0.0,SELL,104.9679487179487,SELL,67.53339782568638,HOLD
2017-05-19,190.0,190.0,190.0,"190,00","11,76",50.0,9.500,9.500,190.0,79.80473599576334,SELL,100.0,100.0,SELL,-0.0,SELL,176.37695001591854,SELL,69.3700155834632,HOLD
2017-06-05,228.0,228.0,228.0,"228,00","20,00",50.0,11.400,11.400,228.0,86.27838742208763,SELL,100.0,100.0,SELL,-0.0,SELL,294.2598187311179,SELL,70.1498570662855,HOLD
2017-06-13,190.0,190.0,190.0,"190,00","-16,67",50.0,9.500,9.500,190.0,64.13744453406511,HOLD,56.32183908045977,85.44061302681992,HOLD,-43.67816091954023,HOLD,127.79156327543429,SELL,84.74611482840493,SELL
2017-06-29,230.0,230.0,230.0,"230,00","21,05",30.0,6.900,6.900,230.0,72.21911657406491,SELL,100.0,85.44061302681992,SELL,-0.0,SELL,230.46357615894038,SELL,85.02489802405043,SELL
2017-07-11,171.0,171.0,171.0,"171,00","-25,65",10.0,1.710,1.710,171.0,53.18199388000011,HOLD,23.376623376623378,59.89948748569438,HOLD,-76.62337662337663,HOLD,17.038245423237225,HOLD,90.820688816145,SELL
2017-07-14,176.0,176.0,176.0,"176,00","2,92",445.0,78.320,78.320,176.0,54.281861341083264,HOLD,29.87012987012987,51.082251082251084,HOLD,-70.12987012987013,HOLD,30.567685589519684,HOLD,92.32387185001691,SELL
2017-07-18,201.0,201.0,201.0,"201,00","14,20",241.0,48.441,48.441,201.0,59.41567871033735,HOLD,60.273972602739725,37.84024194983099,HOLD,-39.726027397260275,HOLD,105.57134246103509,SELL,96.49785075388603,SELL
2017-07-20,202.0,202.0,202.0,"202,00","0,50",70.0,14.140,10.084.140,202.0,59.61104926970525,HOLD,61.64383561643836,50.59597936310266,HOLD,-38.35616438356164,HOLD,93.84402699845486,HOLD,96.23807858445892,SELL
2017-07-21,250.0,250.0,250.0,"250,00","23,76",185.0,46.250,1.449.500,250.0,67.65892415517237,HOLD,100.0,73.97260273972603,SELL,-0.0,SELL,197.52574469555597,SELL,95.87779420560796,SELL
2017-07-25,280.0,280.0,280.0,"280,00","12,00",170.0,47.600,47.600,280.0,71.48347118571618,SELL,100.0,87.21461187214612,SELL,-0.0,SELL,219.32266295523084,SELL,97.38750055349564,SELL
2017-07-26,288.0,288.0,288.0,"288,00","2,86",50.0,14.400,14.400,288.0,72.42010861775123,SELL,100.0,100.0,SELL,-0.0,SELL,192.67354786480462,SELL,97.27443586171348,SELL
2017-08-03,300.0,300.0,300.0,"300,00","4,17",402.0,120.600,120.600,300.0,73.80971262106485,SELL,100.0,100.0,SELL,-0.0,SELL,175.80390089615184,SELL,97.82495231775486,SELL
2017-08-10,300.0,300.0,300.0,"300,00","0,00",525.0,157.500,157.500,300.0,73.80971262106485,SELL,100.0,100.0,SELL,-0.0,SELL,145.4459872911273,SELL,97.42866907819736,SELL
2017-08-18,300.0,300.0,300.0,"300,00","0,00",330.0,99.000,99.000,300.0,73.80971262106485,SELL,100.0,100.0,SELL,-0.0,SELL,123.87778743121929,SELL,97.25756615724103,SELL
2017-08-22,291.0,291.0,291.0,"291,00","-3,00",300.0,87.300,87.300,291.0,70.48312498069397,SELL,93.02325581395348,97.67441860465117,SELL,-6.976744186046512,SELL,97.60685547079113,HOLD,79.75382326162598,HOLD
2017-08-24,299.0,299.0,299.0,"299,00","2,75",470.0,140.530,140.530,299.0,71.70392307751365,SELL,99.2248062015504,97.41602067183463,SELL,-0.7751937984496124,SELL,97.41530223457931,HOLD,84.00009095471592,SELL
2017-09-21,274.0,274.0,274.0,"274,00","-8,36",250.0,68.500,68.500,274.0,62.94289829283764,HOLD,79.84496124031008,90.69767441860466,HOLD,-20.155038759689923,HOLD,56.124225332497765,HOLD,76.6544981332195,HOLD
2017-10-04,247.0,247.0,247.0,"247,00","-9,85",30.0,7.410,7.410,247.0,55.11113132561533,HOLD,58.91472868217054,79.32816537467701,HOLD,-41.08527131782946,HOLD,13.599408721359922,HOLD,75.57468072470272,HOLD
2017-10-05,234.0,234.0,230.0,"232,86","-5,72",701.0,163.234,163.234,234.0,51.7709978128432,HOLD,46.774193548387096,61.84462782362258,HOLD,-53.225806451612904,HOLD,-13.22730284956929,HOLD,60.99532586837604,HOLD
2017-10-18,232.0,232.0,232.0,"232,00","-0,37",40.0,9.280,9.280,232.0,51.25631084470928,HOLD,31.31313131313131,45.667351181229655,HOLD,-68.68686868686869,HOLD,-20.752826678116516,HOLD,56.27787276491314,HOLD
2017-10-20,232.0,232.0,232.0,"232,00","0,00",250.0,58.000,58.000,232.0,51.25631084470928,HOLD,30.612244897959183,36.23318991982587,HOLD,-69.38775510204081,HOLD,-25.752761385988805,HOLD,53.33264111901389,HOLD
2017-10-26,232.0,240.0,232.0,"239,48","3,22",535.0,128.120,128.120,232.0,51.25631084470928,HOLD,2.857142857142857,21.594173022744457,BUY,-97.14285714285714,BUY,-21.713238662391195,HOLD,59.59267090178475,HOLD
2017-10-27,240.0,240.0,232.0,"239,18","-0,13",195.0,46.640,46.640,240.0,53.56272555686032,HOLD,14.285714285714286,15.918367346938782,BUY,-85.71428571428571,BUY,-22.511328753106294,HOLD,59.59413044752087,HOLD
2017-11-27,216.0,216.0,216.0,"216,00","-9,69",30.0,6.480,6.480,216.0,46.46029629007148,HOLD,0.0,5.71428571428572,BUY,-100.0,BUY,-61.59194934851604,HOLD,56.66860056125167,HOLD
2017-12-13,200.0,200.0,200.0,"200,00","-7,41",50.0,10.000,10.000,200.0,42.42173990818976,HOLD,0.0,4.761904761904767,BUY,-100.0,BUY,-98.68442853829082,HOLD,55.151888812175216,HOLD
2017-12-25,190.0,190.0,190.0,"190,00","-5,00",2.665,506.350,506.350,190.0,40.076952027446495,HOLD,0.0,0.0,BUY,-100.0,BUY,-122.13225371120114,BUY,46.975706125091776,HOLD
2018-01-05,190.0,190.0,190.0,"190,00","0,00",150.0,28.500,28.500,190.0,40.076952027446495,HOLD,0.0,0.0,BUY,-100.0,BUY,-119.34587679459673,BUY,46.975706125091776,HOLD
2018-01-09,152.0,152.0,152.0,"152,00","-20,00",40.0,6.080,6.080,152.0,32.22669587679654,HOLD,0.0,0.0,BUY,-100.0,BUY,-178.20794563675761,BUY,46.55006225543638,HOLD
2018-01-26,182.0,182.0,182.0,"182,00","19,74",60.0,10.920,10.920,182.0,41.90215358091205,HOLD,20.408163265306122,6.802721088435379,HOLD,-79.59183673469387,HOLD,-107.4223553067454,BUY,54.36580547066884,HOLD
2018-01-29,190.0,190.0,190.0,"190,00","4,40",47.0,8.930,8.930,190.0,44.190260278760825,HOLD,31.147540983606557,17.185234749637562,HOLD,-68.85245901639344,HOLD,-85.74984082884764,HOLD,41.39595573973755,HOLD
