Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2014-11-12,86.0,86.0,84.0,300.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-12,99.0,99.0,86.0,462.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-01-11,80.0,87.0,80.0,37.480000000000004,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-03-12,82.0,82.0,82.0,200.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-04-11,80.0,80.0,80.0,90.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-05-11,100.0,100.0,100.0,300.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-07-10,100.0,100.0,100.0,35.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-08-09,91.0,111.0,91.0,254.3,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-09-08,120.0,120.0,93.0,1673.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-11-07,100.0,100.0,100.0,50.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-12-07,100.0,100.0,100.0,50.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-07-04,97.0,97.0,97.0,130.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-09-02,98.0,98.0,98.0,32.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-10-02,146.0,150.0,107.0,1999.0,72.5448849912876,SELL,94.28571428571429,,SELL,-5.714285714285714,SELL,,HOLD,88.48252242467575,SELL,98.5,102.33258020984829,104.2095238095238,BUY,BUY,BUY
2016-12-31,141.0,142.0,141.0,1123.0,69.40340306728592,HOLD,87.14285714285714,,SELL,-12.857142857142858,SELL,,HOLD,90.89112127568238,SELL,102.42857142857143,107.48823618186852,109.87619047619047,BUY,BUY,BUY
2017-01-30,157.0,157.0,157.0,58.0,73.37648740642268,SELL,100.0,93.80952380952381,SELL,-0.0,SELL,,HOLD,90.45562680502576,SELL,106.57142857142857,114.08980469095272,117.15238095238095,BUY,BUY,BUY
2017-03-01,157.0,161.0,153.0,945.0,73.37648740642268,SELL,95.06172839506173,94.0681951793063,SELL,-4.938271604938271,SELL,,HOLD,90.8426440175662,SELL,112.07142857142857,119.81116406549236,123.87619047619047,BUY,BUY,BUY
2017-03-31,165.0,165.0,161.0,300.0,75.24084752563289,SELL,100.0,98.35390946502058,SELL,-0.0,SELL,,HOLD,93.41505322319743,SELL,118.0,125.83634219009339,130.93333333333334,BUY,BUY,BUY
2017-04-30,190.0,190.0,169.0,680.0,79.96292826488254,SELL,100.0,98.35390946502058,SELL,-0.0,SELL,,HOLD,95.12769232611704,SELL,125.85714285714286,134.3914965647476,140.53333333333333,BUY,BUY,BUY
2017-05-30,190.0,228.0,190.0,100.0,79.96292826488254,SELL,72.26277372262774,90.75425790754258,HOLD,-27.73722627737226,HOLD,181.00502692355857,SELL,95.07264106762261,SELL,132.28571428571428,141.8059636894479,149.0857142857143,BUY,BUY,BUY
2017-06-29,288.0,288.0,171.0,1201.0,89.26816073349167,SELL,100.0,90.75425790754258,SELL,-0.0,SELL,217.2935888336882,SELL,96.34237446951248,SELL,145.71428571428572,161.29850186418818,169.84761904761905,BUY,BUY,BUY
2017-07-29,299.0,300.0,291.0,2027.0,89.83858557610044,SELL,99.51690821256038,90.59322731172938,SELL,-0.4830917874396135,SELL,233.31875394858343,SELL,98.98618521434709,SELL,160.57142857142858,179.65870161562975,190.28571428571428,BUY,BUY,BUY
2017-08-28,274.0,274.0,274.0,250.0,79.49658091829563,SELL,87.19211822660098,95.56967547972044,SELL,-12.807881773399014,SELL,165.9739360090055,SELL,94.68391378198388,SELL,171.57142857142858,192.23754140021245,205.40952380952382,BUY,BUY,BUY
2017-09-27,232.0,247.0,230.0,1556.0,65.79348547685456,HOLD,66.50246305418719,84.40382983111618,HOLD,-33.49753694581281,HOLD,102.88425521288552,SELL,77.360067227049,HOLD,181.0,197.5392025468508,213.4666666666667,BUY,BUY,BUY
2017-10-27,240.0,240.0,232.0,195.0,66.96167584747016,HOLD,70.44334975369458,74.71264367816092,HOLD,-29.55665024630542,HOLD,91.8450064850843,HOLD,77.87651447166377,HOLD,191.0,203.20064220727068,221.33333333333334,BUY,BUY,BUY
2017-11-26,190.0,216.0,190.0,82.665,54.44644119290388,HOLD,45.54455445544554,60.8301224211091,HOLD,-54.45544554455446,HOLD,39.148379714764424,HOLD,77.73043461824663,HOLD,197.64285714285714,201.4405565796346,221.20000000000002,SELL,SELL,SELL
2017-12-26,152.0,190.0,152.0,190.0,47.22270584374136,HOLD,23.316062176165804,46.43465546176864,HOLD,-76.6839378238342,HOLD,-6.8219848114300214,HOLD,76.51644523759444,HOLD,201.5,194.84848236901666,215.1142857142857,SELL,SELL,SELL
2018-01-25,246.0,246.0,180.0,1778.0,61.005203498476405,HOLD,66.0377358490566,44.96611749355598,HOLD,-33.9622641509434,HOLD,61.75515794695916,HOLD,77.90732536081785,HOLD,208.64285714285714,201.66868471981445,221.04761904761904,BUY,BUY,BUY
