Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2014-11-11,250.0,250.0,250.0,"250,00","11,11",400.0,100.000,100.000,250.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-04,262.0,262.0,262.0,"262,00","4,80",475.0,124.450,124.450,262.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-30,281.0,281.0,281.0,"281,00","7,25",400.0,112.400,112.400,281.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-01-21,280.0,280.0,280.0,"280,00","-0,36",160.0,44.800,44.800,280.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-10,280.0,280.0,280.0,"280,00","0,00",3.727,1.043.560,1.043.560,280.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-12,300.0,300.0,300.0,"300,00","7,14",1.0,300.000,300.000,300.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-13,300.0,300.0,300.0,"300,00","0,00",200.0,60.000,60.000,300.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-16,300.0,300.0,300.0,"300,00","0,00",200.0,60.000,60.000,300.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-04-29,298.0,298.0,298.0,"298,00","-0,67",70.0,20.860,20.860,298.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-06-29,125.0,125.0,125.0,"125,00","-58,05",23.0,2.875,2.875,125.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-09-07,155.0,155.0,155.0,"155,00","24,00",90.0,13.950,13.950,155.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-09-10,155.0,155.0,155.0,"155,00","0,00",210.0,32.550,32.550,155.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-09-11,155.0,155.0,155.0,"155,00","0,00",260.0,40.300,40.300,155.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-09-22,170.0,170.0,170.0,"170,00","9,68",423.0,71.910,71.910,170.0,32.70615689636328,HOLD,25.714285714285715,,HOLD,-74.28571428571429,HOLD,,HOLD,82.49626479714975,SELL
2015-09-28,165.0,165.0,165.0,"165,00","-2,94",800.0,132.000,132.000,165.0,31.8224074875705,HOLD,22.857142857142858,,HOLD,-77.14285714285714,HOLD,,HOLD,61.696702289201504,HOLD
2015-10-01,169.0,169.0,169.0,"169,00","2,42",200.0,33.800,33.800,169.0,33.373442722668855,HOLD,25.142857142857142,24.571428571428573,HOLD,-74.85714285714286,HOLD,,HOLD,53.67583363171209,HOLD
2015-10-07,169.0,169.0,169.0,"169,00","0,00",100.0,16.900,16.900,169.0,33.373442722668855,HOLD,25.142857142857142,24.38095238095238,HOLD,-74.85714285714286,HOLD,,HOLD,37.429601085820366,HOLD
2015-11-11,165.0,165.0,165.0,"165,00","-2,37",300.0,49.500,49.500,165.0,32.51553558482445,HOLD,22.857142857142858,24.38095238095238,HOLD,-77.14285714285714,HOLD,,HOLD,36.88863604913975,HOLD
2015-11-23,170.0,170.0,170.0,"170,00","3,03",110.0,18.700,18.700,170.0,34.77270087817321,HOLD,25.714285714285715,24.571428571428573,HOLD,-74.28571428571429,HOLD,,HOLD,40.32044664795941,HOLD
2015-11-26,173.0,173.0,173.0,"173,00","1,76",130.0,22.490,1.026.790,173.0,36.152573161261444,HOLD,27.428571428571427,25.333333333333332,HOLD,-72.57142857142857,HOLD,-47.40691855029424,HOLD,43.93788327847358,HOLD
2015-12-03,180.0,180.0,180.0,"180,00","4,05",300.0,54.000,54.000,180.0,39.375279359133884,HOLD,31.428571428571427,28.19047619047619,HOLD,-68.57142857142857,HOLD,-36.2101521714984,HOLD,51.14441125010415,HOLD
2015-12-25,180.0,180.0,180.0,"180,00","0,00",200.0,36.000,36.000,180.0,39.375279359133884,HOLD,31.791907514450866,30.216350123864572,HOLD,-68.20809248554913,HOLD,-32.786885245901644,HOLD,51.14441125010415,HOLD
2016-01-04,200.0,200.0,200.0,"200,00","11,11",70.0,14.000,14.000,200.0,48.062137165009574,HOLD,100.0,54.406826314340755,SELL,-0.0,SELL,-5.583788192483829,HOLD,55.38145078347147,HOLD
2016-01-15,170.0,170.0,170.0,"170,00","-15,00",16.0,2.720,2.720,170.0,39.02836281536549,HOLD,33.333333333333336,55.0417469492614,HOLD,-66.66666666666667,HOLD,-39.851331819120375,HOLD,55.40223206720411,HOLD
