Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2014-11-11,250.0,250.0,250.0,400.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-02,262.0,262.0,262.0,475.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-30,281.0,281.0,281.0,400.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-01-20,280.0,280.0,280.0,160.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-10,300.0,300.0,280.0,404.727,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-04-28,298.0,298.0,298.0,70.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-06-23,125.0,125.0,125.0,23.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-09-01,155.0,155.0,155.0,90.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-09-08,155.0,155.0,155.0,470.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-09-22,165.0,170.0,165.0,1223.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-09-29,169.0,169.0,169.0,200.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-10-06,169.0,169.0,169.0,100.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-11-10,165.0,165.0,165.0,300.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-11-17,170.0,170.0,170.0,110.0,35.06673101408339,HOLD,25.714285714285715,,HOLD,-74.28571428571429,HOLD,,HOLD,86.93688204316136,SELL
2015-11-24,173.0,173.0,173.0,130.0,36.30089380869424,HOLD,27.428571428571427,,HOLD,-72.57142857142857,HOLD,,HOLD,87.32022998077764,SELL
2015-12-01,180.0,180.0,180.0,300.0,39.20450237341768,HOLD,31.428571428571427,28.19047619047619,HOLD,-68.57142857142857,HOLD,,HOLD,86.03663530909192,SELL
2015-12-22,180.0,180.0,180.0,200.0,39.20450237341768,HOLD,31.428571428571427,30.09523809523809,HOLD,-68.57142857142857,HOLD,,HOLD,83.34699314987753,SELL
2015-12-29,200.0,200.0,200.0,70.0,47.18234026221932,HOLD,42.857142857142854,35.238095238095234,HOLD,-57.142857142857146,HOLD,,HOLD,90.52427667951791,SELL
2016-01-12,170.0,170.0,170.0,16.0,38.9300468928092,HOLD,26.01156069364162,33.43242499311864,HOLD,-73.98843930635839,HOLD,,HOLD,87.38460599075702,SELL
