Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2014-11-11,250.0,250.0,250.0,400.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-02,262.0,262.0,262.0,475.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-30,281.0,281.0,281.0,400.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-01-20,280.0,280.0,280.0,160.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-10,300.0,300.0,280.0,404.727,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-04-28,298.0,298.0,298.0,70.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-06-23,125.0,125.0,125.0,23.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-09-01,155.0,155.0,155.0,90.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-09-08,155.0,155.0,155.0,470.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-09-22,165.0,170.0,165.0,1223.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-09-29,169.0,169.0,169.0,200.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-10-06,169.0,169.0,169.0,100.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-11-10,165.0,165.0,165.0,300.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-11-17,170.0,170.0,170.0,110.0,35.06673101408339,HOLD,25.714285714285715,,HOLD,-74.28571428571429,HOLD,,HOLD,86.93688204316136,SELL,210.28571428571428,196.26906964421454,186.63809523809525,SELL,SELL,SELL
2015-11-24,173.0,173.0,173.0,130.0,36.30089380869424,HOLD,27.428571428571427,,HOLD,-72.57142857142857,HOLD,,HOLD,87.32022998077764,SELL,204.78571428571428,193.16652702498595,181.66666666666666,SELL,SELL,SELL
2015-12-01,180.0,180.0,180.0,300.0,39.20450237341768,HOLD,31.428571428571427,28.19047619047619,HOLD,-68.57142857142857,HOLD,,HOLD,86.03663530909192,SELL,198.92857142857142,191.41099008832117,178.36190476190475,SELL,SELL,BUY
