Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2014-11-10,24000.0,24500.0,23280.0,166.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-17,23300.0,23620.0,23200.0,25.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-24,22360.0,23000.0,22310.0,38.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-01,21500.0,22700.0,21500.0,49.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-08,22000.0,22150.0,21300.0,71.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-15,22000.0,22400.0,21500.0,45.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-22,22000.0,22200.0,22000.0,16.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-29,22000.0,22200.0,21710.0,77.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-01-05,21500.0,22499.0,21500.0,17.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-01-12,21700.0,21700.0,21500.0,64.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-01-19,22000.0,22200.0,21600.0,52.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-01-26,21999.0,22000.0,21800.0,44.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-02,21690.0,21700.0,21260.0,72.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-09,20800.0,21500.0,20800.0,53.0,19.668315163845122,BUY,0.0,,BUY,-100.0,BUY,,HOLD,18.217952356762723,BUY,22060.64285714286,22085.295218546686,21765.123809523808,SELL,SELL,SELL
2015-02-16,20300.0,20800.0,19950.0,68.0,16.896256394178337,BUY,9.536784741144414,,BUY,-90.46321525885558,BUY,,HOLD,16.53821195816468,BUY,21796.35714285714,21847.255856073796,21530.37142857143,SELL,SELL,SELL
2015-02-23,20500.0,20500.0,20000.0,16.0,21.652923359052124,BUY,18.0327868852459,9.189857208796772,BUY,-81.9672131147541,BUY,,HOLD,16.828626061772667,BUY,21596.35714285714,21667.621741930623,21357.52380952381,SELL,SELL,SELL
2015-03-02,20250.0,21100.0,20250.0,9.0,20.103902641390576,BUY,10.909090909090908,12.826220845160409,BUY,-89.0909090909091,BUY,,HOLD,18.94519584646821,BUY,21445.64285714286,21478.60550967321,21178.009523809524,SELL,SELL,SELL
2015-03-09,20000.0,20000.0,20000.0,145.0,18.6658550469826,BUY,1.9615535504119261,10.301143781582912,BUY,-98.03844644958808,BUY,,HOLD,16.768927565178842,BUY,21338.5,21281.45810838345,20985.257142857146,SELL,SELL,SELL
