Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2014-11-11,3800.0,3800.0,3800.0,"3.800,00","0,00",50.0,190.000,190.000,3800.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-12,3800.0,3800.0,3800.0,"3.800,00","0,00",20.0,76.000,76.000,3800.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-13,3800.0,3800.0,3800.0,"3.800,00","0,00",156.0,592.800,592.800,3800.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-13,3800.0,3800.0,3800.0,"3.800,00","0,00",156.0,592.800,592.800,3800.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-14,3800.0,3800.0,3800.0,"3.800,00","0,00",139.0,528.200,528.200,3800.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-21,3710.0,3710.0,3710.0,"3.710,00","-2,37",50.0,185.500,185.500,3710.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-24,3700.0,3700.0,3700.0,"3.700,00","-0,27",26.0,96.200,96.200,3700.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-25,3700.0,3700.0,3700.0,"3.700,00","0,00",5.0,18.500,18.500,3700.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-27,3700.0,3700.0,3700.0,"3.700,00","0,00",40.0,148.000,148.000,3700.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-09,3700.0,3700.0,3700.0,"3.700,00","0,00",25.0,92.500,92.500,3700.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-10,3700.0,3700.0,3700.0,"3.700,00","0,00",10.0,37.000,37.000,3700.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-11,3700.0,3700.0,3700.0,"3.700,00","0,00",70.0,259.000,259.000,3700.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-16,3701.0,3701.0,3701.0,"3.701,00","0,03",10.0,37.010,37.010,3701.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-19,3800.0,3801.0,3800.0,"3.800,75","2,70",20.0,76.015,76.015,3800.0,64.2099063882449,HOLD,99.00990099009901,,SELL,-0.9900990099009901,SELL,,HOLD,28.6323523202297,HOLD,3743.6428571428573,3741.45800591783,3728.3142857142852,BUY,BUY,BUY
2014-12-22,3800.0,3800.0,3800.0,"3.800,00","-0,02",25.0,95.000,95.000,3800.0,64.2099063882449,HOLD,99.00990099009901,,SELL,-0.9900990099009901,SELL,,HOLD,23.077970254909303,HOLD,3743.6428571428573,3749.2636051287864,3735.8285714285707,BUY,BUY,BUY
2014-12-24,3800.0,3800.0,3800.0,"3.800,00","0,00",26.0,98.800,98.800,3800.0,64.2099063882449,HOLD,99.00990099009901,99.00990099009901,SELL,-0.9900990099009901,SELL,,HOLD,23.077970254909303,HOLD,3743.6428571428573,3756.028457778282,3743.3428571428567,BUY,BUY,BUY
2014-12-26,3900.0,3900.0,3900.0,"3.900,00","2,63",100.0,390.000,390.000,3900.0,80.14462709901058,SELL,100.0,99.33993399339933,SELL,-0.0,SELL,,HOLD,57.17939488092757,HOLD,3750.785714285714,3775.224663407844,3764.190476190476,BUY,BUY,BUY
2014-12-29,3900.0,3900.0,3900.0,"3.900,00","0,00",200.0,780.000,780.000,3900.0,80.14462709901056,SELL,100.0,99.66996699669967,SELL,-0.0,SELL,,HOLD,57.17939488092757,HOLD,3757.9285714285716,3791.861374953465,3784.085714285715,BUY,BUY,BUY
2014-12-30,3900.0,3900.0,3900.0,"3.900,00","0,00",200.0,780.000,780.000,3900.0,80.14462709901056,SELL,100.0,100.0,SELL,-0.0,SELL,,HOLD,57.17939488092757,HOLD,3765.0714285714284,3806.279858293003,3803.028571428572,BUY,BUY,BUY
2015-01-26,3800.0,3800.0,3800.0,"3.800,00","-2,56",15.0,57.000,57.000,3800.0,51.50424969254548,HOLD,50.0,83.33333333333333,HOLD,-50.0,HOLD,27.443932756748765,HOLD,66.9602644598762,HOLD,3771.5,3805.442543853936,3807.685714285714,BUY,SELL,SELL
