Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2015-09-11,1250.0,1250.0,1250.0,121.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-06-07,1250.0,1250.0,1250.0,257.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-10-05,1250.0,1250.0,1250.0,104.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-11-04,1250.0,1250.0,1250.0,133.942,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-06-02,1250.0,1250.0,1250.0,372.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-07-02,1250.0,1250.0,1250.0,362.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-11-29,1250.0,1250.0,1250.0,328.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-07-27,1250.0,1250.0,1250.0,236.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-08-26,1250.0,1250.0,1250.0,147.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-09-25,1250.0,1250.0,1250.0,127.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-10-25,1250.0,1250.0,1250.0,199.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2019-03-24,1250.0,1250.0,1250.0,58.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2019-04-23,1250.0,1250.0,1250.0,339.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2019-06-22,1250.0,1250.0,1250.0,118.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD
2019-09-20,1250.0,1250.0,1250.0,134.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD
2020-06-16,1860.0,1860.0,1550.0,571.0,100.0,SELL,100.0,,SELL,-0.0,SELL,,HOLD,100.0,SELL
2022-01-07,1900.0,1900.0,1900.0,116.0,100.0,SELL,100.0,,SELL,-0.0,SELL,,HOLD,100.0,SELL
2024-06-25,1900.0,1900.0,1900.0,20.0,100.0,SELL,100.0,100.0,SELL,-0.0,SELL,,HOLD,100.0,SELL
