Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2016-09-15,92250.0,92250.0,92250.0,"92.250,00","287,61",15.0,1.383.750,1.383.750,92250.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-09-27,92250.0,92250.0,92250.0,"92.250,00","0,00",4.0,369.000,369.000,92250.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-11-07,92250.0,92250.0,92250.0,"92.250,00","0,00",16.0,1.476.000,1.476.000,92250.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-11-08,92250.0,92250.0,92250.0,"92.250,00","0,00",4.0,369.000,369.000,92250.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-01-18,92250.0,92250.0,92250.0,"92.250,00","0,00",10.0,922.500,922.500,92250.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-02-02,92250.0,92250.0,92250.0,"92.250,00","0,00",14.0,1.291.500,1.291.500,92250.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-02-13,92250.0,92250.0,92250.0,"92.250,00","0,00",19.0,1.752.750,1.752.750,92250.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-02-24,92250.0,92250.0,92250.0,"92.250,00","0,00",11.0,1.014.750,1.014.750,92250.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-03-17,92250.0,92250.0,92250.0,"92.250,00","0,00",16.0,1.476.000,1.476.000,92250.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-03-20,92250.0,92250.0,92250.0,"92.250,00","0,00",12.0,1.107.000,2.121.750,92250.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-03-24,92250.0,92250.0,92250.0,"92.250,00","0,00",158.0,14.575.500,14.575.500,92250.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-06-13,61500.0,61500.0,61500.0,"61.500,00","-33,33",41.0,2.521.500,2.521.500,61500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-06-14,61500.0,61500.0,61500.0,"61.500,00","0,00",142.0,8.733.000,8.733.000,61500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-06-20,61500.0,61500.0,61500.0,"61.500,00","0,00",4.0,246.000,4.674.000,61500.0,0.0,BUY,0.0,,BUY,-100.0,BUY,,HOLD,0.0,BUY,85660.71428571429,81517.11111111112,80828.57142857143,SELL,SELL,SELL
2017-08-14,61500.0,61500.0,61500.0,"61.500,00","0,00",10.0,615.000,615.000,61500.0,0.0,BUY,0.0,,BUY,-100.0,BUY,,HOLD,0.0,BUY,83464.28571428571,78848.16296296298,77607.14285714286,SELL,SELL,SELL
2018-09-18,61500.0,61500.0,61500.0,"61.500,00","0,00",8.0,492.000,492.000,61500.0,0.0,BUY,0.0,0.0,BUY,-100.0,BUY,,HOLD,0.0,BUY,81267.85714285714,76535.07456790125,74678.57142857143,SELL,SELL,SELL
2021-10-19,61500.0,61500.0,61500.0,"61.500,00","0,00",10.0,615.000,615.000,61500.0,0.0,BUY,0.0,0.0,BUY,-100.0,BUY,,HOLD,0.0,BUY,79071.42857142857,74530.39795884775,72042.85714285714,SELL,SELL,SELL
2024-03-07,61500.0,61500.0,61500.0,"61.500,00","0,00",1.0,61.500,5.161.500,61500.0,0.0,BUY,0.0,0.0,BUY,-100.0,BUY,,HOLD,0.0,BUY,76875.0,72793.01156433472,69700.0,SELL,SELL,SELL
2024-03-15,61500.0,61500.0,61500.0,"61.500,00","0,00",2.0,123.000,123.000,61500.0,0.0,BUY,0.0,0.0,BUY,-100.0,BUY,,HOLD,0.0,BUY,74678.57142857143,71287.2766890901,67650.0,SELL,SELL,SELL
2024-10-04,61500.0,61500.0,61500.0,"61.500,00","0,00",9.0,553.500,553.500,61500.0,0.0,BUY,0.0,0.0,BUY,-100.0,BUY,-74.07407407407408,HOLD,0.0,BUY,72482.14285714286,69982.30646387809,65892.85714285716,SELL,SELL,SELL
