Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2014-12-19,6600.0,6600.0,6600.0,1.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-04-24,6100.0,6100.0,6100.0,1.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-05-06,4000.0,4000.0,4000.0,175.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-11-04,4101.0,4101.0,4101.0,119.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-01-27,6000.0,6000.0,6000.0,100.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-02-03,6000.0,6000.0,6000.0,240.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-03-10,6000.0,6000.0,6000.0,100.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-05-05,6000.0,6000.0,6000.0,1.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-06-02,6000.0,6000.0,6000.0,150.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-11-10,6000.0,6000.0,6000.0,10.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-12-01,6000.0,6000.0,6000.0,35.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2017-12-22,6000.0,6000.0,6000.0,25.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-01-19,6000.0,6000.0,6000.0,30.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2018-02-09,6000.0,6000.0,6000.0,20.0,47.404073616091964,HOLD,76.92307692307692,,HOLD,-23.076923076923077,HOLD,,HOLD,60.643636235946445,HOLD,5771.5,5979.985604986263,5878.133333333333,BUY,BUY,BUY
2018-03-16,6000.0,6000.0,6000.0,20.0,47.404073616091964,HOLD,95.23809523809524,,SELL,-4.761904761904762,SELL,,HOLD,60.643636235946445,HOLD,5728.642857142857,5982.654190988094,5908.6,BUY,BUY,BUY
2018-04-06,6000.0,6000.0,6000.0,30.0,47.404073616091964,HOLD,100.0,90.72039072039071,SELL,-0.0,SELL,,HOLD,60.85052787470379,HOLD,5721.5,5984.9669655230155,5944.780952380953,BUY,BUY,BUY
2018-08-03,6000.0,6000.0,6000.0,10.0,47.404073616091964,HOLD,100.0,98.41269841269842,SELL,-0.0,SELL,,HOLD,100.0,SELL,5864.357142857143,5986.971370119947,5981.914285714286,BUY,BUY,BUY
2018-09-07,6000.0,6000.0,6000.0,8.0,47.404073616091964,HOLD,,,HOLD,,HOLD,,HOLD,100.0,SELL,6000.0,5988.708520770621,6000.0,HOLD,BUY,HOLD
2018-10-05,6000.0,6000.0,6000.0,20.0,47.404073616091964,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,6000.0,5990.214051334538,6000.0,HOLD,BUY,HOLD
2018-11-23,6000.0,6000.0,6000.0,33.0,47.40407361609197,HOLD,,,HOLD,,HOLD,29.793337244931198,HOLD,,HOLD,6000.0,5991.518844489933,6000.0,HOLD,BUY,HOLD
2018-11-30,6000.0,6000.0,6000.0,20.0,47.40407361609197,HOLD,,,HOLD,,HOLD,35.98457939056385,HOLD,,HOLD,6000.0,5992.649665224609,6000.0,HOLD,BUY,HOLD
2018-12-14,6000.0,6000.0,6000.0,25.0,47.40407361609197,HOLD,,,HOLD,,HOLD,37.03703703703702,HOLD,,HOLD,6000.0,5993.629709861328,6000.0,HOLD,BUY,HOLD
2019-02-01,6000.0,6000.0,6000.0,20.0,47.40407361609197,HOLD,,,HOLD,,HOLD,35.08771929824558,HOLD,,HOLD,6000.0,5994.479081879817,6000.0,HOLD,BUY,HOLD
2019-03-01,6000.0,6000.0,6000.0,10.0,47.40407361609198,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,6000.0,5995.215204295842,6000.0,HOLD,BUY,HOLD
2019-04-05,6000.0,6000.0,6000.0,10.0,47.40407361609197,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,6000.0,5995.853177056397,6000.0,HOLD,BUY,HOLD
2019-11-15,6000.0,6000.0,6000.0,40.0,47.40407361609197,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,6000.0,5996.406086782211,6000.0,HOLD,BUY,HOLD
2019-11-29,6000.0,6000.0,6000.0,250.0,47.40407361609197,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,6000.0,5996.88527521125,6000.0,HOLD,BUY,HOLD
2021-01-22,6000.0,6000.0,6000.0,10.0,47.40407361609198,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,6000.0,5997.30057184975,6000.0,HOLD,BUY,HOLD
