Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2014-11-14,701.0,701.0,701.0,"701,00","40,20",60.0,42.060,42.060,701.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-17,700.0,700.0,700.0,"700,00","-0,14",15.0,10.500,10.500,700.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-18,610.0,610.0,610.0,"610,00","-12,86",10.0,6.100,6.100,610.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-29,550.0,550.0,550.0,"550,00","-9,84",10.0,5.500,5.500,550.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-01-14,550.0,550.0,550.0,"550,00","0,00",6.0,3.300,3.300,550.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-01-16,550.0,550.0,550.0,"550,00","0,00",20.0,11.000,11.000,550.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-01-30,566.0,566.0,566.0,"566,00","2,91",45.0,25.470,25.470,566.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-02,581.0,581.0,581.0,"581,00","2,65",100.0,58.100,58.100,581.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-03,580.0,580.0,580.0,"580,00","-0,17",59.0,34.220,34.220,580.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-04,580.0,580.0,580.0,"580,00","0,00",14.0,8.120,8.120,580.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-16,580.0,580.0,580.0,"580,00","0,00",101.0,58.580,58.580,580.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-18,580.0,580.0,580.0,"580,00","0,00",89.0,51.620,51.620,580.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-03-05,580.0,580.0,580.0,"580,00","0,00",10.0,5.800,5.800,580.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-03-26,540.0,540.0,540.0,"540,00","-6,90",50.0,27.000,27.000,540.0,14.87552092338332,BUY,0.0,,BUY,-100.0,BUY,,HOLD,50.07489963448978,HOLD,589.1428571428571,593.2371896533198,573.8190476190475,SELL,SELL,SELL
2015-04-06,524.0,524.0,524.0,"524,00","-2,96",15.0,7.860,7.860,524.0,13.118699968495179,BUY,0.0,,BUY,-100.0,BUY,,HOLD,47.82260371959943,HOLD,576.5,584.0055643662105,565.1333333333333,SELL,SELL,SELL
2015-04-07,524.0,524.0,524.0,"524,00","0,00",85.0,44.540,44.540,524.0,13.118699968495179,BUY,0.0,0.0,BUY,-100.0,BUY,,HOLD,50.87975646879757,HOLD,563.9285714285714,576.0048224507158,558.1333333333333,SELL,SELL,SELL
2015-04-22,500.0,500.0,500.0,"500,00","-4,58",261.0,130.500,130.500,500.0,10.882781960965616,BUY,0.0,0.0,BUY,-100.0,BUY,,HOLD,28.952018014896936,HOLD,556.0714285714286,565.8708461239537,549.6095238095238,SELL,SELL,SELL
2015-04-24,500.0,500.0,500.0,"500,00","0,00",68.0,34.000,34.000,500.0,10.882781960965616,BUY,0.0,0.0,BUY,-100.0,BUY,,HOLD,29.51439166519512,HOLD,552.5,557.0880666407598,542.1333333333333,SELL,SELL,SELL
2015-04-27,520.0,520.0,520.0,"520,00","4,00",100.0,52.000,52.000,520.0,23.486315229179624,BUY,24.691358024691358,8.23045267489712,HOLD,-75.30864197530865,HOLD,,HOLD,40.45054453229897,HOLD,550.3571428571429,552.1429910886585,537.8000000000001,SELL,SELL,SELL
2015-05-13,500.0,500.0,500.0,"500,00","-3,85",25.0,12.500,12.500,500.0,20.382022601059276,BUY,0.0,8.23045267489712,BUY,-100.0,BUY,-109.6666666666666,BUY,38.99611678412196,HOLD,546.7857142857143,545.1905922768374,531.0857142857143,SELL,SELL,SELL
2015-05-15,540.0,540.0,540.0,"540,00","8,00",129.0,69.660,69.660,540.0,38.025224666061085,HOLD,49.382716049382715,24.691358024691358,HOLD,-50.617283950617285,HOLD,-35.08771929824562,HOLD,45.87586770110249,HOLD,544.9285714285714,544.4985133065924,530.1809523809524,SELL,SELL,BUY
