Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2014-12-09,2505.0,2505.0,2505.0,"2.505,00","13,76",10.0,25.050,25.050,2505.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-12,2501.0,2501.0,2501.0,"2.501,00","-0,16",181.0,452.681,452.681,2501.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-04-16,2650.0,2650.0,2650.0,"2.650,00","5,96",5.0,13.250,13.250,2650.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-05-13,2500.0,2500.0,2500.0,"2.500,00","-5,66",1.0,2.500,2.500,2500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-06-18,2500.0,2500.0,2500.0,"2.500,00","0,00",10.0,25.000,25.000,2500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-05-31,3410.0,3410.0,3410.0,"3.410,00","36,40",20.0,68.200,68.200,3410.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-09-30,5001.0,5001.0,5001.0,"5.001,00","46,66",1.0,5.001,5.001,5001.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-10-06,6001.0,6001.0,6001.0,"6.001,00","20,00",2.0,12.002,12.002,6001.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-10-07,6000.0,6000.0,6000.0,"6.000,00","-0,02",49.0,294.000,294.000,6000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-10-10,6000.0,6000.0,6000.0,"6.000,00","0,00",51.0,306.000,306.000,6000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-10-13,6501.0,6501.0,6501.0,"6.501,00","8,35",20.0,130.020,130.020,6501.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-10-17,7000.0,7000.0,7000.0,"7.000,00","7,68",4.0,28.000,28.000,7000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-10-19,7000.0,7000.0,7000.0,"7.000,00","0,00",11.0,77.000,77.000,7000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-10-20,7200.0,7200.0,7200.0,"7.200,00","2,86",21.0,151.200,151.200,7200.0,97.73702815128063,SELL,100.0,,SELL,-0.0,SELL,,HOLD,35.23979689744773,HOLD
2016-10-27,7501.0,7501.0,7501.0,"7.501,00","4,18",22.0,165.022,165.022,7501.0,97.94156429914655,SELL,100.0,,SELL,-0.0,SELL,,HOLD,43.32441166947581,HOLD
2016-10-28,8151.0,8151.0,8151.0,"8.151,00","8,67",15.0,122.265,122.265,8151.0,98.29908764174846,SELL,100.0,100.0,SELL,-0.0,SELL,,HOLD,70.09460795190931,HOLD
2016-11-03,9005.0,9005.0,9005.0,"9.005,00","10,48",10.0,90.050,90.050,9005.0,98.63462956442501,SELL,100.0,100.0,SELL,-0.0,SELL,,HOLD,72.24458465167656,HOLD
2016-11-18,8001.0,8001.0,8001.0,"8.001,00","-11,15",1.0,8.001,8.001,8001.0,78.92276634000788,SELL,84.56571867794004,94.85523955931335,SELL,-15.434281322059954,SELL,,HOLD,71.8744674094142,HOLD
2016-11-24,8001.0,8001.0,8001.0,"8.001,00","0,00",10.0,80.010,80.010,8001.0,78.92276634000787,SELL,82.05540661304737,88.87370843032913,SELL,-17.944593386952636,SELL,,HOLD,71.8744674094142,HOLD
