Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2014-11-20,16.0,16.0,16.0,"16,00","6,67",1.0,16.0,16.0,16.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-10,16.0,16.0,16.0,"16,00","0,00",7.0,112.0,112.0,16.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-16,16.0,16.0,16.0,"16,00","0,00",2.0,32.0,32.0,16.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-04-28,16.0,16.0,16.0,"16,00","0,00",5.0,80.0,80.0,16.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-06-16,15.0,15.0,15.0,"15,00","-6,25",5.0,75.0,75.0,15.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-06-19,15.0,15.0,15.0,"15,00","0,00",10.0,150.0,150.0,15.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-06-29,14.0,14.0,14.0,"14,00","-6,67",15.0,210.0,210.0,14.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-08-19,13.0,13.0,13.0,"13,00","-7,14",200.0,2.6,2.6,13.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-11-26,13.0,13.0,13.0,"13,00","0,00",110.0,1.43,1.43,13.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-12-23,13.0,13.0,13.0,"13,00","0,00",400.0,5.2,5.2,13.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-01-04,12.0,12.0,12.0,"12,00","-7,69",3.977,47.724,47.724,12.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-01-11,12.0,12.0,12.0,"12,00","0,00",500.0,6.0,6.0,12.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-01-12,12.0,12.0,12.0,"12,00","0,00",775.0,9.3,9.3,12.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-02-04,12.0,12.0,12.0,"12,00","0,00",4.2,50.4,50.4,12.0,0.0,BUY,0.0,,BUY,-100.0,BUY,,HOLD,0.0,BUY
2016-02-15,12.0,12.0,12.0,"12,00","0,00",900.0,10.8,10.8,12.0,0.0,BUY,0.0,,BUY,-100.0,BUY,,HOLD,0.0,BUY
2016-05-27,12.0,12.0,12.0,"12,00","0,00",2.1,25.2,25.2,12.0,0.0,BUY,0.0,0.0,BUY,-100.0,BUY,,HOLD,0.0,BUY
2016-06-29,12.0,12.0,12.0,"12,00","0,00",500.0,6.0,6.0,12.0,0.0,BUY,0.0,0.0,BUY,-100.0,BUY,,HOLD,0.0,BUY
2016-08-15,12.0,12.0,12.0,"12,00","0,00",1.3,15.6,15.6,12.0,0.0,BUY,0.0,0.0,BUY,-100.0,BUY,,HOLD,0.0,BUY
2016-08-23,12.0,12.0,12.0,"12,00","0,00",452.0,5.424,5.424,12.0,0.0,BUY,0.0,0.0,BUY,-100.0,BUY,,HOLD,0.0,BUY
2016-08-24,12.0,12.0,12.0,"12,00","0,00",548.0,6.576,6.576,12.0,0.0,BUY,0.0,0.0,BUY,-100.0,BUY,-61.85567010309276,HOLD,0.0,BUY
2016-08-25,13.0,13.0,13.0,"13,00","8,33",752.0,9.776,9.776,13.0,39.71326956581685,HOLD,100.0,33.333333333333336,SELL,-0.0,SELL,-10.416666666666632,HOLD,78.68816145625901,HOLD
