Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2014-11-20,16.0,16.0,16.0,1.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-04,16.0,16.0,16.0,7.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-11,16.0,16.0,16.0,2.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-04-23,16.0,16.0,16.0,5.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-06-11,15.0,15.0,15.0,5.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-06-18,15.0,15.0,15.0,10.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-06-25,14.0,14.0,14.0,15.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-08-13,13.0,13.0,13.0,200.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-11-26,13.0,13.0,13.0,110.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-12-17,13.0,13.0,13.0,400.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-12-31,12.0,12.0,12.0,3.977,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-01-07,12.0,12.0,12.0,1275.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-02-04,12.0,12.0,12.0,4.2,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-02-11,12.0,12.0,12.0,900.0,0.0,BUY,0.0,,BUY,-100.0,BUY,,HOLD,0.0,BUY
2016-05-26,12.0,12.0,12.0,2.1,0.0,BUY,0.0,,BUY,-100.0,BUY,,HOLD,0.0,BUY
2016-06-23,12.0,12.0,12.0,500.0,0.0,BUY,0.0,0.0,BUY,-100.0,BUY,,HOLD,0.0,BUY
2016-08-11,12.0,12.0,12.0,1.3,0.0,BUY,0.0,0.0,BUY,-100.0,BUY,,HOLD,0.0,BUY
2016-08-18,12.0,12.0,12.0,1000.0,0.0,BUY,0.0,0.0,BUY,-100.0,BUY,,HOLD,0.0,BUY
2016-08-25,13.0,13.0,13.0,752.0,36.22428819133454,HOLD,33.333333333333336,11.111111111111112,HOLD,-66.66666666666667,HOLD,,HOLD,77.38019288691126,HOLD
2016-09-01,15.0,15.0,15.0,200.0,64.17528437935032,HOLD,100.0,44.44444444444445,SELL,-0.0,SELL,66.21004566210041,HOLD,81.72077235084872,SELL
2016-10-27,15.0,15.0,15.0,290.0,64.17528437935032,HOLD,100.0,77.77777777777779,SELL,-0.0,SELL,71.42857142857143,HOLD,82.83343244471958,SELL
2016-11-03,12.0,12.0,12.0,2.0,36.41285981833871,HOLD,0.0,66.66666666666667,BUY,-100.0,BUY,-67.18346253229977,HOLD,99.44173769610866,SELL
2017-01-26,12.0,12.0,12.0,150.0,36.41285981833871,HOLD,0.0,33.333333333333336,BUY,-100.0,BUY,-64.32748538011695,HOLD,99.44173769610866,SELL
2017-04-27,10.0,10.0,10.0,1.0,27.286217445808205,BUY,0.0,0.0,BUY,-100.0,BUY,-172.83950617283955,BUY,99.36439761811656,SELL
2017-07-20,12.0,12.0,12.0,100.0,42.74161053951628,HOLD,40.0,13.333333333333334,HOLD,-60.0,HOLD,-44.21768707482995,HOLD,99.75731620271235,SELL
2017-08-31,13.0,13.0,13.0,3.0,48.62186769138789,HOLD,60.0,33.333333333333336,HOLD,-40.0,HOLD,34.8837209302325,HOLD,99.75798989251903,SELL
2017-09-07,14.0,14.0,14.0,200.0,53.73826000023416,HOLD,80.0,60.0,HOLD,-20.0,HOLD,112.40310077519374,SELL,99.79820760876017,SELL
2017-10-05,15.0,15.0,12.0,283.794,58.218993422515354,HOLD,100.0,80.0,SELL,-0.0,SELL,101.44927536231889,SELL,99.79820760876017,SELL
2017-11-02,15.0,15.0,15.0,3.0,58.218993422515354,HOLD,100.0,93.33333333333333,SELL,-0.0,SELL,147.43589743589752,SELL,99.79874511660945,SELL
2018-03-22,11.0,11.0,11.0,471.6,40.16984669229884,HOLD,20.0,73.33333333333333,HOLD,-80.0,HOLD,-98.76543209876546,HOLD,76.35316281428882,HOLD
2018-03-29,11.0,11.0,11.0,470.0,40.16984669229884,HOLD,20.0,46.666666666666664,HOLD,-80.0,HOLD,-92.67563527653216,HOLD,76.35316281428882,HOLD
2018-05-03,12.0,12.0,12.0,2.8,45.10430669333172,HOLD,40.0,26.666666666666668,HOLD,-60.0,HOLD,-32.88490284005982,HOLD,76.3890898567501,HOLD
2018-05-10,13.0,13.0,13.0,1.0,49.582335893493976,HOLD,60.0,40.0,HOLD,-40.0,HOLD,23.80952380952383,HOLD,57.727368404009,HOLD
2018-05-24,14.0,14.0,14.0,1.2,53.653772863740784,HOLD,80.0,60.0,HOLD,-20.0,HOLD,74.07407407407412,HOLD,44.26726438253816,HOLD
2018-06-07,14.0,14.0,14.0,2.3,53.65377286374079,HOLD,80.0,73.33333333333333,HOLD,-20.0,HOLD,66.66666666666663,HOLD,44.26726438253816,HOLD
2018-06-14,14.0,14.0,14.0,341.0,53.65377286374079,HOLD,80.0,80.0,HOLD,-20.0,HOLD,60.60606060606057,HOLD,44.38095238095238,HOLD
2018-06-21,15.0,15.0,15.0,4.0,57.899981524999085,HOLD,100.0,86.66666666666667,SELL,-0.0,SELL,103.58565737051788,SELL,44.735778841042,HOLD
2018-06-28,14.0,15.0,14.0,560.0,52.70021311788229,HOLD,75.0,85.0,HOLD,-25.0,HOLD,61.403508771929864,HOLD,24.150387448579366,HOLD
2018-07-12,19.0,19.0,14.0,306.9,68.11761194171376,HOLD,100.0,91.66666666666667,SELL,-0.0,SELL,182.23760092272195,SELL,38.656036939950916,HOLD
2018-07-26,20.0,20.0,20.0,1.3,70.20907676529798,SELL,100.0,91.66666666666667,SELL,-0.0,SELL,254.15834996673314,SELL,38.61899394284723,HOLD
