Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2014-11-14,56000.0,56000.0,55500.0,454.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-14,57001.0,57001.0,57000.0,8.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-01-13,57999.0,58000.0,57000.0,47.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-12,57001.0,58000.0,57001.0,18.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-03-14,57000.0,57000.0,56990.0,37.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-05-13,53000.0,53000.0,53000.0,3.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-06-12,51000.0,51500.0,51000.0,38.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-07-12,49999.0,51000.0,49999.0,58.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-08-11,47500.0,49001.0,47500.0,59.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-09-10,46850.0,47500.0,46500.0,69.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-10-10,43650.0,45000.0,43650.0,6.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-11-09,40450.0,43000.0,39300.0,19.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-12-09,40000.0,41000.0,40000.0,134.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-01-08,39000.0,40000.0,39000.0,44.0,5.95690471522353,BUY,0.0,,BUY,-100.0,BUY,,HOLD,12.378720010371111,BUY,49746.42857142857,47449.467739077,46281.38095238096,SELL,SELL,SELL
2016-02-07,38500.0,39000.0,37000.0,127.0,5.741029755672159,BUY,7.142857142857143,,BUY,-92.85714285714286,BUY,,HOLD,10.40666108239401,BUY,48496.42857142857,46256.20537386674,44781.857142857145,SELL,SELL,SELL
2016-03-08,38000.0,39000.0,38000.0,57.0,5.525389806206874,BUY,4.761904761904762,3.9682539682539684,BUY,-95.23809523809524,BUY,,HOLD,15.22416341005433,BUY,47139.21428571428,45155.37799068451,43382.33333333333,SELL,SELL,SELL
