Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2015-02-12,25.0,25.0,25.0,"25,00","0,00",31.0,775.0,775.0,25.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-04-01,25.0,25.0,25.0,"25,00","0,00",27.0,675.0,675.0,25.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-05-28,25.0,25.0,25.0,"25,00","0,00",23.0,575.0,575.0,25.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-06-24,25.0,25.0,25.0,"25,00","0,00",19.0,475.0,475.0,25.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-07-28,25.0,25.0,25.0,"25,00","0,00",24.0,600.0,600.0,25.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-08-19,25.0,25.0,25.0,"25,00","0,00",65.0,1.625,1.625,25.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-09-09,25.0,25.0,25.0,"25,00","0,00",145.0,3.625,3.625,25.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-11-23,25.0,25.0,25.0,"25,00","0,00",13.0,325.0,325.0,25.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-12-28,25.0,25.0,25.0,"25,00","0,00",25.0,625.0,625.0,25.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-01-11,25.0,25.0,25.0,"25,00","0,00",40.0,1.0,1.0,25.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-03-03,25.0,25.0,25.0,"25,00","0,00",27.0,675.0,675.0,25.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-03-10,25.0,25.0,25.0,"25,00","0,00",90.0,2.25,2.25,25.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-03-22,25.0,25.0,25.0,"25,00","0,00",25.0,625.0,625.0,25.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-04-11,25.0,25.0,25.0,"25,00","0,00",358.0,8.95,8.95,25.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,25.0,25.0,24.999999999999996,HOLD,HOLD,BUY
2016-04-12,25.0,25.0,25.0,"25,00","0,00",640.0,16.0,16.0,25.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,25.0,25.0,24.999999999999996,HOLD,HOLD,BUY
2016-09-21,25.0,25.0,25.0,"25,00","0,00",55.0,1.375,1.375,25.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,25.0,25.0,24.999999999999996,HOLD,HOLD,BUY
2016-11-17,25.0,25.0,25.0,"25,00","0,00",16.0,400.0,400.0,25.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,25.0,25.0,24.999999999999996,HOLD,HOLD,BUY
2016-11-29,25.0,25.0,25.0,"25,00","0,00",100.0,2.5,2.5,25.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,25.0,25.0,24.999999999999996,HOLD,HOLD,BUY
2017-02-02,25.0,25.0,25.0,"25,00","0,00",1.0,25.0,25.0,25.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,25.0,25.0,24.999999999999996,HOLD,HOLD,BUY
2017-02-24,25.0,25.0,25.0,"25,00","0,00",200.0,5.0,5.0,25.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,25.0,25.0,24.999999999999996,HOLD,HOLD,BUY
2017-03-06,25.0,25.0,25.0,"25,00","0,00",20.0,500.0,500.0,25.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,25.0,25.0,24.999999999999996,HOLD,HOLD,BUY
2017-05-16,25.0,25.0,25.0,"25,00","0,00",19.0,475.0,475.0,25.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,25.0,25.0,24.999999999999996,HOLD,HOLD,BUY
2017-06-28,25.0,25.0,25.0,"25,00","0,00",23.0,575.0,575.0,25.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,25.0,25.0,24.999999999999996,HOLD,HOLD,BUY
2017-07-21,25.0,25.0,25.0,"25,00","0,00",1.763,44.075,44.075,25.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD,25.0,25.0,24.999999999999996,HOLD,HOLD,BUY
2017-07-25,31.0,31.0,31.0,"31,00","24,00",1.0,31.0,31.0,31.0,100.0,SELL,100.0,,SELL,-0.0,SELL,666.6666666666658,SELL,100.0,SELL,25.428571428571427,25.8,25.799999999999997,BUY,BUY,BUY
2017-07-26,31.0,31.0,31.0,"31,00","0,00",1.738,53.878,53.878,31.0,100.0,SELL,100.0,,SELL,-0.0,SELL,333.3333333333329,SELL,100.0,SELL,25.857142857142858,26.493333333333336,26.54285714285714,BUY,BUY,BUY
2017-07-27,31.0,31.0,31.0,"31,00","0,00",1.513,46.903,46.903,31.0,100.0,SELL,100.0,100.0,SELL,-0.0,SELL,222.22222222222243,SELL,100.0,SELL,26.285714285714285,27.094222222222225,27.228571428571428,BUY,BUY,BUY
2017-08-08,25.0,25.0,25.0,"25,00","-19,35",2.0,50.0,50.0,25.0,44.46468326249747,HOLD,0.0,66.66666666666667,BUY,-100.0,BUY,-39.21568627450977,HOLD,38.27160493827161,HOLD,26.285714285714285,26.814992592592596,27.057142857142857,SELL,SELL,SELL
2017-10-04,25.0,25.0,25.0,"25,00","0,00",33.0,825.0,825.0,25.0,44.46468326249747,HOLD,0.0,33.333333333333336,BUY,-100.0,BUY,-39.21568627450977,HOLD,38.27160493827161,HOLD,26.285714285714285,26.572993580246916,26.885714285714283,SELL,SELL,SELL
2018-01-10,25.0,25.0,25.0,"25,00","0,00",1.0,25.0,25.0,25.0,44.46468326249747,HOLD,0.0,0.0,BUY,-100.0,BUY,-39.21568627450977,HOLD,38.27160493827161,HOLD,26.285714285714285,26.36326110288066,26.71428571428571,SELL,SELL,SELL
2018-02-01,20.0,20.0,20.0,"20,00","-20,00",25.0,500.0,500.0,20.0,28.17753487348729,BUY,0.0,0.0,BUY,-100.0,BUY,-234.68328141225345,BUY,5.335628227194491,BUY,25.928571428571427,25.51482628916324,25.876190476190477,SELL,SELL,SELL
2018-02-12,20.0,20.0,20.0,"20,00","0,00",21.0,420.0,420.0,20.0,28.17753487348729,BUY,0.0,0.0,BUY,-100.0,BUY,-214.28571428571433,BUY,5.335628227194491,BUY,25.571428571428573,24.779516117274806,25.085714285714285,SELL,SELL,SELL
2018-02-19,20.0,20.0,20.0,"20,00","0,00",25.0,500.0,500.0,20.0,28.17753487348729,BUY,0.0,0.0,BUY,-100.0,BUY,-195.63152896486235,BUY,5.335628227194491,BUY,25.214285714285715,24.142247301638164,24.342857142857145,SELL,SELL,SELL
2018-03-21,30.0,30.0,30.0,"30,00","50,00",215.0,6.45,6.45,30.0,62.494499262119696,HOLD,90.9090909090909,30.3030303030303,SELL,-9.090909090909092,SELL,143.30218068535834,SELL,92.1774996444318,SELL,25.571428571428573,24.92328099475308,24.98095238095238,BUY,BUY,BUY
2018-06-14,20.0,20.0,20.0,"20,00","-33,33",34.0,680.0,680.0,20.0,41.26256819898747,HOLD,0.0,30.3030303030303,BUY,-100.0,BUY,-153.27380952380952,BUY,84.04876150953184,SELL,25.214285714285715,24.266843528786,24.23809523809524,SELL,SELL,SELL
2018-06-27,28.0,28.0,28.0,"28,00","40,00",805.0,22.54,22.54,28.0,54.56220120949518,HOLD,72.72727272727273,54.54545454545454,HOLD,-27.272727272727273,HOLD,73.469387755102,HOLD,95.93401871012529,SELL,25.428571428571427,24.76459772494787,24.609523809523807,BUY,BUY,BUY
2018-07-10,28.0,28.0,28.0,"28,00","0,00",1.0,28.0,28.0,28.0,54.56220120949518,HOLD,72.72727272727273,48.48484848484849,HOLD,-27.272727272727273,HOLD,64.63878326996199,HOLD,95.93401871012529,SELL,25.642857142857142,25.19598469495482,24.952380952380956,BUY,BUY,BUY
2018-08-16,28.0,28.0,28.0,"28,00","0,00",300.0,8.4,8.4,28.0,54.56220120949518,HOLD,72.72727272727273,72.72727272727273,HOLD,-27.272727272727273,HOLD,57.553956834532336,HOLD,95.93401871012529,SELL,25.857142857142858,25.56985340229418,25.266666666666666,BUY,BUY,BUY
2018-08-22,25.0,25.0,25.0,"25,00","-10,71",100.0,2.5,2.5,25.0,49.330689442795794,HOLD,45.45454545454545,63.63636363636363,HOLD,-54.54545454545455,HOLD,-14.388489208633127,HOLD,88.6002444987775,SELL,25.428571428571427,25.493872948654957,25.15238095238095,SELL,SELL,SELL
2018-09-17,25.0,25.0,25.0,"25,00","0,00",58.0,1.45,1.45,25.0,49.330689442795794,HOLD,45.45454545454545,54.54545454545454,HOLD,-54.54545454545455,HOLD,-14.388489208633127,HOLD,88.6002444987775,SELL,25.0,25.42802322216763,25.095238095238095,HOLD,SELL,SELL
2018-11-06,25.0,25.0,25.0,"25,00","0,00",9.0,225.0,225.0,25.0,49.330689442795794,HOLD,50.0,46.96969696969697,HOLD,-50.0,HOLD,-14.388489208633127,HOLD,88.6002444987775,SELL,24.571428571428573,25.370953459211947,25.09523809523809,BUY,SELL,SELL
2018-11-08,25.0,25.0,25.0,"25,00","0,00",500.0,12.5,12.5,25.0,49.330689442795794,HOLD,50.0,48.48484848484848,HOLD,-50.0,HOLD,-14.388489208633127,HOLD,88.73584328129783,SELL,24.571428571428573,25.32149299798369,25.15238095238095,BUY,SELL,SELL
2018-12-17,25.0,25.0,25.0,"25,00","0,00",600.0,15.0,15.0,25.0,49.330689442795794,HOLD,50.0,50.0,HOLD,-50.0,HOLD,-14.388489208633127,HOLD,88.73584328129783,SELL,24.571428571428573,25.278627264919198,25.20952380952381,BUY,SELL,SELL
