Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2015-11-25,620.0,620.0,620.0,"620,00","0,81",108.0,66.96,66.960,620.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-01-12,500.0,500.0,500.0,"500,00","-19,35",2.0,1.0,1.000,500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-01-14,500.0,500.0,500.0,"500,00","0,00",124.0,62.0,62.000,500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-02-12,500.0,500.0,500.0,"500,00","0,00",29.0,14.5,14.500,500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-10-27,500.0,500.0,500.0,"500,00","0,00",20.0,10.0,10.000,500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-11-29,620.0,620.0,620.0,"620,00","24,00",5.0,3.1,3.100,620.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-05-10,615.0,615.0,615.0,"615,00","-0,81",103.0,63.345,63.345,615.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-05-16,633.0,633.0,633.0,"633,00","2,93",107.0,67.731,67.731,633.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2019-02-26,600.0,600.0,600.0,"600,00","-5,21",3.0,1.8,1.800,600.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2022-07-11,6170.0,6170.0,6170.0,"6.170,00","928,33",1.0,6.17,102.273.920,6170.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
