Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2015-11-25,620.0,620.0,620.0,108.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-01-06,500.0,500.0,500.0,2.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-01-13,500.0,500.0,500.0,124.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-02-10,500.0,500.0,500.0,29.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-10-26,500.0,500.0,500.0,20.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-11-23,620.0,620.0,620.0,5.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-05-09,615.0,615.0,615.0,103.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-05-16,633.0,633.0,633.0,107.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2019-02-20,600.0,600.0,600.0,3.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2022-07-06,6170.0,6170.0,6170.0,1.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
