Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2014-11-11,26.0,28.0,20.0,411.692,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-11,21.0,21.0,21.0,1.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-01-10,21.0,21.0,21.0,511.753,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-09,23.0,23.0,23.0,915.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-03-11,18.0,18.0,18.0,164.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-04-10,18.0,18.0,18.0,210.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-05-10,18.0,18.0,18.0,662.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-06-09,19.0,19.0,19.0,360.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-07-09,15.0,16.0,15.0,292.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-08-08,15.0,15.0,15.0,200.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-09-07,15.0,15.0,15.0,1.66,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-10-07,15.0,15.0,15.0,700.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-11-06,13.0,13.0,12.0,1748.2179999999998,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-12-06,12.0,13.0,12.0,491.2,13.471913617269706,BUY,0.0,,BUY,-100.0,BUY,,HOLD,41.90865947175982,HOLD,17.785714285714285,17.25572327996413,15.866666666666664,SELL,SELL,SELL
2016-01-05,12.0,13.0,12.0,313.1,13.471913617269706,BUY,0.0,,BUY,-100.0,BUY,,HOLD,41.90865947175982,HOLD,16.785714285714285,16.554960175968912,15.095238095238095,SELL,SELL,SELL
2016-02-04,11.0,12.0,10.0,820.4649999999999,12.269460328849618,BUY,7.6923076923076925,2.5641025641025643,BUY,-92.3076923076923,BUY,,HOLD,36.913398475505545,HOLD,16.071428571428573,15.814298819173057,14.323809523809524,SELL,SELL,SELL
2016-03-05,9.0,9.0,9.0,509.48,10.291061762542299,BUY,0.0,2.5641025641025643,BUY,-100.0,BUY,,HOLD,34.80100499960919,HOLD,15.214285714285714,14.905725643283317,13.38095238095238,SELL,SELL,SELL
2016-04-04,8.0,9.0,8.0,141.057,9.468925655294242,BUY,0.0,2.5641025641025643,BUY,-100.0,BUY,,HOLD,11.351289472740007,BUY,14.142857142857142,13.984962224178876,12.419047619047618,SELL,SELL,SELL
2016-05-04,7.0,7.0,7.0,131.531,8.71881444482139,BUY,0.0,0.0,BUY,-100.0,BUY,,HOLD,11.747291374874763,BUY,13.357142857142858,13.053633927621693,11.466666666666665,SELL,SELL,SELL
2016-06-03,7.0,8.0,7.0,2.6,8.71881444482139,BUY,0.0,0.0,BUY,-100.0,BUY,-125.1167133520075,BUY,11.77618102395924,BUY,12.571428571428571,12.246482737272133,10.619047619047619,SELL,SELL,SELL
2016-08-02,7.0,7.0,6.0,139.306,8.71881444482139,BUY,7.6923076923076925,2.5641025641025643,BUY,-92.3076923076923,BUY,-121.57648630594524,BUY,11.591359566737367,BUY,11.785714285714286,11.54695170563585,9.876190476190477,SELL,SELL,SELL
2016-09-01,11.0,11.0,11.0,3.1390000000000002,34.60139077466995,HOLD,50.0,19.23076923076923,HOLD,-50.0,HOLD,-46.02510460251047,HOLD,0.10234334804073342,BUY,11.214285714285714,11.47402481155107,9.771428571428572,SELL,SELL,BUY
2016-10-01,6.0,8.0,6.0,109.584,25.042641596750272,BUY,0.0,19.23076923076923,BUY,-100.0,BUY,-108.73896954170226,BUY,0.1102298923323275,BUY,10.571428571428571,10.744154836677595,9.076190476190478,SELL,SELL,SELL
2016-10-31,11.0,11.0,10.0,1055.0,42.22955555125352,HOLD,55.55555555555556,35.18518518518518,HOLD,-44.44444444444444,HOLD,-34.063260340632645,HOLD,19.880297015061416,BUY,10.285714285714286,10.778267525120583,9.133333333333333,BUY,BUY,BUY
2016-11-30,15.0,15.0,15.0,245.0,51.75912861169567,HOLD,100.0,51.85185185185185,SELL,-0.0,SELL,55.66870332654445,HOLD,24.74304948558479,HOLD,10.285714285714286,11.34116518843784,9.761904761904763,BUY,BUY,BUY
2017-01-29,15.0,15.0,15.0,285.0,51.75912861169567,HOLD,100.0,85.18518518518518,SELL,-0.0,SELL,61.24977872189767,HOLD,24.74304948558479,HOLD,10.285714285714286,11.829009829979462,10.390476190476189,BUY,BUY,BUY
2017-02-28,20.0,20.0,13.0,938.758,61.068982578130864,HOLD,100.0,100.0,SELL,-0.0,SELL,118.81892564923515,SELL,57.40364236989925,HOLD,10.785714285714286,12.918475185982201,11.685714285714285,BUY,BUY,BUY
2017-03-30,13.0,16.0,13.0,319.745,47.304917110833564,HOLD,50.0,83.33333333333333,HOLD,-50.0,HOLD,49.45370902817712,HOLD,59.103647444238646,HOLD,10.857142857142858,12.929345161184575,11.980952380952381,BUY,BUY,BUY
2017-04-29,16.0,16.0,13.0,1194.0,52.2699883426786,HOLD,71.42857142857143,73.80952380952381,HOLD,-28.571428571428573,HOLD,73.21772639691713,HOLD,69.37375649039498,HOLD,11.142857142857142,13.338765806359966,12.666666666666666,BUY,BUY,BUY
2017-05-29,16.0,16.0,16.0,1.46,52.2699883426786,HOLD,71.42857142857143,64.28571428571429,HOLD,-28.571428571428573,HOLD,93.7203566685638,HOLD,79.43231712397622,HOLD,11.5,13.693597032178637,13.314285714285713,BUY,BUY,BUY
2017-06-28,35.0,61.0,18.0,4173.932,71.79212835729501,SELL,52.72727272727273,65.1948051948052,HOLD,-47.27272727272727,HOLD,402.0397208803006,SELL,96.19495308150837,SELL,13.357142857142858,16.534450761221485,16.44761904761905,BUY,BUY,BUY
2017-07-28,29.0,45.0,29.0,854.0609999999999,63.02546598598685,HOLD,41.81818181818182,55.324675324675326,HOLD,-58.18181818181818,HOLD,255.7651991614256,SELL,85.12029844259422,SELL,14.857142857142858,18.196523993058623,18.533333333333335,BUY,BUY,BUY
2017-08-27,27.0,30.0,25.0,176.0,60.37876367220202,HOLD,38.18181818181818,44.24242424242424,HOLD,-61.81818181818182,HOLD,138.91951488423376,SELL,83.78719753182341,SELL,16.285714285714285,19.370320793984142,20.152380952380955,BUY,BUY,BUY
2017-10-26,25.0,25.0,25.0,1.5,57.76631147368783,HOLD,34.54545454545455,38.18181818181819,HOLD,-65.45454545454545,HOLD,97.11021505376344,HOLD,83.77330386892159,SELL,17.571428571428573,20.12094468811959,21.31428571428571,BUY,BUY,BUY
2017-11-25,23.0,23.0,23.0,535.0,55.194468914283256,HOLD,30.90909090909091,34.54545454545455,HOLD,-69.0909090909091,HOLD,67.58686339838172,HOLD,80.1046060110452,SELL,18.714285714285715,20.504818729703643,22.038095238095238,BUY,BUY,BUY
2018-01-24,20.0,23.0,10.0,439.231,51.49125212731316,HOLD,25.454545454545453,30.303030303030308,HOLD,-74.54545454545455,HOLD,13.775428479897487,HOLD,77.778318203101,HOLD,19.357142857142858,20.43750956574316,22.209523809523812,BUY,SELL,SELL
2018-02-23,12.0,12.0,12.0,1.65,43.1727247177114,HOLD,3.9215686274509802,20.095068330362448,BUY,-96.07843137254902,BUY,-42.77466048629747,HOLD,77.9855305644493,HOLD,19.785714285714285,19.31250829031074,21.228571428571428,SELL,SELL,SELL
2018-03-25,14.0,14.0,12.0,881.474,45.541392868408245,HOLD,7.8431372549019605,12.406417112299465,BUY,-92.15686274509804,BUY,-33.049574361542305,HOLD,78.02668328372012,HOLD,20.0,18.604173851602642,20.457142857142856,SELL,SELL,SELL
2018-04-24,14.0,15.0,14.0,887.1,45.54139286840824,HOLD,7.8431372549019605,6.5359477124183,BUY,-92.15686274509804,BUY,-27.77777777777778,HOLD,78.74554400412791,HOLD,19.928571428571427,17.99028400472229,19.657142857142855,SELL,SELL,SELL
2018-05-24,37.0,37.0,20.0,1217.85,64.99916173200694,HOLD,52.94117647058823,22.875816993464053,HOLD,-47.05882352941177,HOLD,125.43775867558108,SELL,81.32452404906398,SELL,21.5,20.524912804092654,21.933333333333334,BUY,BUY,BUY
2018-09-21,20.0,20.0,20.0,654.9449999999999,50.60656545365839,HOLD,19.607843137254903,26.797385620915033,BUY,-80.3921568627451,BUY,11.288180610889771,HOLD,76.9033499171188,HOLD,21.5,20.454924430213634,21.733333333333338,SELL,SELL,SELL
2018-10-21,21.0,21.0,16.0,616.65,51.289826754973454,HOLD,21.568627450980394,31.372549019607845,HOLD,-78.43137254901961,HOLD,0.520291363163379,HOLD,75.10530316142732,HOLD,22.071428571428573,20.527601172851817,21.666666666666668,SELL,BUY,SELL
2018-11-20,15.0,21.0,15.0,5.958,47.081550082468794,HOLD,9.803921568627452,16.99346405228758,BUY,-90.19607843137256,BUY,-30.905077262693165,HOLD,73.59693910757076,HOLD,22.0,19.79058768313824,20.723809523809525,SELL,SELL,SELL
2018-12-20,19.0,19.0,15.0,567.5,50.02540088610363,HOLD,17.647058823529413,16.339869281045754,BUY,-82.3529411764706,BUY,-28.494932109389918,HOLD,74.44710568215451,HOLD,22.214285714285715,19.685175992053143,20.323809523809523,SELL,SELL,SELL
2019-01-19,28.0,28.0,19.0,1993.8029999999999,55.96158741358655,HOLD,51.42857142857143,26.293183940242766,HOLD,-48.57142857142857,HOLD,48.780487804878064,HOLD,60.68001257056381,HOLD,21.714285714285715,20.793819193112725,21.095238095238095,BUY,BUY,BUY
2019-02-18,21.0,21.0,21.0,786.0,50.89756690525668,HOLD,40.74074074074074,36.60545699761386,HOLD,-59.25925925925926,HOLD,0.5807200929152232,HOLD,64.79365342567685,HOLD,21.142857142857142,20.82130996736436,21.0,SELL,BUY,HOLD
2019-03-20,17.0,18.0,17.0,2253.0,48.212754126266006,HOLD,25.925925925925927,39.36507936507937,HOLD,-74.07407407407408,HOLD,-41.71494785631517,HOLD,54.85806531202867,HOLD,20.428571428571427,20.31180197171578,20.447619047619046,SELL,SELL,SELL
2019-04-19,19.0,19.0,19.0,248.0,49.64306666667062,HOLD,33.333333333333336,33.333333333333336,HOLD,-66.66666666666667,HOLD,-26.124239704855874,HOLD,55.800124927772394,HOLD,20.0,20.13689504215368,20.25714285714286,SELL,SELL,SELL
2019-05-19,23.0,23.0,19.0,2523.093,52.470461178064134,HOLD,48.148148148148145,35.80246913580247,HOLD,-51.851851851851855,HOLD,1.8679950186799767,HOLD,67.27800778285783,HOLD,20.0,20.518642369866523,20.657142857142855,BUY,BUY,BUY
2019-06-18,21.0,21.0,20.0,1399.0,50.9306721119644,HOLD,36.0,39.160493827160494,HOLD,-64.0,HOLD,-13.955984970477704,HOLD,62.3957582387645,HOLD,20.071428571428573,20.582823387217655,20.79047619047619,BUY,BUY,BUY
2019-07-18,18.0,21.0,18.0,185.35,48.62558606828128,HOLD,24.0,36.04938271604938,HOLD,-76.0,HOLD,-28.39116719242904,HOLD,61.655057478010185,HOLD,20.5,20.238446935588634,20.514285714285712,SELL,SELL,SELL
2019-08-17,21.0,21.0,18.0,1287.453,51.0132387060872,HOLD,30.434782608695652,30.14492753623188,HOLD,-69.56521739130434,HOLD,-1.6181229773463237,HOLD,63.39195017026768,HOLD,21.0,20.339987344176816,20.580952380952382,HOLD,BUY,BUY
2019-09-16,20.0,20.0,20.0,1.575,50.176124319978996,HOLD,22.727272727272727,25.720685111989457,HOLD,-77.27272727272727,HOLD,6.193078324225824,HOLD,61.82084680372235,HOLD,21.428571428571427,20.294655698286576,20.44761904761905,SELL,SELL,SELL
2019-10-16,20.0,20.0,20.0,3.55,50.176124319978996,HOLD,38.46153846153846,30.541197932502275,HOLD,-61.53846153846154,HOLD,12.698412698412655,HOLD,56.17646786181533,HOLD,20.214285714285715,20.255368271848365,20.25714285714286,SELL,SELL,SELL
2019-11-15,18.0,18.0,18.0,1.0,48.336306859152074,HOLD,23.076923076923077,28.088578088578085,HOLD,-76.92307692307692,HOLD,-30.227743271221584,HOLD,59.17541208529114,HOLD,20.071428571428573,19.954652502268583,19.961904761904762,SELL,SELL,SELL
2019-12-15,15.0,15.0,15.0,301.0,45.63336877988401,HOLD,0.0,20.51282051282051,BUY,-100.0,BUY,-96.64694280078902,HOLD,61.01993719368811,HOLD,19.642857142857142,19.29403216863277,19.285714285714285,SELL,SELL,SELL
2020-02-13,13.0,13.0,13.0,967.0,43.87202653411477,HOLD,0.0,7.692307692307687,BUY,-100.0,BUY,-147.79116465863456,BUY,57.97749231326352,HOLD,19.5,18.454827879481737,18.400000000000002,SELL,SELL,SELL
2020-05-13,13.0,13.0,13.0,3.701,43.87202653411477,HOLD,0.0,0.0,BUY,-100.0,BUY,-146.50698602794415,BUY,56.222539198376474,HOLD,19.071428571428573,17.72751749555084,17.533333333333335,SELL,SELL,SELL
2020-06-12,12.0,12.0,12.0,480.0,42.91157588164437,HOLD,0.0,0.0,BUY,-100.0,BUY,-160.91954022988506,BUY,43.43615033629166,HOLD,17.928571428571427,16.96384849614406,16.590476190476192,SELL,SELL,SELL
2020-07-12,15.0,15.0,15.0,300.0,46.682623933506115,HOLD,27.272727272727273,9.090909090909086,HOLD,-72.72727272727273,HOLD,-82.73770846870262,HOLD,48.71663144136447,HOLD,17.5,16.70200202999152,16.200000000000003,SELL,SELL,SELL
2021-02-07,9.0,9.0,9.0,300.0,40.86811200822398,HOLD,0.0,9.090909090909086,BUY,-100.0,BUY,-193.57249626307922,BUY,60.712772281514475,HOLD,16.928571428571427,15.67506842599265,15.06666666666667,SELL,SELL,SELL
2021-03-09,8.0,8.0,8.0,989.0,39.97444870902026,HOLD,0.0,9.090909090909086,BUY,-100.0,BUY,-175.03217503217513,BUY,56.30054134535584,HOLD,16.142857142857142,14.651725969193631,13.876190476190475,SELL,SELL,SELL
2021-04-08,9.0,9.0,5.0,427.504,41.3554736259305,HOLD,25.0,8.333333333333329,HOLD,-75.0,HOLD,-148.39424141749723,BUY,30.42035478697946,HOLD,15.142857142857142,13.898162506634481,12.923809523809522,SELL,SELL,SELL
2021-05-08,11.0,11.0,11.0,1141.0,44.12434428160357,HOLD,37.5,20.83333333333333,HOLD,-62.5,HOLD,-82.1632865314613,HOLD,51.519634076935276,HOLD,14.428571428571429,13.511740839083217,12.371428571428572,SELL,SELL,SELL
2021-09-05,10.0,10.0,10.0,743.0,43.03037530259345,HOLD,31.25,31.249999999999996,HOLD,-68.75,HOLD,-88.62115127175372,HOLD,49.204751921561666,HOLD,13.857142857142858,13.043508727205454,11.780952380952382,SELL,SELL,SELL
2023-02-27,4.0,4.0,4.0,496.0,37.08875456833041,HOLD,0.0,22.91666666666666,BUY,-100.0,BUY,-160.40100250626568,BUY,26.971522147366997,HOLD,12.642857142857142,11.83770756357806,10.466666666666667,SELL,SELL,SELL
2023-07-27,4.0,4.0,4.0,2.0,37.08875456833041,HOLD,0.0,10.416666666666663,BUY,-100.0,BUY,-137.93103448275863,BUY,26.971522147366997,HOLD,11.5,10.79267988843432,9.314285714285715,SELL,SELL,SELL
