Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2014-11-18,412.0,412.0,412.0,"412,00","3,00",120.0,49.440,49.440,412.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-20,412.0,412.0,412.0,"412,00","0,00",50.0,20.600,20.600,412.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-23,390.0,390.0,390.0,"390,00","-5,34",7.0,2.730,2.730,390.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-26,410.0,410.0,410.0,"410,00","5,13",8.0,3.280,3.280,410.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-01-20,410.0,410.0,410.0,"410,00","0,00",20.0,8.200,8.200,410.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-12,410.0,410.0,410.0,"410,00","0,00",21.0,8.610,8.610,410.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-05-08,398.0,398.0,398.0,"398,00","-2,93",60.0,23.880,23.880,398.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-05-13,350.0,350.0,350.0,"350,00","-12,06",79.0,27.650,27.650,350.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-06-04,350.0,350.0,350.0,"350,00","0,00",600.0,210.000,210.000,350.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-06-05,400.0,400.0,400.0,"400,00","14,29",12.0,4.800,4.800,400.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-07-24,351.0,351.0,351.0,"351,00","-12,25",200.0,70.200,70.200,351.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
