Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2014-11-14,101.0,101.0,101.0,"101,00","1,00",559.0,56.459,56.459,101.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-20,104.0,104.0,104.0,"104,00","2,97",159.0,16.536,16.536,104.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-26,100.0,100.0,100.0,"100,00","-3,85",1.341,134.100,134.100,100.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-02,100.0,100.0,100.0,"100,00","0,00",200.0,20.000,20.000,100.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-04,91.0,91.0,91.0,"91,00","-9,00",109.0,9.919,9.919,91.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-10,81.0,81.0,81.0,"81,00","-10,99",900.0,72.900,72.900,81.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-11,83.0,83.0,83.0,"83,00","2,47",836.0,69.388,69.388,83.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-16,83.0,83.0,83.0,"83,00","0,00",345.0,28.635,28.635,83.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-18,85.0,85.0,85.0,"85,00","2,41",527.0,44.795,44.795,85.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-24,83.0,83.0,83.0,"83,00","-2,35",255.0,21.165,21.165,83.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-01-16,83.0,83.0,83.0,"83,00","0,00",575.0,47.725,47.725,83.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-01-20,85.0,85.0,85.0,"85,00","2,41",300.0,25.500,25.500,85.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-01-22,85.0,85.0,85.0,"85,00","0,00",100.0,8.500,8.500,85.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-01-27,85.0,85.0,85.0,"85,00","0,00",114.0,9.690,9.690,85.0,29.201488100058157,BUY,17.391304347826086,,BUY,-82.6086956521739,BUY,,HOLD,60.00643012463456,HOLD,89.21428571428571,88.35336477927204,85.88571428571427,SELL,SELL,SELL
2015-01-28,85.0,85.0,85.0,"85,00","0,00",295.0,25.075,25.075,85.0,29.201488100058157,BUY,17.391304347826086,,BUY,-82.6086956521739,BUY,,HOLD,60.00643012463456,HOLD,88.07142857142857,87.90624947536911,85.32380952380952,SELL,SELL,SELL
2015-02-02,87.0,87.0,87.0,"87,00","2,35",454.0,39.498,39.498,87.0,36.92870838383742,HOLD,31.57894736842105,22.120518688024408,HOLD,-68.42105263157895,HOLD,,HOLD,63.247994787134864,HOLD,86.85714285714286,87.78541621198656,85.18095238095238,BUY,SELL,BUY
2015-02-03,87.0,87.0,87.0,"87,00","0,00",246.0,21.402,21.402,87.0,36.92870838383742,HOLD,31.57894736842105,26.84973302822273,HOLD,-68.42105263157895,HOLD,,HOLD,63.27794748644783,HOLD,85.92857142857143,87.68069405038835,85.19999999999999,BUY,SELL,BUY
2015-02-05,84.0,84.0,84.0,"84,00","-3,45",1.45,121.800,121.800,84.0,31.035879314997473,HOLD,30.0,31.05263157894737,HOLD,-70.0,HOLD,,HOLD,63.250740945218766,HOLD,84.78571428571429,87.1899348436699,84.94285714285715,SELL,SELL,SELL
2015-02-12,85.0,85.0,85.0,"85,00","1,19",179.0,15.215,15.215,85.0,34.77229553955456,HOLD,66.66666666666667,42.748538011695906,HOLD,-33.333333333333336,HOLD,,HOLD,67.36229602041425,HOLD,84.35714285714286,86.89794353118059,84.97142857142858,BUY,SELL,BUY
