Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2014-11-11,1400.0,1400.0,1400.0,"1.400,00","0,00",70.0,98.000,98.000,1400.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-12,1440.0,1440.0,1439.0,"1.439,94","2,85",396.0,570.215,570.215,1440.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-14,1540.0,1540.0,1501.0,"1.517,71","5,40",70.0,106.240,106.240,1540.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-17,1669.0,1669.0,1563.0,"1.648,18","8,60",280.0,461.490,461.490,1669.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-18,1599.0,1697.0,1599.0,"1.658,74","0,64",707.0,1.172.731,1.172.731,1599.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-19,1610.0,1610.0,1610.0,"1.610,00","-2,94",30.0,48.300,48.300,1610.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-20,1600.0,1600.0,1600.0,"1.600,00","-0,62",256.0,409.600,409.600,1600.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-21,1600.0,1600.0,1600.0,"1.600,00","0,00",84.0,134.400,134.400,1600.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-25,1645.0,1645.0,1645.0,"1.645,00","2,81",23.0,37.835,37.835,1645.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-26,1600.0,1600.0,1600.0,"1.600,00","-2,74",74.0,118.400,118.400,1600.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-27,1575.0,1575.0,1575.0,"1.575,00","-1,56",66.0,103.950,103.950,1575.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-28,1622.0,1622.0,1622.0,"1.622,00","2,98",28.0,45.416,45.416,1622.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-01,1622.0,1622.0,1622.0,"1.622,00","0,00",10.0,16.220,16.220,1622.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-02,1575.0,1575.0,1575.0,"1.575,00","-2,90",19.0,29.925,29.925,1575.0,58.400561866753605,HOLD,58.92255892255892,,HOLD,-41.07744107744108,HOLD,,HOLD,39.516461843530465,HOLD
2014-12-04,1575.0,1575.0,1575.0,"1.575,00","0,00",15.0,23.625,23.625,1575.0,58.400561866753605,HOLD,52.713178294573645,,HOLD,-47.286821705426355,HOLD,,HOLD,39.516461843530465,HOLD
2014-12-05,1575.0,1575.0,1575.0,"1.575,00","0,00",280.0,441.000,441.000,1575.0,58.400561866753605,HOLD,37.755102040816325,49.7969464193163,HOLD,-62.244897959183675,HOLD,,HOLD,25.785834948346775,HOLD
2014-12-09,1575.0,1575.0,1575.0,"1.575,00","0,00",35.0,55.125,55.125,1575.0,58.400561866753605,HOLD,8.955223880597014,33.14116807199566,BUY,-91.04477611940298,BUY,,HOLD,22.486626482690426,HOLD
2014-12-12,1530.0,1531.0,1530.0,"1.530,09","-2,85",164.0,250.934,250.934,1530.0,49.623334498229134,HOLD,0.0,15.570108640471114,BUY,-100.0,BUY,,HOLD,3.7875985730592703,BUY
2014-12-22,1500.0,1500.0,1500.0,"1.500,00","-1,97",25.0,37.500,37.500,1500.0,44.79032186047447,HOLD,0.0,2.9850746268656714,BUY,-100.0,BUY,,HOLD,7.694883880282305,BUY
2014-12-23,1400.0,1400.0,1400.0,"1.400,00","-6,67",19.0,26.600,26.600,1400.0,33.18737470337325,HOLD,0.0,0.0,BUY,-100.0,BUY,-187.9731273353854,BUY,7.852381404526554,BUY
2014-12-29,1410.0,1410.0,1400.0,"1.407,27","0,52",139.0,195.610,195.610,1410.0,35.00070720554483,HOLD,4.081632653061225,1.3605442176870748,BUY,-95.91836734693878,BUY,-182.09677734184393,BUY,32.947483869646106,HOLD
2014-12-30,1400.0,1400.0,1400.0,"1.400,00","-0,52",50.0,70.000,70.000,1400.0,34.00674769942505,HOLD,0.0,1.3605442176870748,BUY,-100.0,BUY,-178.85724920900765,BUY,30.430013004014725,HOLD
2015-01-02,1400.0,1400.0,1400.0,"1.400,00","0,00",22.0,30.800,30.800,1400.0,34.00674769942505,HOLD,0.0,1.3605442176870748,BUY,-100.0,BUY,-149.50349095268166,BUY,27.43308321413106,HOLD
2015-01-13,1400.0,1400.0,1400.0,"1.400,00","0,00",21.0,29.400,29.400,1400.0,34.00674769942505,HOLD,0.0,0.0,BUY,-100.0,BUY,-125.01832468408259,BUY,31.7074743483397,HOLD
2015-01-16,1400.0,1440.0,1400.0,"1.428,99","2,07",69.0,98.600,98.600,1400.0,34.00674769942505,HOLD,0.0,0.0,BUY,-100.0,BUY,-98.3098434937315,HOLD,44.920980345401034,HOLD
2015-01-20,1400.0,1400.0,1400.0,"1.400,00","-2,03",10.0,14.000,14.000,1400.0,34.00674769942505,HOLD,0.0,0.0,BUY,-100.0,BUY,-95.15739135004472,HOLD,40.585576456543194,HOLD
2015-01-21,1400.0,1400.0,1400.0,"1.400,00","0,00",50.0,70.000,70.000,1400.0,34.00674769942505,HOLD,0.0,0.0,BUY,-100.0,BUY,-84.215997616648,HOLD,40.585576456543194,HOLD
2015-01-26,1380.0,1380.0,1380.0,"1.380,00","-1,43",20.0,27.600,27.600,1380.0,31.238996530712058,HOLD,0.0,0.0,BUY,-100.0,BUY,-88.93098346549795,HOLD,40.71668479096539,HOLD
2015-01-27,1380.0,1380.0,1380.0,"1.380,00","0,00",23.0,31.740,31.740,1380.0,31.238996530712058,HOLD,0.0,0.0,BUY,-100.0,BUY,-80.2310977141422,HOLD,40.71668479096539,HOLD
2015-01-30,1380.0,1380.0,1380.0,"1.380,00","0,00",121.0,166.980,166.980,1380.0,31.238996530712058,HOLD,0.0,0.0,BUY,-100.0,BUY,-73.14332413934011,HOLD,40.71668479096539,HOLD
2015-02-03,1390.0,1390.0,1390.0,"1.390,00","0,72",40.0,55.600,55.600,1390.0,34.564806195071895,HOLD,6.622516556291391,2.207505518763797,BUY,-93.37748344370861,BUY,-60.15997053174417,HOLD,44.968021861043425,HOLD
2015-02-05,1380.0,1380.0,1380.0,"1.380,00","-0,72",24.0,33.120,33.120,1380.0,32.853523261628,HOLD,0.0,2.207505518763797,BUY,-100.0,BUY,-63.8785345428166,HOLD,62.54125807223153,HOLD
2015-02-06,1400.0,1400.0,1380.0,"1.398,56","1,34",376.0,525.860,525.860,1400.0,39.323771594970445,HOLD,33.333333333333336,13.31861662987491,HOLD,-66.66666666666667,HOLD,-48.796163543778306,HOLD,83.5878374494664,SELL
2015-02-11,1400.0,1430.0,1400.0,"1.403,21","0,33",448.0,628.640,628.640,1400.0,39.32377159497045,HOLD,33.333333333333336,22.222222222222225,HOLD,-66.66666666666667,HOLD,-27.93179003524822,HOLD,91.22345264230354,SELL
2015-02-17,1381.0,1381.0,1381.0,"1.381,00","-1,58",75.0,103.575,103.575,1381.0,35.54957039191619,HOLD,1.6666666666666667,22.777777777777782,BUY,-98.33333333333333,BUY,-60.56409546230902,HOLD,84.05286701998409,SELL
2015-02-18,1422.0,1422.0,1422.0,"1.422,00","2,97",25.0,35.550,35.550,1422.0,47.30313507292469,HOLD,70.0,35.0,HOLD,-30.0,HOLD,9.130300216650888,HOLD,88.28962160777562,SELL
2015-03-02,1410.0,1429.0,1410.0,"1.422,98","0,07",48.0,68.303,68.303,1410.0,44.731892051895436,HOLD,50.0,40.55555555555555,HOLD,-50.0,HOLD,20.197759970007557,HOLD,84.51584144160609,SELL
2015-03-05,1398.0,1398.0,1301.0,"1.349,50","-5,16",40.0,53.980,53.980,1398.0,42.258182540180975,HOLD,69.7841726618705,63.26139088729017,HOLD,-30.215827338129497,HOLD,-144.31934493346958,BUY,81.70951891490274,SELL
2015-03-11,1310.0,1310.0,1310.0,"1.310,00","-2,93",150.0,196.500,196.500,1310.0,29.412658611812887,BUY,6.976744186046512,42.253638949305675,BUY,-93.02325581395348,BUY,-329.6221322537121,BUY,71.48114235434038,HOLD
2015-03-12,1301.0,1301.0,1301.0,"1.301,00","-0,69",14.0,18.214,18.214,1301.0,28.459823546104275,BUY,0.0,25.586972282639007,BUY,-100.0,BUY,-266.1683795287037,BUY,71.3088526297948,HOLD
2015-03-16,1265.0,1265.0,1265.0,"1.265,00","-2,77",43.0,54.395,54.395,1265.0,24.974627988223503,BUY,0.0,2.3255813953488373,BUY,-100.0,BUY,-276.4217818591923,BUY,69.15721160442246,HOLD
2015-03-18,1265.0,1265.0,1265.0,"1.265,00","0,00",24.0,30.360,30.360,1265.0,24.974627988223503,BUY,0.0,0.0,BUY,-100.0,BUY,-201.27785569580794,BUY,70.2324739447487,HOLD
2015-03-19,1300.0,1300.0,1300.0,"1.300,00","2,77",126.0,163.800,163.800,1300.0,34.07722543230955,HOLD,21.21212121212121,7.07070707070707,HOLD,-78.78787878787878,HOLD,-112.96698402093432,BUY,72.7472117898217,HOLD
2015-03-20,1300.0,1300.0,1261.0,"1.286,81","-1,01",68.0,87.503,87.503,1300.0,34.07722543230955,HOLD,23.076923076923077,14.76301476301476,HOLD,-76.92307692307692,HOLD,-112.61295086480922,BUY,69.60549478711746,HOLD
2015-03-25,1269.0,1269.0,1269.0,"1.269,00","-1,38",1.0,1.269,1.269,1269.0,30.300851211013438,HOLD,4.733727810650888,16.340924033231726,BUY,-95.26627218934911,BUY,-117.56105361752707,BUY,68.70379450639403,HOLD
2015-03-26,1200.0,1200.0,1200.0,"1.200,00","-5,44",13.0,15.600,15.600,1200.0,23.941252133050597,BUY,0.0,9.270216962524655,BUY,-100.0,BUY,-171.99318838857894,BUY,69.31961801620756,HOLD
2015-03-27,1201.0,1201.0,1200.0,"1.200,79","0,07",126.0,151.300,151.300,1201.0,24.189587948392642,BUY,0.43478260869565216,1.7228368064488466,BUY,-99.56521739130434,BUY,-145.27600274378125,BUY,62.09342178150313,HOLD
2015-04-03,1200.0,1200.0,1200.0,"1.200,00","-0,07",11.0,13.200,13.200,1200.0,24.104830290232556,BUY,0.0,0.14492753623188406,BUY,-100.0,BUY,-127.00656234225136,BUY,36.39118075128497,HOLD
2015-04-07,1199.0,1199.0,1199.0,"1.199,00","-0,08",552.0,661.848,661.848,1199.0,24.014214569651003,BUY,0.0,0.14492753623188406,BUY,-100.0,BUY,-114.16797963883167,BUY,23.04094310196787,HOLD
2015-04-08,1170.0,1200.0,1166.0,"1.198,18","-0,07",1.113,1.333.578,1.333.578,1170.0,21.49108011280559,BUY,1.520912547528517,0.5069708491761723,BUY,-98.47908745247149,BUY,-120.5117946545543,BUY,21.1814267029866,HOLD
2015-04-09,1180.0,1180.0,1180.0,"1.180,00","-1,52",80.0,94.400,94.400,1180.0,24.439265988970917,BUY,6.0344827586206895,2.5184651020497353,BUY,-93.96551724137932,BUY,-107.95199380565242,BUY,27.047133130883623,HOLD
2015-04-14,1165.0,1165.0,1165.0,"1.165,00","-1,27",325.0,378.625,378.625,1165.0,23.041536167623548,BUY,0.0,2.5184651020497353,BUY,-100.0,BUY,-109.68427443837287,BUY,22.279231523272955,HOLD
2015-04-15,1165.0,1165.0,1165.0,"1.165,00","0,00",25.0,29.125,29.125,1165.0,23.041536167623548,BUY,0.0,2.0114942528735633,BUY,-100.0,BUY,-99.99006366895202,HOLD,24.946284864334444,HOLD
