Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2014-11-20,70.0,70.0,70.0,683.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-27,70.0,70.0,70.0,304.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-04,70.0,70.0,70.0,350.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-18,70.0,70.0,70.0,620.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-01-08,70.0,70.0,70.0,250.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-12,70.0,70.0,70.0,670.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-11-05,70.0,70.0,70.0,270.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-04-07,70.0,70.0,70.0,182.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-10-11,70.0,70.0,70.0,300.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-11-01,70.0,70.0,70.0,250.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2019-01-17,70.0,70.0,70.0,750.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2019-03-07,70.0,70.0,70.0,313.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2020-09-24,70.0,70.0,70.0,234.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2020-11-05,70.0,70.0,70.0,320.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD
2021-02-04,70.0,70.0,70.0,4.082,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD
2023-06-15,70.0,70.0,70.0,234.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD
