Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2014-11-10,308.0,308.0,308.0,"308,00","2,67",700.0,215.6,215.6,308.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-24,308.0,308.0,308.0,"308,00","0,00",818.0,251.944,251.944,308.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-02,308.0,308.0,308.0,"308,00","0,00",493.0,151.844,151.844,308.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-12,308.0,308.0,308.0,"308,00","0,00",719.0,221.452,221.452,308.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-17,308.0,308.0,308.0,"308,00","0,00",706.0,217.448,217.448,308.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-01-22,308.0,308.0,308.0,"308,00","0,00",400.0,123.2,123.2,308.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-24,308.0,308.0,308.0,"308,00","0,00",360.0,110.88,110.88,308.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-03-04,308.0,308.0,308.0,"308,00","0,00",40.0,12.32,12.32,308.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-03-06,308.0,308.0,308.0,"308,00","0,00",65.0,20.02,20.02,308.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-03-17,308.0,308.0,308.0,"308,00","0,00",4.0,1.232,1.232,308.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-03-30,308.0,308.0,308.0,"308,00","0,00",150.0,46.2,46.2,308.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-03-31,308.0,308.0,308.0,"308,00","0,00",181.0,55.748,55.748,308.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-04-15,300.0,300.0,300.0,"300,00","-2,60",52.0,15.6,15.6,300.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-05-21,308.0,308.0,308.0,"308,00","2,67",669.0,206.052,206.052,308.0,51.85185185185185,HOLD,100.0,,SELL,-0.0,SELL,,HOLD,92.96194033890964,SELL,307.42857142857144,307.0755555555556,307.00952380952384,BUY,BUY,BUY
2015-06-02,300.0,300.0,300.0,"300,00","-2,60",20.0,6.0,6.0,300.0,33.272394881170015,HOLD,0.0,,BUY,-100.0,BUY,,HOLD,90.51183385166834,SELL,306.85714285714283,306.1321481481482,306.0190476190476,SELL,SELL,SELL
2015-06-12,308.0,308.0,308.0,"308,00","2,67",800.0,246.4,246.4,308.0,51.85185185185185,HOLD,100.0,66.66666666666667,SELL,-0.0,SELL,,HOLD,95.44353783973067,SELL,306.85714285714283,306.3811950617284,306.1714285714286,BUY,BUY,BUY
2015-11-27,308.0,308.0,308.0,"308,00","0,00",130.0,40.04,40.04,308.0,51.85185185185185,HOLD,100.0,66.66666666666667,SELL,-0.0,SELL,,HOLD,95.44353783973067,SELL,306.85714285714283,306.5970357201646,306.3238095238095,BUY,BUY,BUY
2015-12-01,308.0,308.0,308.0,"308,00","0,00",381.0,117.348,117.348,308.0,51.85185185185185,HOLD,100.0,100.0,SELL,-0.0,SELL,,HOLD,95.44353783973067,SELL,306.85714285714283,306.7840976241427,306.4761904761905,BUY,BUY,BUY
2015-12-10,308.0,308.0,308.0,"308,00","0,00",200.0,61.6,61.6,308.0,51.85185185185185,HOLD,100.0,100.0,SELL,-0.0,SELL,,HOLD,95.44353783973067,SELL,306.85714285714283,306.9462179409237,306.6285714285714,BUY,BUY,BUY
2016-06-07,256.0,256.0,256.0,"256,00","-16,88",506.0,129.536,129.536,256.0,15.098095385246552,BUY,0.0,66.66666666666667,BUY,-100.0,BUY,-560.5536332179948,BUY,74.96040345401167,HOLD,303.14285714285717,300.15338888213387,299.84761904761905,SELL,SELL,SELL
2016-06-09,160.0,160.0,160.0,"160,00","-37,50",260.0,41.6,41.6,160.0,6.266703287860011,BUY,0.0,33.333333333333336,BUY,-100.0,BUY,-512.70553064275,BUY,70.12715673571114,HOLD,292.57142857142856,281.46627036451605,280.76190476190476,SELL,SELL,SELL
2016-07-18,160.0,160.0,160.0,"160,00","0,00",300.0,48.0,48.0,160.0,6.266703287860011,BUY,0.0,0.0,BUY,-100.0,BUY,-294.9329697795957,BUY,70.12715673571114,HOLD,282.0,265.27076764924726,263.0857142857143,SELL,SELL,SELL
2016-07-22,256.0,256.0,256.0,"256,00","60,00",26.0,6.656,6.656,256.0,44.15269133489603,HOLD,64.86486486486487,21.621621621621625,HOLD,-35.13513513513514,HOLD,-65.65656565656562,HOLD,70.43218929682563,HOLD,278.2857142857143,264.0346652960143,259.6190476190476,SELL,SELL,SELL
