Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2015-02-11,2001.0,2001.0,2001.0,20.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-09-23,2000.0,2000.0,2000.0,136.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-10-07,2001.0,2001.0,2001.0,9.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-10-14,2001.0,2001.0,2001.0,10.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-11-11,2071.0,2071.0,2071.0,170.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-11-18,2071.0,2071.0,2071.0,100.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-12-16,2071.0,2071.0,2071.0,172.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-01-13,2485.0,2485.0,2485.0,205.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-08-10,2485.0,2485.0,2485.0,34.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-09-28,2982.0,2982.0,2485.0,179.447,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-10-26,2982.0,2982.0,2982.0,14.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-11-16,3578.0,3578.0,3578.0,10.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-11-30,3500.0,3500.0,3500.0,42.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2016-12-07,3500.0,3500.0,3500.0,120.0,94.20992157305592,SELL,95.05703422053232,,SELL,-4.942965779467681,SELL,,HOLD,77.72952292382617,HOLD,2552.0,2758.805640610555,2853.2285714285713,BUY,BUY,BUY
2017-01-04,3500.0,3500.0,3500.0,6.0,94.20992157305592,SELL,95.05703422053232,,SELL,-4.942965779467681,SELL,,HOLD,77.72952292382617,HOLD,2659.0714285714284,2857.6315551958146,2979.6285714285714,BUY,BUY,BUY
2017-02-01,3500.0,3500.0,3500.0,9.0,94.20992157305592,SELL,95.05389980976538,95.05598941694335,SELL,-4.946100190234623,SELL,,HOLD,90.86624397757745,SELL,2766.214285714286,2943.280681169706,3091.752380952381,BUY,BUY,BUY
2017-04-19,3500.0,3500.0,3500.0,30.0,94.20992157305592,SELL,95.05389980976538,95.05494461335435,SELL,-4.946100190234623,SELL,,HOLD,90.76288263742015,SELL,2873.285714285714,3017.509923680412,3189.5904761904762,BUY,BUY,BUY
2017-04-26,3500.0,3500.0,3500.0,96.0,94.20992157305592,SELL,94.82415394824154,94.97731785592411,SELL,-5.175846051758461,SELL,,HOLD,90.76288263742015,SELL,2980.3571428571427,3081.841933856357,3273.152380952381,BUY,BUY,BUY
2017-05-03,3400.0,3500.0,3400.0,20.0,84.48230260393179,SELL,88.18845388188454,92.68883587996383,SELL,-11.81154611811546,SELL,,HOLD,83.51175089723083,SELL,3075.285714285714,3124.2630093421762,3329.104761904762,BUY,BUY,BUY
2017-05-10,3399.0,3399.0,3300.0,109.0,84.38846483393068,SELL,88.12209688122097,90.37823490378236,SELL,-11.877903118779031,SELL,59.12078623901887,HOLD,65.21810398012232,HOLD,3170.1428571428573,3160.894608096553,3372.2666666666664,BUY,BUY,BUY
2017-05-17,3298.0,3298.0,3298.0,10.0,75.29210872328784,SELL,74.38243366880147,83.564328143969,HOLD,-25.617566331198535,HOLD,46.5446607457911,HOLD,63.9587076456426,HOLD,3257.785714285714,3179.1753270170125,3389.3142857142857,BUY,BUY,SELL
2019-07-31,3298.0,3298.0,3298.0,10.0,75.29210872328784,SELL,74.38243366880147,78.96232140627463,HOLD,-25.617566331198535,HOLD,41.82592769549296,HOLD,48.63865553869819,HOLD,3315.8571428571427,3195.0186167480774,3394.6761904761906,SELL,BUY,SELL
2019-09-04,3298.0,3298.0,3298.0,530.0,75.29210872328784,SELL,74.38243366880147,74.38243366880147,HOLD,-25.617566331198535,HOLD,37.15689721784504,HOLD,48.63865553869819,HOLD,3373.9285714285716,3208.749467848334,3392.2952380952374,SELL,BUY,SELL
2019-10-02,3515.0,3515.0,3515.0,70.0,80.83548749389068,SELL,89.42953020134229,79.39813251298175,SELL,-10.570469798657719,SELL,61.33052521614956,HOLD,34.45549657196321,HOLD,3412.0,3249.5828721352227,3411.1047619047613,BUY,BUY,BUY
2019-10-16,4900.0,4900.0,4159.0,25.0,92.46116038975492,SELL,100.0,87.93732129004792,SELL,-0.0,SELL,217.7714399852344,SELL,39.27756752766362,HOLD,3549.0,3469.6384891838597,3609.504761904762,BUY,BUY,BUY
2019-10-23,6600.0,6600.0,5850.0,85.0,95.8161031850516,SELL,100.0,96.47651006711409,SELL,-0.0,SELL,406.7490319868253,SELL,59.44161614865988,HOLD,3764.8571428571427,3887.020023959345,4016.304761904762,BUY,BUY,BUY
2019-10-30,7000.0,7000.0,7000.0,26.0,96.2400912873119,SELL,100.0,100.0,SELL,-0.0,SELL,317.78350125111285,SELL,69.82346703958805,HOLD,4014.8571428571427,4302.084020764766,4447.657142857143,BUY,BUY,BUY
2019-11-13,7210.0,7210.0,7210.0,40.0,96.4438413802273,SELL,100.0,100.0,SELL,-0.0,SELL,229.92226322606442,SELL,74.55057279325723,HOLD,4279.857142857143,4689.806151329464,4873.676190476191,BUY,BUY,BUY
2019-11-20,7400.0,7400.0,7210.0,350.0,96.62219193812398,SELL,100.0,100.0,SELL,-0.0,SELL,180.17607105168105,SELL,89.3728419120813,SELL,4558.428571428572,5051.165331152202,5289.695238095238,BUY,BUY,BUY
