Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2014-11-13,8730.0,9100.0,8730.0,99.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-20,8330.0,8470.0,8300.0,211.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-27,8199.0,8250.0,8199.0,75.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-04,8000.0,8199.0,8000.0,165.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-11,8200.0,8200.0,8200.0,38.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-18,8050.0,8278.0,8050.0,78.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-25,8370.0,8370.0,8149.0,66.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-01-01,8300.0,8300.0,8300.0,7.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-01-08,8093.0,8299.0,8090.0,57.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-01-15,8000.0,8244.0,8000.0,130.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-01-22,8149.0,8149.0,8000.0,45.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-01-29,7998.0,7998.0,7998.0,15.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-05,7700.0,7720.0,7499.0,175.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-12,7546.0,7546.0,7546.0,149.0,25.296839936692834,BUY,2.935665209244222,,BUY,-97.06433479075578,BUY,,HOLD,13.179634726679112,BUY
2015-02-19,7560.0,7564.0,7560.0,23.0,25.981329111561962,BUY,6.282183316168898,,BUY,-93.7178166838311,BUY,,HOLD,14.70494286176286,BUY
2015-02-26,7400.0,7400.0,7400.0,130.0,23.348279050738938,BUY,0.0,3.072616175137707,BUY,-100.0,BUY,,HOLD,16.003752140318554,BUY
2015-03-05,7560.0,7560.0,7500.0,172.0,30.890827807409593,HOLD,16.49484536082474,7.592342892331213,BUY,-83.50515463917526,BUY,,HOLD,28.155046976586135,HOLD
2015-03-12,7334.0,7560.0,7334.0,91.0,26.869021047532726,BUY,0.0,5.49828178694158,BUY,-100.0,BUY,,HOLD,30.18247269002758,HOLD
2015-03-19,7200.0,7200.0,7200.0,10.0,24.80676393738186,BUY,0.0,5.49828178694158,BUY,-100.0,BUY,,HOLD,27.4878444911687,HOLD
2015-03-26,7700.0,7700.0,7200.0,110.0,42.53121740660771,HOLD,42.73504273504273,14.245014245014245,HOLD,-57.26495726495727,HOLD,-73.23946264574896,HOLD,36.02915683100825,HOLD
2015-04-09,7850.0,8000.0,7801.0,34.0,46.59805726786439,HOLD,59.09090909090909,33.94198394198394,HOLD,-40.90909090909091,HOLD,0.510707606092704,HOLD,33.99617713287239,HOLD
2015-04-16,8300.0,8300.0,8199.0,52.0,56.53533353494694,HOLD,100.0,67.27531727531728,SELL,-0.0,SELL,81.79759733316585,HOLD,36.67281027669953,HOLD
2015-04-23,8060.0,8300.0,8060.0,40.0,51.076329691482826,HOLD,78.18181818181819,79.0909090909091,HOLD,-21.818181818181817,HOLD,56.64923830288665,HOLD,37.239742270745836,HOLD
2015-05-07,8060.0,8060.0,8060.0,50.0,51.076329691482826,HOLD,78.18181818181819,85.45454545454545,HOLD,-21.818181818181817,HOLD,39.813853639246304,HOLD,40.11750447268712,HOLD
2015-05-14,8050.0,8070.0,8050.0,89.0,50.83911066938578,HOLD,77.27272727272727,77.87878787878788,HOLD,-22.727272727272727,HOLD,41.37985600126605,HOLD,34.324053997611756,HOLD
2015-05-21,7900.0,7900.0,7900.0,10.0,47.291097941943505,HOLD,63.63636363636363,73.03030303030303,HOLD,-36.36363636363637,HOLD,10.314090737324022,HOLD,34.485850013762416,HOLD
2015-05-28,7812.0,7812.0,7812.0,14.0,45.293979597678124,HOLD,55.63636363636363,65.51515151515152,HOLD,-44.36363636363637,HOLD,-4.105482965001237,HOLD,40.1576230831348,HOLD
2015-06-04,7700.0,7705.0,7700.0,47.0,42.815715185216845,HOLD,45.45454545454545,54.90909090909091,HOLD,-54.54545454545455,HOLD,-24.47569948445871,HOLD,44.72597076584458,HOLD
2015-06-11,7700.0,7700.0,7700.0,1.0,42.815715185216845,HOLD,45.45454545454545,48.84848484848485,HOLD,-54.54545454545455,HOLD,-20.11668201956375,HOLD,43.202396963522496,HOLD
2015-06-18,7900.0,7900.0,7900.0,16.0,48.63603731827546,HOLD,63.63636363636363,51.51515151515151,HOLD,-36.36363636363637,HOLD,36.20399435876435,HOLD,51.75359117682852,HOLD
2015-06-25,8000.0,8000.0,7999.0,69.0,51.3048070695514,HOLD,72.72727272727273,60.6060606060606,HOLD,-27.272727272727273,HOLD,66.11865784279587,HOLD,44.50035419650539,HOLD
2015-07-09,7899.0,7990.0,7790.0,75.0,48.56044564829043,HOLD,63.54545454545455,66.63636363636364,HOLD,-36.45454545454545,HOLD,38.7084520417854,HOLD,45.25174672233667,HOLD
2015-07-16,7761.0,7900.0,7761.0,45.0,45.01717837284697,HOLD,51.0,62.42424242424243,HOLD,-49.0,HOLD,12.131409907720728,HOLD,42.798265272247036,HOLD
2015-07-30,7761.0,8000.0,7761.0,40.0,45.01717837284697,HOLD,10.166666666666666,41.57070707070708,BUY,-89.83333333333333,BUY,18.338645216775518,HOLD,36.44461732523873,HOLD
2015-08-06,7801.0,7801.0,7801.0,33.0,46.33353779968042,HOLD,16.833333333333332,26.000000000000004,BUY,-83.16666666666667,BUY,2.8353196742079736,HOLD,30.734257224053707,HOLD
2015-08-13,8001.0,8345.0,7950.0,203.0,52.4618943369543,HOLD,46.666666666666664,24.55555555555556,HOLD,-53.333333333333336,HOLD,93.30698513618,HOLD,45.1339911429361,HOLD
2015-08-20,8001.0,8200.0,8001.0,15.0,52.4618943369543,HOLD,46.666666666666664,36.72222222222223,HOLD,-53.333333333333336,HOLD,75.9583614594806,HOLD,46.772418245699036,HOLD
2015-08-27,8240.0,8240.0,8240.0,68.0,58.95740295045217,HOLD,83.72093023255815,59.01808785529716,SELL,-16.27906976744186,SELL,129.33383327084147,SELL,55.17431039153323,HOLD
2015-09-03,8240.0,8240.0,8240.0,7.0,58.95740295045217,HOLD,83.72093023255815,71.36950904392766,SELL,-16.27906976744186,SELL,118.71183876371134,SELL,62.968089578697544,HOLD
2015-09-10,8100.0,8100.0,8100.0,7.0,53.949475594749124,HOLD,62.01550387596899,76.48578811369511,HOLD,-37.98449612403101,HOLD,54.841549295774804,HOLD,63.24593501109584,HOLD
2015-09-17,8100.0,8150.0,8100.0,87.0,53.949475594749124,HOLD,62.01550387596899,69.25064599483206,HOLD,-37.98449612403101,HOLD,56.5597943280206,HOLD,69.06315685898821,HOLD
2015-09-24,8199.0,8199.0,8100.0,108.0,56.94852898088274,HOLD,77.36434108527132,67.13178294573645,HOLD,-22.635658914728683,HOLD,82.72068466767024,HOLD,77.53617610276117,HOLD
2015-10-01,8150.0,8300.0,8150.0,179.0,55.037982146054134,HOLD,66.60958904109589,68.66314466744541,HOLD,-33.39041095890411,HOLD,94.93107229864435,HOLD,81.93544768427554,SELL
2015-10-08,8170.0,8170.0,8170.0,20.0,55.691386371359435,HOLD,70.03424657534246,71.33605890056991,HOLD,-29.965753424657535,HOLD,76.737788800045,HOLD,79.89159431426381,HOLD
2015-10-15,8200.0,8400.0,8200.0,175.0,56.70768856103991,HOLD,68.70109546165884,68.44831035936573,HOLD,-31.29890453834116,HOLD,107.00234978180596,SELL,81.99273985944544,SELL
2015-10-22,8200.0,8200.0,7961.0,22.0,56.70768856103991,HOLD,68.70109546165884,69.14547916622006,HOLD,-31.29890453834116,HOLD,43.668357076364,HOLD,86.15149520865911,SELL
2015-10-29,7550.0,7961.0,7550.0,119.0,35.97374778167084,HOLD,0.0,45.80073030777256,BUY,-100.0,BUY,-123.43193433483056,BUY,80.58019713673039,SELL
2015-11-05,7200.0,7400.0,7200.0,320.0,29.680790988471813,BUY,0.0,22.900365153886288,BUY,-100.0,BUY,-241.94237406270733,BUY,62.53997822737622,HOLD
2015-11-12,8000.0,8000.0,7416.0,51.0,50.84640859452795,HOLD,66.66666666666667,22.222222222222232,HOLD,-33.333333333333336,HOLD,-64.09899081396881,HOLD,65.39429790287168,HOLD
2015-11-19,8000.0,8002.0,8000.0,15.0,50.84640859452795,HOLD,66.66666666666667,44.44444444444446,HOLD,-33.333333333333336,HOLD,2.264707903472034,HOLD,59.74812052841638,HOLD
2015-11-26,8000.0,8242.0,8000.0,808.0,50.84640859452795,HOLD,66.66666666666667,66.66666666666667,HOLD,-33.333333333333336,HOLD,29.052041765253133,HOLD,76.89476703402005,HOLD
2015-12-03,8243.0,8243.0,8243.0,5.0,55.884005143650015,HOLD,86.91666666666667,73.41666666666667,SELL,-13.083333333333334,SELL,79.57392385991355,HOLD,76.10723210697445,HOLD
2015-12-17,8243.0,8243.0,8243.0,1.0,55.884005143650015,HOLD,86.91666666666667,80.16666666666669,SELL,-13.083333333333334,SELL,75.01111253189163,HOLD,76.10723210697445,HOLD
