Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2014-11-10,440.0,450.0,440.0,1256.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-17,390.0,390.0,390.0,250.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-24,379.0,379.0,379.0,91.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-01,390.0,390.0,390.0,197.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-08,379.0,379.0,379.0,144.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-15,380.0,380.0,379.0,466.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-22,380.0,380.0,380.0,194.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-01-12,380.0,380.0,380.0,6.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-01-19,385.0,385.0,385.0,12.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-01-26,390.0,390.0,385.0,412.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-02,381.0,390.0,381.0,90.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-09,380.0,381.0,380.0,71.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-16,380.0,380.0,380.0,455.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-23,380.0,380.0,380.0,66.0,24.886754336732096,BUY,1.408450704225352,,BUY,-98.59154929577464,BUY,,HOLD,53.89103254421669,HOLD
2015-03-02,390.0,390.0,380.0,716.0,37.75458963495464,HOLD,100.0,,SELL,-0.0,SELL,,HOLD,64.61854780652735,HOLD
2015-03-09,380.0,380.0,380.0,80.0,31.874121827627192,HOLD,9.090909090909092,36.83311993171148,BUY,-90.9090909090909,BUY,,HOLD,68.47999620021315,HOLD
2015-03-16,380.0,380.0,380.0,590.0,31.874121827627192,HOLD,9.090909090909092,39.3939393939394,BUY,-90.9090909090909,BUY,,HOLD,70.65001440978236,HOLD
2015-04-27,369.0,369.0,369.0,200.0,26.590510630389076,BUY,0.0,6.060606060606061,BUY,-100.0,BUY,,HOLD,63.76843374478241,HOLD
2015-05-04,350.0,350.0,350.0,417.0,20.323761464938315,BUY,0.0,3.0303030303030307,BUY,-100.0,BUY,,HOLD,58.8167442123974,HOLD
2015-05-11,330.0,350.0,330.0,133.0,16.03878704504072,BUY,0.0,0.0,BUY,-100.0,BUY,-295.938211924209,BUY,49.320123520493624,HOLD
