Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2014-11-10,359.0,416.0,335.0,5267.319,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-10,380.0,394.0,350.0,4501.177,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-01-09,370.0,391.0,370.0,3672.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-08,337.0,378.0,337.0,2067.81,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-03-10,301.0,340.0,290.0,3739.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-04-09,300.0,369.0,300.0,1696.791,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-05-09,330.0,335.0,310.0,4580.3,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-06-08,331.0,338.0,321.0,3395.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-07-08,347.0,347.0,322.0,1160.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-08-07,360.0,370.0,343.0,359.954,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-09-06,380.0,385.0,355.0,5512.279,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-10-06,412.0,413.0,381.0,2757.944,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-11-05,400.0,408.0,380.0,3758.853,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-12-05,425.0,425.0,390.0,3937.197,69.82307467238357,HOLD,100.0,,SELL,-0.0,SELL,,HOLD,77.38232285997815,HOLD,359.42857142857144,371.4275198370022,369.87619047619046,BUY,BUY,BUY
2016-01-04,415.0,430.0,400.0,4775.495,65.58774431583926,HOLD,89.28571428571429,,SELL,-10.714285714285714,SELL,,HOLD,80.03478560093575,SELL,363.42857142857144,377.23718385873525,377.2857142857143,BUY,BUY,BUY
2016-02-03,410.0,422.0,400.0,3401.258,63.513272680404064,HOLD,85.71428571428571,91.66666666666667,SELL,-14.285714285714286,SELL,,HOLD,71.27706510891375,HOLD,365.57142857142856,381.60555934423724,383.4952380952381,BUY,BUY,BUY
2016-03-04,415.0,418.0,400.0,4531.05,64.71514364445423,HOLD,89.28571428571429,88.09523809523809,SELL,-10.714285714285714,SELL,,HOLD,72.08041589167959,HOLD,368.7857142857143,386.0581514316723,390.0857142857143,BUY,BUY,BUY
2016-04-03,420.0,429.0,412.0,3901.719,65.9239503430747,HOLD,92.85714285714286,89.28571428571429,SELL,-7.142857142857143,SELL,,HOLD,77.52721670496115,HOLD,374.7142857142857,390.58373124078264,396.9142857142857,BUY,BUY,BUY
2016-05-03,425.0,425.0,415.0,2970.576,67.13641240829446,HOLD,96.15384615384616,92.76556776556777,SELL,-3.8461538461538463,SELL,,HOLD,84.05441041785188,SELL,383.57142857142856,395.17256707534494,403.6190476190477,BUY,BUY,BUY
2016-06-02,420.0,420.0,415.0,1905.0,64.65881168434277,HOLD,91.66666666666667,93.55921855921856,SELL,-8.333333333333334,SELL,87.3417721518987,HOLD,79.92627476573597,HOLD,392.14285714285717,398.48289146529896,408.4761904761905,BUY,BUY,BUY
2016-07-02,460.0,463.0,425.0,3216.006,73.18456415841054,SELL,97.88732394366197,95.23594558805826,SELL,-2.112676056338028,SELL,130.84767367750163,SELL,79.87851574097404,HOLD,401.42857142857144,406.6851726032591,417.52380952380946,BUY,BUY,BUY
2016-08-01,529.0,541.0,460.0,7471.613,81.48299657290188,SELL,94.52054794520548,94.6915128518447,SELL,-5.47945205479452,SELL,202.2038567493113,SELL,82.45736499867937,SELL,415.57142857142856,422.9938162561579,434.5333333333333,BUY,BUY,BUY
2016-08-31,536.0,540.0,520.0,1547.159,82.08858117358827,SELL,97.47474747474747,96.62753978787164,SELL,-2.525252525252525,SELL,200.2688172043011,SELL,82.80971546759439,SELL,429.07142857142856,438.06130742200355,450.5904761904761,BUY,BUY,BUY
2016-09-30,709.0,715.0,534.0,4648.919,90.42393405588001,SELL,98.33333333333333,96.77620958442877,SELL,-1.6666666666666667,SELL,299.6998669513288,SELL,84.86290945555105,SELL,454.0,474.1864664324031,487.9142857142857,BUY,BUY,BUY
2016-10-30,984.0,1030.0,660.0,4789.111,94.6700312893884,SELL,92.92307692307692,96.24371924371924,SELL,-7.076923076923077,SELL,359.6152570480929,SELL,86.12399012740099,SELL,497.14285714285717,542.1616042414161,558.5809523809523,BUY,BUY,BUY
2016-11-29,832.0,985.0,832.0,5158.173,74.90097797208573,SELL,69.53846153846153,86.93162393162395,HOLD,-30.46153846153846,HOLD,244.8406266882766,SELL,72.52772489364928,HOLD,527.1428571428571,580.806723675894,603.2285714285714,BUY,BUY,BUY
2016-12-29,900.0,911.0,756.0,3608.991,77.1952680744628,SELL,79.6875,80.71634615384615,HOLD,-20.3125,HOLD,177.2298743525644,SELL,68.85430199656903,HOLD,562.8571428571429,623.3658271857748,652.9428571428572,BUY,BUY,BUY
2017-01-28,915.0,935.0,900.0,4333.77,77.67994661402025,SELL,81.74603174603175,76.99066442816444,SELL,-18.253968253968253,SELL,164.80169872735155,SELL,71.00726599137576,HOLD,597.8571428571429,662.2503835610049,699.8952380952381,BUY,BUY,BUY
2017-02-27,880.0,929.0,880.0,3574.693,73.74169548092857,SELL,76.19047619047619,79.20800264550265,HOLD,-23.80952380952381,HOLD,128.6583508909316,SELL,62.89980855196152,HOLD,631.0714285714286,691.283665752871,737.5142857142857,BUY,BUY,BUY
2017-03-29,910.0,915.0,880.0,4091.369,74.91560858562198,SELL,80.95238095238095,79.62962962962963,SELL,-19.047619047619047,SELL,110.60814800236174,SELL,68.9016897856758,HOLD,666.7857142857143,720.4458436524882,774.704761904762,BUY,BUY,BUY
2017-04-28,948.0,970.0,900.0,3184.168,76.35742845904605,SELL,86.73139158576052,81.29141624287256,SELL,-13.268608414239482,SELL,106.46665812841529,SELL,69.81175255455867,HOLD,704.8571428571429,750.7863978321565,812.1999999999999,BUY,BUY,BUY
2017-05-28,896.0,969.0,850.0,1828.182,70.39461393828785,SELL,78.21138211382114,81.9650515506542,HOLD,-21.788617886178862,HOLD,84.50558917139952,HOLD,65.53514923345595,HOLD,738.8571428571429,770.1482114545356,837.6857142857143,BUY,BUY,BUY
2017-06-27,921.0,949.0,860.0,7222.525,71.5450925068577,SELL,82.27642276422765,82.40639882126978,SELL,-17.723577235772357,SELL,77.16615698267071,HOLD,69.71120199524552,HOLD,774.2857142857143,790.2617832605976,861.9714285714285,BUY,BUY,BUY
2017-07-27,942.0,949.0,905.0,3949.803,72.51141944846663,SELL,85.45454545454545,81.98078344419808,SELL,-14.545454545454545,SELL,75.44419134396355,HOLD,73.28155116182018,HOLD,811.5714285714286,810.4935454925179,884.3333333333334,BUY,BUY,BUY
2017-08-26,940.0,980.0,931.0,2951.355,72.25973368476775,SELL,84.21052631578948,83.98049817818753,SELL,-15.789473684210526,SELL,73.81432094208364,HOLD,74.03607104987333,HOLD,845.8571428571429,827.7610727601822,901.4571428571429,BUY,BUY,BUY
2017-09-25,944.0,950.0,920.0,5601.196,72.46557988643235,SELL,83.13725490196079,84.26744222409857,SELL,-16.862745098039216,SELL,64.55406590116962,HOLD,64.19755683115453,HOLD,875.5,843.2595963921578,914.5428571428572,BUY,BUY,BUY
2017-10-25,910.0,940.0,910.0,5879.928,67.85637020776701,HOLD,75.80645161290323,81.05141094355116,HOLD,-24.193548387096776,HOLD,54.48670919035246,HOLD,57.24378744694744,HOLD,902.2142857142857,852.1583168732035,919.1428571428572,BUY,BUY,SELL
2017-11-24,910.0,937.0,900.0,3627.546,67.85637020776701,HOLD,67.56756756756756,75.50375802747719,HOLD,-32.432432432432435,HOLD,49.382005588485384,HOLD,51.37092853865237,HOLD,916.5714285714286,859.8705412901097,920.1809523809524,SELL,BUY,SELL
2017-12-24,970.0,970.0,920.0,3319.355,71.55878097453991,SELL,93.44978165938865,78.94126694661982,SELL,-6.550218340611353,SELL,61.913197519929135,HOLD,50.364627766605224,HOLD,915.5714285714286,874.5544691180951,927.3047619047619,BUY,BUY,BUY
2018-01-23,941.0,970.0,930.0,3962.227,67.51118773165344,HOLD,82.58928571428571,81.20221164708063,SELL,-17.410714285714285,SELL,58.686990532587664,HOLD,51.13355407737,HOLD,923.3571428571429,883.4138732356824,930.6952380952381,BUY,BUY,BUY
2018-02-22,931.0,968.0,915.0,2720.367,66.12229553957295,HOLD,62.30769230769231,79.4489198937889,HOLD,-37.69230769230769,HOLD,54.08185759423912,HOLD,51.660769978905556,HOLD,925.5714285714286,889.7586901375914,931.7142857142858,BUY,BUY,SELL
2018-03-24,940.0,950.0,929.0,7017.0,66.78460267275865,HOLD,69.23076923076923,71.37591575091575,HOLD,-30.76923076923077,HOLD,57.812891898670586,HOLD,53.97936708034552,HOLD,927.3571428571429,896.4575314525792,933.6380952380952,BUY,BUY,BUY
2018-04-23,1015.0,1034.0,923.0,2834.05,71.74235531589984,SELL,89.67391304347827,73.73745819397993,SELL,-10.326086956521738,SELL,145.10481762177,SELL,59.54943617394316,HOLD,937.0,912.2631939255688,945.3238095238096,BUY,BUY,BUY
2018-05-23,970.0,1074.0,949.0,941.5360000000001,65.43176519413839,HOLD,53.57142857142857,70.82537028189202,HOLD,-46.42857142857143,HOLD,179.8994974874372,SELL,57.38959812352936,HOLD,941.2857142857143,919.961434735493,949.7238095238095,BUY,BUY,BUY
2018-06-22,975.0,1020.0,950.0,2881.884,65.79181825525151,HOLD,55.80357142857143,66.34963768115942,HOLD,-44.19642857142857,HOLD,125.55043522785441,SELL,51.74433837339041,HOLD,943.2142857142857,927.2999101040939,954.2190476190476,BUY,BUY,BUY
2018-07-22,1035.0,1050.0,1000.0,2574.732,69.85009106619628,HOLD,81.77570093457943,63.71690031152648,SELL,-18.22429906542056,SELL,209.707012766286,SELL,55.82192201329738,HOLD,953.1428571428571,941.6599220902148,966.4571428571428,BUY,BUY,BUY
2018-08-21,1110.0,1160.0,1030.0,6495.742,74.00198404054873,SELL,80.76923076923077,72.78283437746056,SELL,-19.23076923076923,SELL,284.3416145141921,SELL,56.300277854089394,HOLD,966.6428571428571,964.1052658115195,987.3714285714285,BUY,BUY,BUY
2018-09-20,1140.0,1160.0,1052.0,6584.4310000000005,75.45783745093175,SELL,92.3076923076923,84.95087467050084,SELL,-7.6923076923076925,SELL,230.34476023049115,SELL,59.13939000554777,HOLD,980.7857142857143,987.5578970366503,1010.4857142857144,BUY,BUY,BUY
2018-10-20,1290.0,1300.0,1172.0,2936.782,81.143622064747,SELL,97.5,90.1923076923077,SELL,-2.5,SELL,294.9920289274233,SELL,59.76376051331688,HOLD,1005.7857142857143,1027.8835107650968,1051.7142857142858,BUY,BUY,BUY
2018-11-19,1284.0,1290.0,1213.0,5880.327,80.34182594858864,SELL,96.0,95.26923076923077,SELL,-4.0,SELL,226.58498886856398,SELL,70.0390941470675,HOLD,1030.0714285714287,1062.0323759964174,1088.8095238095239,BUY,BUY,BUY
2018-12-19,1264.0,1279.0,1188.0,2512.616,77.58964642117525,SELL,91.0,94.83333333333333,SELL,-9.0,SELL,165.15086921510132,SELL,72.82975124865142,HOLD,1055.357142857143,1088.9613925302285,1120.0,BUY,BUY,BUY
2019-01-18,1230.0,1250.0,1210.0,2660.065,73.0108030070358,SELL,81.81818181818181,89.60606060606061,SELL,-18.181818181818183,SELL,129.40982262195763,SELL,72.89298644916322,HOLD,1078.2142857142858,1107.7665401928648,1143.2857142857142,BUY,BUY,BUY
2019-02-17,1199.0,1259.0,1199.0,5691.37,69.01187743050608,HOLD,73.76623376623377,82.1948051948052,HOLD,-26.233766233766232,HOLD,104.26166084364708,SELL,63.20647932189902,HOLD,1094.5714285714287,1119.9310015004828,1159.390476190476,BUY,BUY,BUY
2019-03-19,1140.0,1199.0,1120.0,5084.757,62.046444748692885,HOLD,58.44155844155844,71.34199134199135,HOLD,-41.55844155844156,HOLD,57.527693856999115,HOLD,61.09490626003937,HOLD,1108.7857142857142,1122.6068679670852,1165.4476190476191,BUY,BUY,SELL
2019-04-18,1000.0,1155.0,978.0,6573.934,49.324636210049235,HOLD,20.424403183023873,50.87739846360537,HOLD,-79.57559681697613,HOLD,-8.619654012494076,HOLD,57.1898583404934,HOLD,1113.7142857142858,1106.2592855714738,1150.942857142857,SELL,SELL,SELL
2019-05-18,1012.0,1086.0,990.0,3345.639,50.2659271394123,HOLD,23.607427055702917,34.15779622676175,HOLD,-76.39257294429709,HOLD,-21.066252587991773,HOLD,49.741328294713284,HOLD,1118.857142857143,1093.6913808286106,1137.3809523809525,SELL,SELL,SELL
2019-06-17,1100.0,1100.0,1010.0,5379.846,56.628305573463315,HOLD,43.01994301994302,29.017257752889936,HOLD,-56.98005698005698,HOLD,-0.4934210526315789,HOLD,51.94390617673717,HOLD,1124.9285714285713,1094.5325300514626,1134.8666666666668,SELL,BUY,SELL
2019-07-17,1150.0,1150.0,1080.0,2718.151,59.7768751428994,HOLD,57.142857142857146,41.256742406167696,HOLD,-42.857142857142854,HOLD,31.04222974899367,HOLD,53.4138447108335,HOLD,1137.7857142857142,1101.9281927112677,1138.2095238095237,BUY,BUY,BUY
2019-08-16,1200.0,1224.0,1150.0,5902.003,62.69347210488242,HOLD,68.94409937888199,56.36896651389406,HOLD,-31.055900621118013,HOLD,67.77163904235718,HOLD,59.916428123950176,HOLD,1153.857142857143,1115.0044336830988,1146.5047619047618,BUY,BUY,BUY
2019-09-15,1189.0,1215.0,1189.0,2363.946,61.634626244763226,HOLD,65.527950310559,63.87163561076605,HOLD,-34.47204968944099,HOLD,65.36319469131418,HOLD,60.01611955085506,HOLD,1164.857142857143,1124.870509192019,1151.1904761904761,BUY,BUY,BUY
2019-10-15,1130.0,1175.0,1101.0,4004.7,56.15624226046227,HOLD,47.20496894409938,60.55900621118013,HOLD,-52.79503105590062,HOLD,15.319721553709604,HOLD,52.17070126693486,HOLD,1166.2857142857142,1125.55444129975,1146.5428571428572,SELL,BUY,SELL
2019-11-14,1180.0,1180.0,1139.0,4928.658,59.446001106021924,HOLD,62.732919254658384,58.488612836438925,HOLD,-37.267080745341616,HOLD,33.5319148936171,HOLD,51.06512220445349,HOLD,1169.142857142857,1132.81384912645,1148.3714285714286,BUY,BUY,BUY
2019-12-14,1200.0,1205.0,1180.0,5089.678,60.71575450776654,HOLD,71.15384615384616,60.36391145086798,HOLD,-28.846153846153847,HOLD,52.05849268841407,HOLD,52.69617686587599,HOLD,1162.7142857142858,1141.7720025762567,1152.4857142857143,BUY,BUY,BUY
2020-01-13,1320.0,1320.0,1200.0,6582.915,67.32608038593386,HOLD,100.0,77.9622551361682,SELL,-0.0,SELL,117.82293001403382,SELL,53.34632556866766,HOLD,1165.2857142857142,1165.5357355660892,1173.4571428571428,BUY,BUY,BUY
2020-02-12,1075.0,1301.0,1075.0,5821.975,49.14397236944541,HOLD,28.362573099415204,66.50547308442047,HOLD,-71.6374269005848,HOLD,-9.721501470333976,HOLD,50.85725525488484,HOLD,1151.7857142857142,1153.4643041572774,1161.4190476190474,SELL,SELL,SELL
2020-03-13,1010.0,1149.0,830.0,5017.026,45.623646617716844,HOLD,36.734693877551024,55.03242232565541,HOLD,-63.265306122448976,HOLD,-163.81434599156103,BUY,49.735560774556106,HOLD,1136.0714285714287,1134.3357302696404,1142.5142857142857,SELL,SELL,SELL
2020-04-12,1122.0,1145.0,1000.0,2954.105,52.00351056258708,HOLD,59.59183673469388,41.56303457055338,HOLD,-40.40816326530612,HOLD,-68.84258096911869,HOLD,56.53131418938027,HOLD,1130.5714285714287,1132.6909662336884,1140.638095238095,SELL,SELL,SELL
