Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2014-11-10,84.0,84.0,84.0,"84,00","0,00",600.0,50.400,50.400,84.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-11,82.0,82.0,82.0,"82,00","-2,38",593.0,48.626,48.626,82.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-12,85.0,85.0,84.0,"84,49","3,04",2.85,240.800,240.800,85.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-14,86.0,86.0,86.0,"86,00","1,79",1.75,150.500,150.500,86.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-17,84.0,84.0,84.0,"84,00","-2,33",15.0,1.260,1.260,84.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-19,82.0,82.0,82.0,"82,00","-2,38",1.55,127.100,127.100,82.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-20,81.0,81.0,81.0,"81,00","-1,22",706.0,57.186,57.186,81.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-21,83.0,83.0,83.0,"83,00","2,47",100.0,8.300,8.300,83.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-24,81.0,81.0,81.0,"81,00","-2,41",600.0,48.600,48.600,81.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-25,79.0,80.0,79.0,"79,91","-1,35",3.533,282.307,282.307,79.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-27,78.0,78.0,78.0,"78,00","-2,39",500.0,39.000,39.000,78.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-02,80.0,80.0,78.0,"79,99","2,55",402.0,32.156,32.156,80.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-04,78.0,78.0,78.0,"78,00","-2,49",300.0,23.400,23.400,78.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-05,78.0,78.0,78.0,"78,00","0,00",1.752,136.656,136.656,78.0,34.646708024636155,HOLD,0.0,,BUY,-100.0,BUY,,HOLD,15.665599128729411,BUY
2014-12-09,74.0,74.0,74.0,"74,00","-5,13",357.0,26.418,26.418,74.0,26.443220871384,BUY,0.0,,BUY,-100.0,BUY,,HOLD,14.2159281170794,BUY
2014-12-11,80.0,80.0,80.0,"80,00","8,11",500.0,40.000,40.000,80.0,46.79373012470717,HOLD,50.0,16.666666666666668,HOLD,-50.0,HOLD,,HOLD,29.106841577492133,HOLD
2014-12-12,80.0,80.0,80.0,"80,00","0,00",200.0,16.000,16.000,80.0,46.79373012470717,HOLD,50.0,33.333333333333336,HOLD,-50.0,HOLD,,HOLD,29.04499898724052,HOLD
2014-12-16,78.0,78.0,78.0,"78,00","-2,50",502.0,39.156,39.156,78.0,42.272481101769515,HOLD,40.0,46.666666666666664,HOLD,-60.0,HOLD,,HOLD,25.407818371071443,HOLD
2014-12-17,78.0,78.0,78.0,"78,00","0,00",159.0,12.402,12.402,78.0,42.272481101769515,HOLD,44.44444444444444,44.81481481481482,HOLD,-55.55555555555556,HOLD,,HOLD,25.50965675321963,HOLD
2014-12-18,78.0,78.0,78.0,"78,00","0,00",1.317,102.726,102.726,78.0,42.272481101769515,HOLD,44.44444444444444,42.96296296296296,HOLD,-55.55555555555556,HOLD,-67.36353077816466,HOLD,25.5199748444265,HOLD
2014-12-19,78.0,80.0,78.0,"79,16","1,49",862.0,68.240,68.240,78.0,42.272481101769515,HOLD,44.44444444444444,44.44444444444444,HOLD,-55.55555555555556,HOLD,-44.015825914935704,HOLD,45.55933498089201,HOLD
2014-12-22,78.0,78.0,78.0,"78,00","-1,47",486.0,37.908,37.908,78.0,42.272481101769515,HOLD,57.142857142857146,48.67724867724868,HOLD,-42.857142857142854,HOLD,-58.77920120572727,HOLD,39.41226520172723,HOLD
2014-12-23,78.0,78.0,78.0,"78,00","0,00",1.0,78.000,78.000,78.0,42.272481101769515,HOLD,66.66666666666667,56.08465608465608,HOLD,-33.333333333333336,HOLD,-53.70985603543724,HOLD,45.674624064532956,HOLD
2014-12-24,78.0,79.0,78.0,"78,84","1,08",595.0,46.910,46.910,78.0,42.272481101769515,HOLD,66.66666666666667,63.492063492063494,HOLD,-33.333333333333336,HOLD,-36.217303822937325,HOLD,52.90025639351152,HOLD
2014-12-25,78.0,78.0,78.0,"78,00","-1,07",530.0,41.340,41.340,78.0,42.272481101769515,HOLD,66.66666666666667,66.66666666666667,HOLD,-33.333333333333336,HOLD,-43.81846635367721,HOLD,52.5511024361625,HOLD
2014-12-26,80.0,80.0,80.0,"80,00","2,56",340.0,27.200,27.200,80.0,50.86194722713968,HOLD,100.0,77.77777777777779,SELL,-0.0,SELL,59.82905982906015,HOLD,51.91472697596908,HOLD
2014-12-29,82.0,82.0,82.0,"82,00","2,50",100.0,8.200,8.200,82.0,57.64833203331475,HOLD,100.0,88.8888888888889,SELL,-0.0,SELL,152.77777777777837,SELL,56.72317498453567,HOLD
2015-01-05,82.0,82.0,82.0,"82,00","0,00",540.0,44.280,44.280,82.0,57.64833203331475,HOLD,100.0,100.0,SELL,-0.0,SELL,162.39316239316284,SELL,56.72317498453567,HOLD
2015-01-08,80.0,80.0,80.0,"80,00","-2,44",300.0,24.000,24.000,80.0,49.6894179649422,HOLD,50.0,83.33333333333333,HOLD,-50.0,HOLD,65.41218637992847,HOLD,57.136020082896124,HOLD
2015-01-09,82.0,82.0,82.0,"82,00","2,50",500.0,41.000,41.000,82.0,56.20138417713152,HOLD,100.0,83.33333333333333,SELL,-0.0,SELL,146.82539682539752,SELL,57.26465460067282,HOLD
2015-01-12,83.0,83.0,82.0,"82,93","1,13",700.0,58.050,58.050,83.0,59.055078967744045,HOLD,100.0,83.33333333333333,SELL,-0.0,SELL,149.80475683351074,SELL,63.587889904190774,HOLD
2015-01-15,85.0,85.0,85.0,"85,00","2,50",150.0,12.750,12.750,85.0,64.09391138004594,HOLD,100.0,100.0,SELL,-0.0,SELL,197.75014801657767,SELL,71.688339940277,HOLD
2015-01-16,83.0,83.0,83.0,"83,00","-2,35",874.0,72.542,72.542,83.0,56.593560551126465,HOLD,71.42857142857143,90.47619047619048,HOLD,-28.571428571428573,HOLD,111.48459383753487,SELL,59.79421763132235,HOLD
2015-01-21,81.0,81.0,81.0,"81,00","-2,41",430.0,34.830,34.830,81.0,50.25968859907627,HOLD,42.857142857142854,71.42857142857143,HOLD,-57.142857142857146,HOLD,39.886039886039576,HOLD,55.382380750292874,HOLD
2015-01-26,82.0,83.0,82.0,"82,55","1,91",1.096,90.472,90.472,82.0,53.08685577610267,HOLD,57.142857142857146,57.142857142857146,HOLD,-42.857142857142854,HOLD,77.16049382716044,HOLD,47.909561039231114,HOLD
2015-01-27,83.0,83.0,83.0,"83,00","0,55",118.0,9.794,9.794,83.0,55.79281081208908,HOLD,71.42857142857143,57.142857142857146,HOLD,-28.571428571428573,HOLD,89.34707903780047,HOLD,54.09296901360819,HOLD
2015-01-29,81.0,81.0,81.0,"81,00","-2,41",200.0,16.200,16.200,81.0,49.62739726308905,HOLD,42.857142857142854,57.14285714285714,HOLD,-57.142857142857146,HOLD,18.803418803418708,HOLD,51.85989390285394,HOLD
