Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2014-11-10,300.0,301.0,300.0,"300,66","-0,11",3.431,1.031.551,1.031.551,300.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-13,292.0,292.0,292.0,"292,00","-2,88",100.0,29.200,29.200,292.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-13,292.0,292.0,292.0,"292,00","-2,88",100.0,29.200,29.200,292.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-14,292.0,292.0,292.0,"292,00","0,00",200.0,58.400,58.400,292.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-17,285.0,286.0,285.0,"285,44","-2,25",450.0,128.450,128.450,285.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-18,284.0,286.0,280.0,"284,05","-0,49",4.695,1.333.630,1.333.630,284.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-19,286.0,286.0,285.0,"285,01","0,34",2.603,741.885,741.885,286.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-20,290.0,290.0,290.0,"290,00","1,75",100.0,29.000,29.000,290.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-21,290.0,290.0,289.0,"289,15","-0,29",2.24,647.700,647.700,290.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-24,282.0,286.0,282.0,"282,02","-2,47",60.0,16.921.500,16.921.500,282.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
